,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [1], [3, 3], [], [3], [1, 1], []]",0.44174160479639096,5,((Constant/Constant)**Constant),"[1, 1, 1, 2, 0, 1, 2, 0]",((0.9024661991713332/0.46462389867584997)**0.5833782031038917),[0.9024662 0.4646239 0.5833782],0.5456086489601552,"{'fitness 25': 0.44174160479639096, 'fitness 53': 0.5432714733519416, 'fitness 74': 0.5483797541874408, 'fitness 102': 0.5451747193410832}",False
1,"[[0], [2], [1], [3, 1], [1, 1], [0, 1, 0, 3], [1, 1, 1, 0, 0], [0, 1]]",0.6953465885021491,7,((Constant+((Constant-Constant)+(x[0]/x[1])))**Constant),"[1, 1, 1, 2, 2, 4, 5, 2]",((0.8500321937877363+((0.9893143913648824-0.3496678281981961)+(x[0]/x[1])))**0.4298386097940019),[0.85003219 0.98931439 0.34966783 0.42983861],0.795695146149801,"{'fitness 25': 0.6953465885021491, 'fitness 53': 0.7906221678241198, 'fitness 74': 0.7998237573331453, 'fitness 102': 0.7966395132921382}",False
2,"[[0], [0], [3, 1], [0, 2], [0, 1, 0], [3, 2, 2, 3, 1, 2], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0]]",0.7112765446578337,7,x[1]/(x[0]*x[1]*(x[0]/x[0])-(x[0]*Constant**Constant)),"[1, 1, 2, 2, 3, 6, 7, 6]",x[1]/(x[0]*x[1]*(x[0]/x[0])-(x[0]*0.6992461095915452**0.7284361303076218)),[0.69924611 0.72843613],0.7786503242626138,"{'fitness 25': 0.7112765446578337, 'fitness 53': 0.7673857204553495, 'fitness 74': 0.794032988314435, 'fitness 102': 0.7745322640180571}",False
3,"[[0], [2], [3], [], [], [], [1], []]",0.8859897860106334,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.9593375055225994**0.3537158679529788),[0.95933751 0.35371587],0.9837820878259739,"{'fitness 25': 0.8859897860106334, 'fitness 53': 0.9776894924098856, 'fitness 74': 0.9883965921639398, 'fitness 102': 0.9852601789040961}",False
4,"[[0], [2], [3], [], [], [], [0], [0]]",0.9243240054134552,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.2958410065871139),[0.29584101],1.0242562072204493,"{'fitness 25': 0.9243240054134552, 'fitness 53': 1.020539940609179, 'fitness 74': 1.0248879377380689, 'fitness 102': 1.0273407433141}",False
5,"[[0], [0], [3, 0], [1, 2], [0, 2, 2], [2, 3, 0, 1], [1, 0, 0, 1, 1], [1, 1]]",0.9465701509183944,7,Constant*(x[1]/x[1]+Constant)-(Constant**Constant),"[1, 1, 2, 2, 3, 4, 5, 2]",0.6651015191559875*(x[1]/x[1]+0.6345348794225033)-(0.102970169232935**0.7931979517464187),[0.66510152 0.63453488 0.10297017 0.79319795],1.0436620685629319,"{'fitness 25': 0.9465701509183944, 'fitness 53': 1.0373345387188957, 'fitness 74': 1.0483871068867372, 'fitness 102': 1.0452645600831627}",False
6,"[[0], [3], [], [], [], [], [0], [0]]",1.0240800867653967,4,x[0],"[1, 1, 0, 0, 0, 0, 1, 1]",x[0],[],1.1250398661405236,"{'fitness 25': 1.0240800867653967, 'fitness 53': 1.125333561886798, 'fitness 74': 1.118858927232444, 'fitness 102': 1.130927109302329}",False
7,"[[0], [3], [], [], [], [], [1], []]",1.1072232488028562,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.7564975374731121,[0.75649754],1.2027033142225865,"{'fitness 25': 1.1072232488028562, 'fitness 53': 1.1958787901259738, 'fitness 74': 1.207659995436073, 'fitness 102': 1.2045711571057132}",False
8,"[[0], [0], [2, 1], [0, 1, 3], [1, 2, 0, 1], [2, 2, 3, 2, 3, 0, 3], [0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 1, 0]]",1.1295093991041003,7,((x[0]*x[0])*Constant**Constant)/((Constant*x[1]/(x[1]+x[0]))/Constant),"[1, 1, 2, 3, 4, 7, 8, 5]",((x[0]*x[0])*0.7126570537389314**0.291744460317535)/((0.4252663102299258*x[1]/(x[1]+x[0]))/0.7614622849960937),[0.71265705 0.29174446 0.42526631 0.76146228],1.201179492296644,"{'fitness 25': 1.1295093991041003, 'fitness 53': 1.2146240437174278, 'fitness 74': 1.1836932486313685, 'fitness 102': 1.2052211845411356}",False
9,"[[0], [3], [], [], [], [], [1], []]",1.1877308474056794,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.6739310519965404,[0.67393105],1.28251900531396,"{'fitness 25': 1.1877308474056794, 'fitness 53': 1.2754966827138838, 'fitness 74': 1.2875670121712643, 'fitness 102': 1.2844933210567315}",False
