K,Rem,frictionFactor
1.2,2469.222453006508,2.431645152619965
1.2,2469.222453006508,2.423324987301867
1.2,2335.642479553295,2.6891067416629126
1.2,2211.7469654420333,2.71601904549029
1.2,2127.250946086024,2.775742562673043
1.2,2079.126670176601,2.6564501847335107
1.2,2068.4168364808124,2.569611456335196
1.2,2013.109991445702,3.0715177099971798
1.2,1934.003894353343,2.782616570274401
1.2,1958.0312975532847,3.283053112179839
1.2,2469.1279595881124,2.431697239650791
1.2,2469.1279595881124,2.4234071774228467
1.2,2335.500960159296,2.68922674922423
1.2,2211.5706346676006,2.716164497869042
1.2,2127.0474340524643,2.7759159910636018
1.2,2078.894612171164,2.656649357937072
1.2,2068.139803816575,2.569836232604979
1.2,2012.7954316085893,3.0718247782715298
1.2,1933.6585271283757,2.782929534568471
1.2,1957.6379359263128,3.283451671642059
1.2,2468.9704776332665,2.43178405632781
1.2,2468.9704776332665,2.423532636251585
1.2,2335.2849714305653,2.6894139824095493
1.2,2211.2955833760107,2.7164069531233266
1.2,2126.7082854252167,2.776218303778076
1.2,2078.490222726945,2.656986123424189
1.2,2067.671560985082,2.5702170658165
1.2,2012.2627044959752,3.0723403523523327
1.2,1933.078925641688,2.7834463280965136
1.2,1956.9887292745784,3.2841200620057927
1.2,2468.7421445079112,2.431909951521161
1.2,2468.7421445079112,2.423714358276325
1.2,2334.972191348605,2.6896828756601843
1.2,2210.9006906038585,2.7167464632071647
1.2,2126.2335573304613,2.776634711038977
1.2,2077.933471918011,2.657460585848128
1.2,2067.012222334582,2.570744912868199
1.2,2011.5247937459344,3.073053665584151
1.2,1932.2776011223089,2.784172150648234
1.2,1956.0776627828816,3.285052745243461
1.2,2468.458722355868,2.4320662533454422
1.2,2468.458722355868,2.4239437130609844
1.2,2334.5775453114693,2.69002387120001
1.2,2210.400112236607,2.7171831008951512
1.2,2125.623329711176,2.7771801951929804
1.2,2077.204591990893,2.658072892720405
1.2,2066.1619488223146,2.571429141568105
1.2,2010.5690722735112,3.073981468114252
1.2,1931.236316301733,2.7851123052300606
1.2,1954.8988228375651,3.2862619153882937
1.2,2468.1123564064146,2.432257316195237
1.2,2468.1123564064146,2.424229385370648
1.2,2334.086181392975,2.6904418287077623
1.2,2209.7868635003606,2.7177169598214688
1.2,2124.877705293487,2.777840021424571
1.2,2076.323610403414,2.658818484194632
1.2,2065.1275350782803,2.5722700015340147
1.2,2009.3958134317868,3.075118652600696
1.2,1929.961569142365,2.7862572655283784
1.2,1953.46509879846,3.287730551065556
1.2,2467.695199684119,2.4324874999446164
1.2,2467.695199684119,2.4245584247867784
1.2,2333.5204811630406,2.690936819898728
1.2,2209.0610269714543,2.718353011010365
1.2,2123.990034667825,2.778624282734207
1.2,2075.277458042025,2.6597023378728446
1.2,2063.902640900801,2.5732585999665085
1.2,2008.018164002132,3.0764601828226183
1.2,1928.4599189201845,2.787612521065033
1.2,1951.770757676495,3.289465230413289
1.2,2467.2230216930216,2.432748137906564
1.2,2467.2230216930216,2.424943860824216
1.2,2332.85816981597,2.691508929749258
1.2,2208.2227003475123,2.719076820536387
1.2,2122.980790614341,2.7795232530658907
1.2,2074.079587504088,2.660719972046855
1.2,2062.4941445488125,2.5743952770072407
1.2,2006.4364942380512,3.078001086732518
1.2,1926.7379794617648,2.789178684418834
1.2,1949.8163967067503,3.2914844655951465
1.2,2466.6879827694816,2.4330435951263194
1.2,2466.6879827694816,2.425377081251857
1.2,2332.1141971144016,2.6921534455534584
1.2,2207.2790373421485,2.719903114399709
1.2,2121.8298192843404,2.780547098584501
1.2,2072.7170050265604,2.6618764544869835
1.2,2060.895801803279,2.575694249990779
1.2,2004.6320399960243,3.079758498672139
1.2,1924.7778448940944,2.7909514676733287
1.2,1947.608919075013,3.29375980775845
1.2,2466.082253149323,2.433378243632916
1.2,2466.082253149323,2.425866806656129
1.2,2331.2737591804826,2.69287528472714
1.2,2206.223118920175,2.720827213807837
1.2,2120.5440888849234,2.781691118649525
1.2,2071.196604834306,2.6631673805034857
1.2,2059.114571756408,2.5771421674511834
1.2,2002.624502491831,3.0817221193386244
1.2,1922.592427081848,2.7929366597972023
1.2,1945.1428740447489,3.2963100380500605
1.2,2465.42160647758,2.433743419737664
1.2,2465.42160647758,2.426408768735492
1.2,2330.3443815672435,2.6936842042920346
1.2,2205.041017625655,2.721854186670921
1.2,2119.1170540121293,2.782960589655976
1.2,2069.5120893093517,2.6645979109502838
1.2,2057.1443074559083,2.5787395297326454
1.2,2000.4144194292408,3.0838872070065846
1.2,1920.1885313247697,2.7951351629163854
1.2,1942.4191272231728,3.2991423448489288
1.2,2464.6903578651577,2.434147849722524
1.2,2464.6903578651577,2.426998698606487
1.2,2329.3335888416914,2.6945610824217545
1.2,2203.7610362197247,2.722974519244373
1.2,2117.5624796241345,2.78434588279134
1.2,2067.6770081065283,2.666163717285177
1.2,2054.992045833121,2.5805007672076665
