genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [0, 2], [2, 1, 3], [2, 0, 0], [3, 2, 0, 1, 0], [1, 0, 1, 0, 1, 0], [0, 1, 1]]",0.33159255608822596,7,(Constant**Constant)/(x[0]*Constant+x[1]-Constant)+(x[1]**Constant),(0.9967797722476638**0.19165364114036187)/(x[0]*0.37619303201650256+x[1]-0.7524323992957882)+(x[1]**0.10254994010634766),0.3356803377948764,{'errortest': 0.3282978479556832},"[1, 1, 2, 3, 3, 5, 6, 3]"
"[[0], [0], [0, 2], [2, 2, 0], [0, 2, 2, 1], [2, 3, 1, 1, 3], [1, 1, 1, 1, 0, 1], [1]]",0.34674472210789753,7,(Constant*Constant**Constant)/(Constant**Constant)-(Constant-(x[1]/Constant)**Constant),(0.8968014982747431*0.5256874156781961**0.9944419070423158)/(0.47222056040834026**0.15118609501598523)-(0.9398966546525611-(x[1]/0.8492737522261635)**0.1258472889986324),0.35134041952661443,{'errortest': 0.32893929855985776},"[1, 1, 2, 3, 4, 5, 6, 1]"
"[[0], [1], [2, 1], [3, 3, 2], [2], [0, 3], [1, 1, 0], [0]]",0.4060147066630883,7,((Constant**Constant)+(Constant/(x[0]**Constant))),((0.3876829345379694**0.3443459137310454)+(0.9462209532606731/(x[0]**0.22713073837597098))),0.46126330405515326,{'errortest': 0.51826458323395},"[1, 1, 2, 3, 1, 2, 3, 1]"
"[[0], [2], [2], [0], [2, 2], [2], [1, 0], [1]]",0.46918572725790436,7,((Constant*x[1]**Constant)**Constant),((0.7047007331433432*x[1]**0.8835185441012064)**0.08761029337120074),0.5199849652396771,{'errortest': 0.5790044212078629},"[1, 1, 1, 1, 2, 1, 2, 1]"
"[[0], [1], [3, 2], [2], [1], [0, 2], [1, 0, 1], [0]]",0.4932098106512869,7,(Constant+(((x[0]*Constant)**Constant)**Constant)),(0.6885951779270735+(((x[0]*0.23342959881492698)**0.0477219200928094)**0.2550740703211204)),0.5548941136796203,{'errortest': 0.6240754062597731},"[1, 1, 2, 1, 1, 2, 3, 1]"
"[[0], [0], [3, 2], [2], [1], [3, 2, 0, 1, 0], [1, 0, 1, 0, 1, 0], [0, 1, 1]]",0.6330114973986624,7,Constant/(((x[0]*Constant)**Constant)**Constant),0.9573121329232411/(((x[0]*0.10120764647256486)**0.29314800560115983)**0.5714141737054503),0.6934539401682891,{'errortest': 0.7533819014180838},"[1, 1, 2, 1, 1, 2, 3, 1]"
"[[0], [1], [2, 1], [3, 3, 2], [2], [0, 3], [1, 0, 1], [0]]",0.6613121751820912,6,((Constant**Constant)+(x[0]/(Constant**Constant))),((0.8583066259000862**0.5459796120679418)+(x[0]/(0.4163293879277773**0.00780269416892565))),0.7100243570114093,{'errortest': 0.7826379771438484},"[1, 1, 2, 3, 1, 2, 3, 1]"
"[[0], [0], [3, 3], [0], [1, 0], [0, 3, 1, 2], [1, 0, 1, 1, 1], [0]]",0.693470920582425,5,Constant+x[0],0.8392466460930084+x[0],0.7561843380496073,{'errortest': 0.8404258491346501},"[1, 1, 2, 0, 0, 1, 2, 1]"
"[[0], [1], [3, 2], [2], [1], [0, 0], [1, 0, 1], [0]]",0.7317944690221942,7,(Constant+(((x[0]+Constant)**Constant)**Constant)),(0.3990458207003029+(((x[0]+0.16345284506821856)**0.13692028127319322)**0.8414461154077435)),0.8068465790769769,{'errortest': 0.8878375172891112},"[1, 1, 2, 1, 1, 2, 3, 1]"
"[[0], [0], [3, 1], [3, 0], [2, 0], [2, 1, 0, 3], [1, 0, 1, 1, 1], [0, 0, 1, 1, 1, 0]]",0.756232778754066,6,Constant*(x[0]-Constant+Constant/Constant),0.9348681790018261*(x[0]-0.40977907920543244+0.5490620472045652/0.45414217229479503),0.8373949632081896,{'errortest': 0.9359396231479539},"[1, 1, 2, 2, 2, 4, 5, 1]"
