genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [1], [0, 3], [1, 1], [3, 0, 1, 2], [1, 1, 1, 1, 1], []]",0.27755436244055914,6,(((Constant/Constant)+(Constant-Constant)*Constant)**Constant),(((0.8643591616389257/0.3936424102777657)+(0.9748471161329525-0.6934240264105941)*0.33510332823879285)**0.8033985486679025),0.284755637080061,{'errortest': 0.3094555683245686},"[1, 1, 1, 2, 2, 4, 5, 0]"
"[[0], [0], [2, 2], [2, 3], [2], [0], [1, 1], []]",0.313722862688029,6,((Constant**Constant)**Constant)+(Constant**Constant),((0.3676304915570968**0.6637341924464748)**0.031153135260273412)+(0.5844434327981992**0.7933734059526002),0.29073985241300204,{'errortest': 0.35782324287591527},"[1, 1, 2, 2, 1, 1, 2, 0]"
"[[0], [0], [3, 3], [], [], [3], [1, 1], []]",0.40156859288754476,4,Constant/Constant,0.9968460574260337/0.4661778066629191,0.4199181373820983,{'errortest': 0.41628437502636517},"[1, 1, 2, 0, 0, 1, 2, 0]"
"[[0], [2], [0], [2, 0], [1, 2, 2], [3, 0, 0], [1, 0, 1, 0], [1, 0]]",0.4100682859611913,7,(((Constant/x[1])**Constant)+Constant+x[0]**Constant),(((0.6807286737461274/x[1])**0.27639319865113865)+0.9801488960363843+x[0]**0.2761619396486682),0.425396674540543,{'errortest': 0.43554186827466357},"[1, 1, 1, 2, 3, 3, 4, 2]"
"[[0], [0], [0, 3], [3, 2], [0], [1, 2, 0], [0, 1, 1, 1], [0]]",0.5525639118947309,6,x[0]-(Constant*Constant**Constant)+Constant,x[0]-(0.08639467694703451*0.45235886086702526**0.7616531369332813)+0.6813504367920292,0.5140075923003714,{'errortest': 0.5994520956575435},"[1, 1, 2, 2, 1, 3, 4, 1]"
"[[0], [0], [3, 2], [3], [], [3], [0, 1], [0]]",0.7283566664453965,5,x[0]/(Constant**Constant),x[0]/(0.5202435695513745**0.8012554597139568),0.6881376269570192,{'errortest': 0.7742624183653222},"[1, 1, 2, 1, 0, 1, 2, 1]"
"[[0], [0], [3, 3], [], [], [3], [0, 1], [0]]",0.7999949001539489,5,x[0]/Constant,x[0]/0.7784969682470797,0.7324891980676614,{'errortest': 0.8459447923793122},"[1, 1, 2, 0, 0, 1, 2, 1]"
"[[0], [2], [3], [], [], [], [1], []]",0.8636419621620356,4,(Constant**Constant),(0.9186457020604722**0.04273039612255558),0.8339967157551319,{'errortest': 0.8930876648631383},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [1], []]",0.8659010967855341,4,(Constant**Constant),(0.8391029906062222**0.03418242264672999),0.836255155820669,{'errortest': 0.8953182932476433},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2], [3], [], [], [0], [0]]",0.8665301069564706,6,((x[0]**Constant)**Constant),((x[0]**0.1451369767099553)**0.34341827525898294),0.8347527105021766,{'errortest': 0.8967914774965882},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [1], []]",0.8770705601486427,3,Constant,0.9823660137146701,0.8474215121559829,{'errortest': 0.9063487382917564},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [2], [1], [2, 3], [2], [2], [1, 0], [0]]",0.8861924178619021,6,(((Constant**Constant)*x[0])**Constant),(((0.8748797848498954**0.6250567024455982)*x[0])**0.1280552678667447),0.8511850721493213,{'errortest': 0.9174409323129603},"[1, 1, 1, 2, 1, 1, 2, 1]"
"[[0], [2], [3], [], [], [], [1], []]",0.8881139725929524,4,(Constant**Constant),(0.9026201614090751**0.28870083633488886),0.8584623589540347,{'errortest': 0.9172577666825799},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [1], [3, 3], [], [1], [1, 1], []]",0.9061400319203603,5,((Constant-Constant)**Constant),((0.7895176734072094-0.3484404761651543)**0.059978576649480586),0.8764852193381315,{'errortest': 0.9350707663814597},"[1, 1, 1, 2, 0, 1, 2, 0]"
"[[0], [3], [], [], [], [], [1], []]",0.9062779918106956,3,Constant,0.9519475854708113,0.8766231591757049,{'errortest': 0.9352071249020515},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [0], [0]]",0.919704750292543,5,(x[0]**Constant),(x[0]**0.5059575716990543),0.8699758074349045,{'errortest': 0.9556764896303582},"[1, 1, 1, 0, 0, 0, 1, 1]"
