genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [3], [], [], [], [1], []]",3.8380084001762356,3,Constant * (x[1]**Constant) * (x[2]),0.8024018277517103 * (x[1]**0.5778446869029628) * (x[2]),3.7500836323008815,{'errortest': 3.8483508907726396},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [1], [0, 0], [2, 2, 2, 2], [1, 0, 0], [1, 0, 0, 1], [0, 0]]",4.5709763026971615,6,(Constant-x[0]+x[0]+Constant) * (x[1]**Constant) * (x[2]),(0.11576138544176517-x[0]+x[0]+0.8504988760601147) * (x[1]**0.5380743599779155) * (x[2]),5.326167994829252,{'errortest': 6.183350774931122},"[1, 1, 2, 4, 3, 4, 2]"
"[[0], [3], [], [], [], [1], [0]]",5.052021014624494,3,Constant * (x[1]**Constant) * (x[2]),0.15447003862737207 * (x[1]**0.7864991358111012) * (x[2]),5.647978457746527,{'errortest': 5.925526616094474},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [1], [1, 2], [0, 2, 1], [2, 3, 0, 0], [0, 1, 0, 0, 1], [0, 0, 0]]",6.229539151637578,6,((x[0]*Constant/x[0])+((x[0]+Constant)**Constant)) * (x[1]**Constant) * (x[2]),((x[0]*0.31142537167011974/x[0])+((x[0]+0.8602366786068082)**0.12685492794482933)) * (x[1]**0.48201487212429095) * (x[2]),7.2803038574785806,{'errortest': 8.472206858483604},"[1, 1, 2, 3, 4, 5, 3]"
"[[0], [0], [3, 2], [1, 0], [2, 0, 3, 0], [1, 0, 1], [0, 0, 0]]",7.556406926064709,6,Constant*((x[0]+Constant)**Constant) * (x[1]**Constant) * (x[2]),0.7024355862198964*((x[0]+0.5786502706083093)**0.12297906640941969) * (x[1]**0.5613997718785455) * (x[2]),8.776827302557782,{'errortest': 9.930587136678064},"[1, 1, 2, 1, 2, 3, 1]"
"[[0], [1], [3, 1], [2, 1, 0, 1], [0, 3, 3], [1, 1, 0, 0], [0, 0]]",7.585258628622781,6,(Constant+(Constant/(x[0]/x[0]))) * (x[1]**Constant) * (x[2]),(0.11010036739162798+(0.15425291314317413/(x[0]/x[0]))) * (x[1]**0.6983456358393137) * (x[2]),8.610495490682611,{'errortest': 9.350448088969172},"[1, 1, 2, 2, 3, 4, 2]"
"[[0], [2], [2], [0], [2], [0, 1], [0]]",8.423281328457438,6,((x[0]*Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((x[0]*0.8211275579873428**0.025379939584880606)**0.16356135510837244) * (x[1]**0.5670700898006122) * (x[2]),8.05073269234704,{'errortest': 7.146931634056042},"[1, 1, 1, 1, 1, 2, 1]"
"[[0], [2], [2], [1, 0], [2], [1, 1, 1, 0, 0], [0, 0]]",9.55057105734944,5,(((Constant*Constant)**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.07849436139335175*0.9780852087158294)**0.36941434310552645)**0.10208964664215414) * (x[1]**0.5203081457898294) * (x[2]),10.987673050357252,{'errortest': 12.083526457117998},"[1, 1, 1, 1, 1, 2, 0]"
"[[0], [2], [3], [1, 1], [0, 1, 1], [0], [0]]",11.130825995603734,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.42434580194505944) * (x[1]**0.5223998087540128) * (x[2]),12.665209352334935,{'errortest': 14.634270076409194},"[1, 1, 1, 0, 0, 1, 1]"
"[[0], [1], [3, 0], [1, 0], [1, 2, 3, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0]]",11.462937681061167,6,(x[0]-(x[0]*x[0])/x[0]+Constant) * (x[1]**Constant) * (x[2]),(x[0]-(x[0]*x[0])/x[0]+0.08894456245000482) * (x[1]**0.9048862818386677) * (x[2]),12.260921252928819,{'errortest': 11.873440609708805},"[1, 1, 2, 2, 4, 5, 4]"
"[[0], [3], [], [2, 1, 0, 1], [], [1, 1, 0], [0]]",11.495068474199595,3,Constant * (x[1]**Constant) * (x[2]),0.5102060233410446 * (x[1]**0.669776030177703) * (x[2]),11.687170845969742,{'errortest': 11.098072120867498},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [1], [0]]",16.32943303948591,3,Constant * (x[1]**Constant) * (x[2]),0.4429119686742181 * (x[1]**0.7023551440372962) * (x[2]),16.953078131377737,{'errortest': 16.487667742693027},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [2], [1, 0], [0, 3], [0, 0, 0], [0]]",16.470431222184928,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5176212286449121) * (x[2]),18.581226582172157,{'errortest': 21.360825656485638},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [0, 0], [], [1, 0, 0], [1, 0, 0, 1], []]",17.742817776973734,3,Constant * (x[1]**Constant) * (x[2]),0.20463954342012491 * (x[1]**0.8103068399721249) * (x[2]),18.82482613774695,{'errortest': 18.53112815015773},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2], [1, 0], [2], [1, 0, 0], [0, 0, 0]]",18.145157001272995,6,(((Constant*x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.10063131788822155*x[0])**0.47451648501303967)**0.6775306756343604) * (x[1]**0.5680973150998089) * (x[2]),20.28435352949987,{'errortest': 22.157185330665747},"[1, 1, 1, 1, 1, 2, 1]"
"[[0], [1], [3, 0], [1, 1], [1, 1, 3, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0]]",18.54723647003722,6,(x[0]-(x[0]-x[0])/(x[0]-Constant)) * (x[1]**Constant) * (x[2]),(x[0]-(x[0]-x[0])/(x[0]-0.36568890368389884)) * (x[1]**0.49286832564006133) * (x[2]),21.033493488837443,{'errortest': 24.04995695223665},"[1, 1, 2, 2, 4, 5, 4]"
"[[0], [3], [], [1, 1], [0, 1, 1], [1, 1, 1, 0, 0], [0]]",19.484040171613874,3,Constant * (x[1]**Constant) * (x[2]),0.308001590592605 * (x[1]**0.6064147861007834) * (x[2]),21.491249922696532,{'errortest': 22.678274602531353},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [0, 0], [], [1, 1, 3, 2, 0, 3], [1], [0, 0, 0]]",20.28067665104253,3,Constant * (x[1]**Constant) * (x[2]),0.049059012445524464 * (x[1]**0.8500812326146052) * (x[2]),22.07053507749141,{'errortest': 23.08922583229021},"[1, 1, 0, 0, 0, 1, 0]"
