genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [1], [2, 2], [2, 2, 1], [3, 2, 1, 3, 1], [0, 0, 1, 1], [0, 0, 0]]",2.0983757247244488,"[1, 1, 2, 2, 1, 2, 2]",6,((x[0]**Constant)/(x[0]**Constant)) * (x[1]**Constant) * (x[2]),((x[0]**0.22549847356892383)/(x[0]**0.3561919912715057)) * (x[1]**0.5403438088874737) * (x[2]),1.9898954365149224,{'errortest': 2.328105433072905}
"[[0], [1], [2, 1], [0, 1, 2], [2, 3, 2, 0, 2], [1, 1, 1, 0, 1, 0], [0]]",3.4400612904616596,"[1, 1, 2, 3, 4, 5, 1]",6,((Constant*Constant**Constant)/((Constant*x[0])+Constant)) * (x[1]**Constant) * (x[2]),((0.9959477655034787*0.40874987588870304**0.12849308401052661)/((0.9304486523644847*x[0])+0.9522548516813136)) * (x[1]**0.6328041880453914) * (x[2]),3.058652868336063,{'errortest': 2.7712259093646914}
"[[0], [1], [3, 3], [0, 2, 1], [3, 2, 1, 3, 1], [0, 0, 1, 0, 1], [0, 0, 0]]",3.6668796561775374,"[1, 1, 2, 0, 1, 2, 2]",5,(x[0]/x[0]) * (x[1]**Constant) * (x[2]),(x[0]/x[0]) * (x[1]**0.543791963429027) * (x[2]),3.7646483613599386,{'errortest': 4.2439998598279685}
"[[0], [3], [], [], [], [1, 1, 0, 0], []]",3.672171357142849,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6407389346815204 * (x[1]**0.6048518995363077) * (x[2]),3.87333096022904,{'errortest': 4.125406576685678}
"[[0], [3], [3, 1], [1, 2, 1], [3, 2, 1], [1, 0, 1, 1], [0]]",3.674271849804288,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6146067489089309 * (x[1]**0.6101978728124335) * (x[2]),3.904093646346711,{'errortest': 4.158758445106511}
"[[0], [3], [], [2, 1, 0, 1], [3, 0, 2], [1, 1, 0, 0], []]",3.693297064394562,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7084553946677526 * (x[1]**0.5887082702776625) * (x[2]),4.02257047500734,{'errortest': 4.463240132853455}
"[[0], [1], [1, 2], [0, 2, 1], [0, 1, 3, 0, 0, 3], [1, 0, 0, 0, 1], [0, 0, 0, 0]]",3.6983686372191906,"[1, 1, 2, 3, 4, 5, 3]",6,((Constant+x[0]-x[0])/((x[0]+Constant)**Constant)) * (x[1]**Constant) * (x[2]),((0.7546022832831094+x[0]-x[0])/((x[0]+0.90149170560542)**0.1459070498218138)) * (x[1]**0.5843869643000908) * (x[2]),4.349009888055978,{'errortest': 4.908039922112048}
"[[0], [3], [], [2, 1, 0, 1], [3, 0, 2], [1], [0, 0, 0]]",3.7017264292448235,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6590660692062696 * (x[1]**0.6022544467278027) * (x[2]),3.82247919527012,{'errortest': 4.004998675829461}
"[[0], [3], [2, 0], [], [], [1], [0]]",3.73114986286747,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4703296422163702 * (x[1]**0.6454764965248853) * (x[2]),4.0681592890556475,{'errortest': 4.281004597576138}
"[[0], [3], [3, 1], [0, 1, 2], [], [1, 1, 0, 0, 0, 1, 0, 1], [0]]",3.73953992362589,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4499652498016864 * (x[1]**0.652416267390048) * (x[2]),4.037695770266148,{'errortest': 4.17820886943374}
"[[0], [1], [3, 2], [0, 2, 1], [3, 2, 1, 3, 1], [0, 0, 1, 0, 1], [0, 0, 0]]",4.016858445037712,"[1, 1, 2, 1, 2, 3, 2]",6,(x[0]/(x[0]*Constant**Constant)) * (x[1]**Constant) * (x[2]),(x[0]/(x[0]*0.8643697587323981**0.16030962552490946)) * (x[1]**0.5463653326882403) * (x[2]),3.7164934018735734,{'errortest': 3.7929765975171144}
"[[0], [1], [2, 2], [2, 2, 1], [3, 2, 1, 3, 1], [0, 0, 1, 1], [0, 0, 0]]",4.037096311313878,"[1, 1, 2, 2, 1, 2, 2]",6,((x[0]**Constant)/(x[0]**Constant)) * (x[1]**Constant) * (x[2]),((x[0]**0.5476167497341939)/(x[0]**0.5519952083810995)) * (x[1]**0.5500535528531117) * (x[2]),3.7099522274154193,{'errortest': 3.728655477383708}
"[[0], [1], [2, 2], [2, 2, 1], [2, 3, 0, 0, 2], [1, 1, 0, 0, 1, 0], [0, 0, 0, 0]]",6.73706462941731,"[1, 1, 2, 2, 1, 2, 0]",5,((Constant**Constant)*(Constant**Constant)) * (x[1]**Constant) * (x[2]),((0.2943570278631221**0.14656584031487707)*(0.506870156124791**0.7584470523845938)) * (x[1]**0.6570583508790097) * (x[2]),6.650114403184001,{'errortest': 6.047741975946895}
"[[0], [3], [], [2, 1, 0, 1], [3, 0, 2], [1], [0, 0, 0]]",7.564856807390242,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5981265198678992 * (x[1]**0.6356431222509145) * (x[2]),7.423719786372059,{'errortest': 6.801852892031054}
"[[0], [3], [], [2, 2, 1], [2, 3, 3, 0, 2], [1, 1, 0, 0], [0, 0, 0]]",8.628163992599637,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.03492240638773314 * (x[1]**0.9701167517599851) * (x[2]),9.218025876612746,{'errortest': 9.54047471960384}
"[[0], [1], [2, 2], [1, 1, 0], [2, 0, 0, 0, 2], [1, 0, 1, 1], [0, 0, 0, 0]]",9.160016919850802,"[1, 1, 2, 2, 3, 4, 1]",6,(((Constant*x[0])**Constant)+((Constant+Constant)**Constant)) * (x[1]**Constant) * (x[2]),(((0.09085471508215903*x[0])**0.012947788602576171)+((0.6721677463962944+0.9290453197065172)**0.9179303912377293)) * (x[1]**0.3846802636615444) * (x[2]),10.671911480210625,{'errortest': 11.977960734425077}
"[[0], [3], [], [], [], [1, 1, 0, 0, 0, 1, 0, 1], [0]]",11.481158915473118,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.0862333836733622 * (x[1]**0.8307216922258474) * (x[2]),12.59333194192161,{'errortest': 13.315644428230033}
"[[0], [2], [1], [2, 1, 0, 1], [3, 0, 2], [1, 1, 0], [0, 0, 0]]",12.171346147401543,"[1, 1, 1, 2, 2, 3, 1]",6,((Constant/(Constant+x[0]))**Constant) * (x[1]**Constant) * (x[2]),((0.011063665985782345/(0.29230605428187795+x[0]))**0.2980544383662116) * (x[1]**0.6783451281965097) * (x[2]),13.399171013928491,{'errortest': 13.71696398572631}
"[[0], [3], [1, 2], [0, 2, 1], [3, 0, 2], [1, 1, 1, 0, 1, 0], [0]]",12.441208685114708,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.20550264580167488 * (x[1]**0.7069938574082276) * (x[2]),13.828718603032923,{'errortest': 14.748148338771347}
"[[0], [1], [0, 3], [2, 1, 0, 1], [3, 0, 2], [1, 1, 0, 0], [0, 0]]",14.187554479745543,"[1, 1, 2, 2, 3, 4, 2]",6,(Constant/(Constant+x[0])*x[0]) * (x[1]**Constant) * (x[2]),(0.8766921588969939/(0.10745795779686051+x[0])*x[0]) * (x[1]**0.519000625127122) * (x[2]),16.000441318987768,{'errortest': 17.479162795350955}
"[[0], [3], [2, 0], [], [], [0], [0]]",16.57947419022269,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5597434296719046) * (x[2]),17.57199909208792,{'errortest': 18.261800997329715}
"[[0], [3], [], [2, 1, 0, 1], [], [1, 1, 0, 0], []]",18.841128429428334,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.28951884640801884 * (x[1]**0.7662351408862011) * (x[2]),19.866066695258993,{'errortest': 19.54108645611037}
"[[0], [0], [3, 1], [2, 2, 1], [3, 2, 1], [1, 1, 1, 0], [0]]",20.909908931953016,"[1, 1, 2, 2, 2, 3, 0]",5,Constant/(Constant*Constant) * (x[1]**Constant) * (x[2]),0.34010768839156813/(0.4481874469951016*0.08095571969738191) * (x[1]**0.13055652811932916) * (x[2]),23.509943654896936,{'errortest': 25.04740159035339}
"[[0], [1], [1, 2], [2, 0, 1], [0, 1, 3, 0, 0, 3], [1, 0, 0, 0, 1], [0, 0, 0]]",21.195211389149634,"[1, 1, 2, 3, 4, 5, 3]",6,((Constant+x[0]-x[0])/((x[0]+Constant)**Constant)) * (x[1]**Constant) * (x[2]),((0.5600385801851204+x[0]-x[0])/((x[0]+0.8742822187370011)**0.30483704573329484)) * (x[1]**0.5330301258337284) * (x[2]),23.31029021499158,{'errortest': 24.3018529181648}
"[[0], [3], [0, 0], [2, 1, 1], [0, 3, 2, 0, 2, 0], [1, 0, 1, 1], [0, 0]]",21.940893829189726,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6577875579194392 * (x[1]**0.48320790948451087) * (x[2]),24.233108564740085,{'errortest': 25.546044401467622}
"[[0], [2], [0, 1], [0, 1, 2], [2, 3, 2, 0, 2], [1, 1, 1, 0, 1, 0], [0]]",23.05944711286466,"[1, 1, 1, 2, 3, 4, 1]",6,(Constant*Constant/(Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),(0.06274123200428605*0.47944719765911115/(0.24758522047267906*x[0])**0.35328716585596265) * (x[1]**0.8131444366603932) * (x[2]),24.965025798177113,{'errortest': 25.459214146560775}
"[[0], [3], [2, 2], [0, 1, 2], [2, 3, 2, 0, 2], [0], [0, 0, 0]]",23.710472989382,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.4394397245625379) * (x[2]),26.589658463979166,{'errortest': 29.397427770281954}
"[[0], [1], [2, 2], [2, 2, 1], [3, 2, 1, 3, 1], [0, 0, 1, 1], [0, 0, 0]]",24.629260943150868,"[1, 1, 2, 2, 1, 2, 2]",6,((x[0]**Constant)/(x[0]**Constant)) * (x[1]**Constant) * (x[2]),((x[0]**0.24397892345772232)/(x[0]**0.9701380330998024)) * (x[1]**0.37364270913265996) * (x[2]),26.8835583385426,{'errortest': 27.223559688826157}
"[[0], [1], [2, 1], [0, 1, 2], [3, 2, 2, 2], [1, 0, 1, 1, 1, 0], [0, 0]]",24.718804892175104,"[1, 1, 2, 3, 4, 5, 1]",6,((Constant/x[0]**Constant)*((Constant*Constant)*Constant)) * (x[1]**Constant) * (x[2]),((0.29354223477554153/x[0]**0.12727987092294923)*((0.7442142556169686*0.40556345119668125)*0.9260374194759571)) * (x[1]**0.7353054065602803) * (x[2]),26.90843550125503,{'errortest': 27.925405669569205}
"[[0], [3], [1, 3], [2, 1, 1], [3, 2, 1], [1, 0, 1, 1], [0]]",26.415086415409732,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6255392044987403 * (x[1]**0.44400247933589676) * (x[2]),28.991935807538205,{'errortest': 30.379085399056564}
"[[0], [3], [], [2, 1, 0, 1], [3, 0, 2], [1, 1, 0, 0], []]",27.056179672696477,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6061674651936926 * (x[1]**0.44021473870689676) * (x[2]),29.670174413367615,{'errortest': 31.066017791794675}
"[[0], [3], [2, 2], [0, 1, 2], [2, 3, 2, 0, 2], [0], [0, 0, 0]]",27.571105128192986,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.39108922413724223) * (x[2]),30.60946768082483,{'errortest': 33.09526570183084}
"[[0], [1], [1, 1], [0, 2, 2, 2], [2, 3, 0, 0, 2], [1, 0, 0, 0, 1, 0], [0, 0, 0, 0]]",28.046051505922367,"[1, 1, 2, 4, 4, 5, 3]",6,((Constant*x[0]/x[0])+(x[0]+Constant)) * (x[1]**Constant) * (x[2]),((0.27553715738589457*x[0]/x[0])+(x[0]+0.8075632630405618)) * (x[1]**0.2693758114328818) * (x[2]),30.99516444010595,{'errortest': 32.90267325554632}
"[[0], [1], [3, 3], [0, 1, 2, 0], [3, 2, 1, 3, 1], [0, 0, 1, 0, 1], [0, 0, 0]]",28.4100854167422,"[1, 1, 2, 0, 1, 2, 2]",5,(x[0]/x[0]) * (x[1]**Constant) * (x[2]),(x[0]/x[0]) * (x[1]**0.35325169972075254) * (x[2]),31.15366818599771,{'errortest': 32.594868432542796}
"[[0], [1], [3, 3], [0, 2, 1], [3, 2, 1, 3, 1], [0, 0, 1, 0, 1], [0, 0, 0]]",28.462130806038925,"[1, 1, 2, 0, 1, 2, 2]",5,(x[0]/x[0]) * (x[1]**Constant) * (x[2]),(x[0]/x[0]) * (x[1]**0.35247468181744035) * (x[2]),31.208687841300943,{'errortest': 32.65054786761174}
"[[0], [3], [3, 1], [0, 2, 1], [2, 3, 2, 0, 2], [0, 1, 0, 0], [0, 0, 0]]",29.1430316948602,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.3666165974722637) * (x[2]),32.22989677058158,{'errortest': 34.57063884456565}
