genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [3], [], [], [1], []]",5.566328589032183,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.2743003723354126**0.045450558547125985) * (x[1]**0.5584605186268778) * (x[2]),6.340751568746803,{'errortest': 6.059422605923898},"[1, 1, 1, 0, 0, 1, 0]"
"[[0], [2], [3, 2], [0, 0], [2, 0, 1], [1, 0, 1, 1], [0, 0]]",5.611987761540489,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.8245816081371311**0.6196771584932863) * (x[1]**0.5612380507082637) * (x[2]),6.8373199717739555,{'errortest': 6.3176965700487155},"[1, 1, 1, 0, 0, 1, 0]"
"[[0], [0], [3, 0], [0, 0], [0, 2, 3, 2], [0, 1, 0, 0, 1], [0, 0, 0]]",6.725668356493508,6,x[0]+Constant*x[0]/x[0]*Constant * (x[1]**Constant) * (x[2]),x[0]+0.8688218307682004*x[0]/x[0]*0.899164704636104 * (x[1]**0.5703270715720976) * (x[2]),8.169526528309863,{'errortest': 7.521247719327719},"[1, 1, 2, 2, 4, 5, 3]"
"[[0], [1], [3, 2], [2], [0], [1, 1], []]",7.614962970319439,5,(Constant+(Constant**Constant)) * (x[1]**Constant) * (x[2]),(0.41987270631804463+(0.7235075585081491**0.9558907662459106)) * (x[1]**0.5411481145607684) * (x[2]),7.657921488861281,{'errortest': 7.7267201397657415},"[1, 1, 2, 1, 1, 2, 0]"
"[[0], [3], [3], [], [], [1], [0]]",8.3881852896079,3,Constant * (x[1]**Constant) * (x[2]),0.08599354336675147 * (x[1]**0.8372330455270997) * (x[2]),8.367850975656907,{'errortest': 8.55738823735987},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [1], []]",10.244284213485614,3,Constant * (x[1]**Constant) * (x[2]),0.8968769447418271 * (x[1]**0.5774259821555956) * (x[2]),9.962950103615022,{'errortest': 10.075688514061707},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [3, 2], [2, 0], [0, 2, 3, 2], [0, 1, 0, 0, 1], [0, 0]]",11.930474541581743,5,x[0]+(Constant**Constant) * (x[1]**Constant) * (x[2]),x[0]+(0.38157943212323353**0.4153936891272869) * (x[1]**0.5745571273385341) * (x[2]),13.591549447349689,{'errortest': 12.693359258346431},"[1, 1, 2, 1, 1, 2, 1]"
"[[0], [1], [3, 2], [2], [2], [1, 0], [0, 0]]",12.996817415574972,6,(Constant*(x[0]**Constant)) * (x[1]**Constant) * (x[2]),(0.9866637384262287*(x[0]**0.020013538557549615)) * (x[1]**0.5288024437391392) * (x[2]),14.688121104170307,{'errortest': 13.765742339036901},"[1, 1, 2, 1, 1, 2, 1]"
"[[0], [2], [3], [2, 0], [0, 2, 2], [0, 0, 0, 1], [0]]",14.574253040437481,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.4851987558675326) * (x[1]**0.5402937749142083) * (x[2]),15.479979424979188,{'errortest': 15.557367935638503},"[1, 1, 1, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [1], []]",14.781026345356782,3,Constant * (x[1]**Constant) * (x[2]),0.8840460750573661 * (x[1]**0.537016746358561) * (x[2]),16.533130557625668,{'errortest': 15.506866488163135},"[1, 1, 0, 0, 0, 1, 0]"
