genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [3, 0], [0, 0], [1, 1, 2, 1], [1, 3, 0, 1, 0, 2, 3], [0, 1, 0, 1, 1, 1, 1, 0], [0, 1, 0]]",0.34897128157892315,7,x[0]-(Constant/x[1])+(Constant-Constant)+Constant*(Constant/x[0]),x[0]-(0.7815556241418073/x[1])+(0.5860717874663147-0.2883320940552848)+0.6119121323933278*(0.726459962194319/x[0]),0.34107351760818827,{'errortest': 0.3997331768880433},"[1, 1, 2, 2, 4, 7, 8, 3]"
"[[0], [2], [2], [3], [], [], [0], [1]]",0.35208205414160554,6,((x[1]**Constant)**Constant),((x[1]**0.6093449624176761)**0.08835139656687374),0.3374508798506184,{'errortest': 0.41170838004675914},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [0], [3, 2], [1], [0, 2], [0, 2, 3], [0, 1, 0, 1], [0, 0]]",0.5804837710867677,7,x[0]+((Constant*x[0]/Constant)**Constant),x[0]+((0.3975340927997657*x[0]/0.5453399298875762)**0.08214915713593218),0.5892062223212067,{'errortest': 0.6431486207760311},"[1, 1, 2, 1, 2, 3, 4, 2]"
"[[0], [2], [2], [3], [], [], [0], [1]]",0.6373085082565537,6,((x[1]**Constant)**Constant),((x[1]**0.026800217093849166)**0.9514669946767129),0.6169929479274137,{'errortest': 0.6870253349053422},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [1], [0, 1], [2, 2, 3, 0], [2, 2, 1, 0], [0, 3, 0, 0, 1, 0], [0, 1, 1, 0, 1, 0, 0], [0, 0, 1, 1]]",0.6888701353741512,7,((x[0]**Constant)+(Constant**Constant)/(Constant+(x[0]+Constant)-x[1]+x[1])),((x[0]**0.6874607171993886)+(0.25297155751824973**0.12509777164655012)/(0.7362515738533857+(x[0]+0.8926409572354963)-x[1]+x[1])),0.6503717998996998,{'errortest': 0.7569059098236353},"[1, 1, 2, 4, 4, 6, 7, 4]"
"[[0], [2], [3], [], [], [], [1], []]",0.9407403110153136,4,(Constant**Constant),(0.7113574306821626**0.23916848231044496),0.9201679362359058,{'errortest': 0.9852350809138837},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [0], [0]]",0.9768935945184339,5,(x[0]**Constant),(x[0]**0.5991840568058199),0.9315266319106734,{'errortest': 1.0401588418888368},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2], [0], [2, 1], [2, 0], [0, 1, 1], [0]]",0.978244063404224,7,((x[0]*(Constant+Constant)**Constant)**Constant),((x[0]*(0.793032197879964+0.8907597490398006)**0.0413111828758177)**0.6759145938215753),0.9298723729758454,{'errortest': 1.0435035486627828},"[1, 1, 1, 1, 2, 2, 3, 1]"
"[[0], [2], [3], [], [], [], [0], [0]]",0.98168601288046,5,(x[0]**Constant),(x[0]**0.6289260496657897),0.9352237928317261,{'errortest': 1.0455365798689766},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [2, 3], [0], [1, 2], [1, 0, 0], [1, 1, 1, 1], []]",0.9950480471249272,6,(((Constant-Constant)+Constant**Constant)+Constant),(((0.21034987199142063-0.7272988925193762)+0.4150914018512649**0.15810425367514203)+0.5123132499751835),0.9743427144715637,{'errortest': 1.0388168825372668},"[1, 1, 2, 1, 2, 3, 4, 0]"
"[[0], [3], [], [], [], [], [0], [0]]",1.0360338256865687,4,x[0],x[0],0.9770421371682696,{'errortest': 1.1054411227356082},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [0], [3, 1], [3, 3], [], [0, 1], [0, 0, 0], [0, 1, 1]]",1.0360338256865687,6,x[0]+(x[1]-x[1]),x[0]+(x[1]-x[1]),0.9770421371682696,{'errortest': 1.1054411227356082},"[1, 1, 2, 2, 0, 2, 3, 3]"
"[[0], [3], [], [], [], [], [0], [0]]",1.0360338256865687,4,x[0],x[0],0.9770421371682696,{'errortest': 1.1054411227356082},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",1.0360338256865687,4,x[0],x[0],0.9770421371682696,{'errortest': 1.1054411227356082},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [2], [3], [], [], [], [1], []]",1.0596779465735153,4,(Constant**Constant),(0.7573884855143086**0.8076623762127699),1.0388381078250213,{'errortest': 1.1026683663113872},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",1.2140276765687854,3,Constant,0.6407748263757199,1.192941968177489,{'errortest': 1.255460573971617},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",1.2331202334031073,3,Constant,0.6212757981724671,1.2120097263645844,{'errortest': 1.2743849543443764},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",1.2580719286249875,3,Constant,0.5958120662603061,1.2369305098851981,{'errortest': 1.2991238451101175},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [0], [3, 1], [3, 0], [2, 2], [3, 2, 2], [1, 1, 0, 0], [0, 0]]",1.4163730121503364,7,Constant/(Constant*x[0]*x[0]),0.5814481616237192/(0.5048462486178187*x[0]*x[0]),1.4850067081106815,{'errortest': 1.7995747871954386},"[1, 1, 2, 2, 2, 3, 4, 2]"
"[[0], [2], [0], [2, 3], [0], [3, 1], [0, 0, 1], [0, 1]]",1.6348358456984249,7,((x[0]/x[1]**Constant)-Constant**Constant),((x[0]/x[1]**0.023992710508869974)-0.3236148327395192**0.6076374260632756),1.57881804083801,{'errortest': 1.6916404892539552},"[1, 1, 1, 2, 1, 2, 3, 2]"
"[[0], [3], [], [], [], [], [1], []]",1.6836950662042425,3,Constant,0.16384047390765055,1.6622010590658276,{'errortest': 1.7220220025357795},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [1], [2, 0], [2, 3, 3], [0], [1, 3, 3], [0, 1, 1, 0], [0, 1]]",1.8450346236891424,7,(((x[0]-Constant**Constant)**Constant)/Constant/x[1]),(((x[0]-0.00526891187693368**0.8920699627364198)**0.22923260766811093)/0.22353018581207673/x[1]),1.8234900870603803,{'errortest': 1.8826618651356195},"[1, 1, 2, 3, 1, 3, 4, 2]"
"[[0], [2], [0], [2, 3], [1], [1, 3], [0, 0, 0], [1, 1, 1]]",1.8458993192948538,7,(((x[1]-x[1])**Constant)/x[1]**Constant),(((x[1]-x[1])**0.5181639547940295)/x[1]**0.4844525811479553),1.8243237455836117,{'errortest': 1.8834985645831017},"[1, 1, 1, 2, 1, 2, 3, 3]"
"[[0], [1], [0, 2], [3, 0, 2], [0, 2, 0], [2, 0, 2, 1, 2], [1, 1, 1, 1, 0, 1], [0]]",2.0347257997652295,7,(Constant*Constant+Constant*Constant-((x[0]*Constant**Constant)**Constant)),(0.9407055214554143*0.2693535504824166+0.4329685547674378*0.6513759434875757-((x[0]*0.3440147050336678**0.44787069933446155)**0.5475676363810114)),2.0326628767461847,{'errortest': 2.0619790501214346},"[1, 1, 2, 3, 3, 5, 6, 1]"
"[[0], [1], [1, 0], [1, 2, 3, 1], [2, 2, 2, 2, 0], [3, 1, 0, 1, 1, 2], [1, 0, 1, 0, 0, 0, 1], [0, 1, 1, 0]]",2.2379587713716154,7,(((Constant/x[0])-(Constant**Constant))+x[1]-(x[1]-x[0]*Constant)),(((0.10118390162607771/x[0])-(0.5895648372447243**0.9070217969609758))+x[1]-(x[1]-x[0]*0.10655653281922917)),2.217069973881714,{'errortest': 2.2709094024735035},"[1, 1, 2, 4, 5, 6, 7, 4]"
"[[0], [1], [1, 1], [1, 2, 2, 2], [2, 1, 2, 2, 1], [2, 3, 2, 3, 3, 2], [0, 1, 1, 1, 0, 1, 1], [1, 1]]",2.7873431888406346,7,(((x[1]*(Constant/Constant))*(Constant**Constant))/((x[1]**Constant)/((Constant*Constant)**Constant))),(((x[1]*(0.6741097270394777/0.650958315670524))*(0.5753710952897063**0.6867755077806367))/((x[1]**0.7409962246442284)/((0.8530992722522035*0.5656656026183856)**0.46032464603458045))),2.867994445295487,{'errortest': 2.78866205145619},"[1, 1, 2, 4, 5, 6, 7, 2]"
"[[0], [0], [1, 2], [0, 1, 0], [1, 2, 2, 1, 1, 2], [0, 1, 3, 1, 2, 3, 1, 3], [1, 0, 0, 1, 0, 1, 1, 1, 1], [0, 1, 1]]",7.181239791602674,7,((Constant+x[0])-x[1]/(Constant-(x[1]*Constant)))/((Constant-Constant)/Constant**Constant),((0.4500579796246186+x[0])-x[1]/(0.3703959730612325-(x[1]*0.23957573472469595)))/((0.19675344235946368-0.8757899828119495)/0.3851264437850085**0.4483748172596357),7.201705079238344,{'errortest': 7.2004136494040365},"[1, 1, 2, 3, 6, 8, 9, 3]"
"[[0], [1], [2, 3], [2], [1], [2, 0], [0, 1, 0], [1, 0]]",15.215001333051989,7,((((x[1]*Constant)**Constant)**Constant)+x[0]),((((x[1]*0.7630247522446955)**0.6639218483489111)**0.507138108891635)+x[0]),15.543677295184851,{'errortest': 15.292691309090557},"[1, 1, 2, 1, 1, 2, 3, 2]"
"[[0], [1], [3, 2], [2], [1], [2, 0], [1, 0, 0], [1, 1]]",97.70974138608884,7,(Constant*(((x[1]+x[1])**Constant)**Constant)),(0.9451661071344765*(((x[1]+x[1])**0.6108574424048034)**0.8272188770807394)),100.13479823390804,{'errortest': 98.75080787636708},"[1, 1, 2, 1, 1, 2, 3, 2]"
"[[0], [0], [1, 0], [2, 0, 3, 0], [0, 2, 2, 0, 2], [3, 0, 0, 2, 2, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 0, 0]]",150.4859573868273,7,((Constant/Constant**Constant)+Constant+x[1])*x[0]*Constant+x[0]-Constant,((0.9559400078741864/0.5775501259957233**0.5341923580430062)+0.37163172176687853+x[1])*x[0]*0.029962811569327785+x[0]-0.9362623197008723,166.05648018380163,{'errortest': 152.38430926926904},"[1, 1, 2, 4, 5, 7, 8, 3]"
"[[0], [0], [3, 2], [2], [2], [1], [1, 0], [1]]",250.2011942473473,7,Constant-((x[1]**Constant)**Constant),0.5590008959564633-((x[1]**0.7973888732700877)**0.8116517288317797),257.8640244035413,{'errortest': 253.6450100712106},"[1, 1, 2, 1, 1, 1, 2, 1]"
"[[0], [2], [2], [1], [0, 1], [3, 2, 2], [1, 0, 0, 0], [0, 1, 1]]",328.51853070017637,7,(((Constant/x[0]*(x[1]*x[1]))**Constant)**Constant),(((0.011277570411458715/x[0]*(x[1]*x[1]))**0.5591507632490492)**0.8140800911582222),332.6364672194045,{'errortest': 339.528290627584},"[1, 1, 1, 1, 2, 3, 4, 3]"
"[[0], [1], [1, 2], [2, 3, 1], [0, 1, 0], [3, 1, 3, 2, 3, 3], [0, 1, 1, 0, 0, 0, 1], [0, 0, 0, 1]]",1426.9161999953633,7,(((x[0]/Constant**Constant)-Constant)/(((x[0]*x[0])/x[1]/Constant)**Constant)),(((x[0]/0.2521799370116957**0.7801815373237636)-0.08293966772570682)/(((x[0]*x[0])/x[1]/0.5593798725990662)**0.7715164523312159)),1432.4449712233945,{'errortest': 1472.3818114723927},"[1, 1, 2, 3, 3, 6, 7, 4]"
"[[0], [0], [2, 2], [3, 0], [1, 2], [1, 0, 1], [0, 0, 0, 0], [1, 0, 1, 1]]",1575.4891764844663,7,(x[1]**Constant)-((x[0]+x[1])-x[1]**Constant),(x[1]**0.9093430163058905)-((x[0]+x[1])-x[1]**0.8272102042195884),1669.5226917710586,{'errortest': 1616.5005936044731},"[1, 1, 2, 2, 2, 3, 4, 4]"
"[[0], [1], [3, 2], [2], [2], [3], [0, 0], [1, 1]]",2433.466103464248,7,(x[1]/((x[1]**Constant)**Constant)),(x[1]/((x[1]**0.18005047186480871)**0.4758135366847366)),2539.5055187200073,{'errortest': 2480.11227753462},"[1, 1, 2, 1, 1, 1, 2, 2]"
"[[0], [1], [1, 1], [3, 2, 2, 3], [0, 2], [0, 3, 0, 2], [0, 0, 0, 1, 0], [0, 0, 0, 1]]",2657.0400701783583,7,((x[0]+(x[0]/x[0]**Constant))+((Constant**Constant)*x[1])),((x[0]+(x[0]/x[0]**0.952535653282575))+((0.13028281510887607**0.3163436914896217)*x[1])),2783.493732448346,{'errortest': 2712.4822994967913},"[1, 1, 2, 4, 2, 4, 5, 4]"
