genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [0], [3, 1], [1, 0], [0, 0, 1, 0, 3, 3, 0], [1, 1, 1, 0, 0, 0, 0, 1], [1, 1]]",0.16936226003472907,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant+((Constant+Constant)-x[1]+x[1])**Constant),(0.5355614615355121+((0.7290134239383167+0.42222469946483965)-x[1]+x[1])**0.8391450681664984),0.15084540843176622,{'errortest': 0.1900634808524965}
"[[0], [2], [2], [3], [], [], [0], [1]]",0.19794547998546652,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.525138278923831)**0.0918388825780343),0.17412192431818344,{'errortest': 0.21322743102872288}
"[[0], [0], [3, 1], [1, 0], [0, 0, 0, 2], [0, 0, 1, 0, 3, 3, 0], [1, 1, 1, 0, 0, 0, 0, 1], [0, 0, 0, 1]]",0.3135626951549883,"[1, 1, 2, 2, 4, 7, 8, 4]",7,Constant+((Constant+Constant-x[0]+x[0])/x[0]/x[1]+Constant),0.9287668142147812+((0.5623240043334542+0.107508258817675-x[0]+x[0])/x[0]/x[1]+0.4456748034851572),0.2900352111776452,{'errortest': 0.3196352223328366}
"[[0], [1], [2, 1], [3, 0, 1], [2, 0, 0, 1], [1, 1, 3, 1, 1, 3, 1], [0, 0, 1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 1]]",0.468010347838158,"[1, 1, 2, 3, 4, 7, 8, 5]",7,((x[0]**Constant)-(x[1]-Constant/Constant-(x[1]-x[0]/(x[1]-Constant)))),((x[0]**0.6775721882928112)-(x[1]-0.19620401723330505/0.7718998065978709-(x[1]-x[0]/(x[1]-0.3072947039421615)))),0.4062909150718083,{'errortest': 0.47008760745805256}
"[[0], [1], [3, 1], [3, 0, 1], [2, 0, 0, 1], [1, 1, 3, 1, 1, 3, 1], [0, 0, 1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 1]]",0.5246139845931891,"[1, 1, 2, 2, 2, 4, 5, 3]",7,(x[0]-(x[1]-Constant/Constant-x[1])),(x[0]-(x[1]-0.8487637080550715/0.9462523040151744-x[1])),0.5219528171199368,{'errortest': 0.5464371801252893}
"[[0], [1], [3, 2], [3], [], [0], [0, 0], [0, 0]]",0.6124786540231213,"[1, 1, 2, 1, 0, 1, 2, 2]",6,(x[0]+(x[0]**Constant)),(x[0]+(x[0]**0.06691338381393286)),0.6181695347160452,{'errortest': 0.6344171801155272}
"[[0], [1], [3, 2], [3], [], [0], [0, 0], [0, 0]]",0.6335090190232364,"[1, 1, 2, 1, 0, 1, 2, 2]",6,(x[0]+(x[0]**Constant)),(x[0]+(x[0]**0.15944888951230196)),0.6380102016843918,{'errortest': 0.6554326117467748}
"[[0], [2], [2], [1], [1, 1], [0, 0, 1], [1, 1, 1, 1], []]",0.6446934880798735,"[1, 1, 1, 1, 2, 3, 4, 0]",6,((((Constant+Constant)+(Constant-Constant))**Constant)**Constant),((((0.9213496777656242+0.22136288567539397)+(0.6081122456991068-0.09091290201866331))**0.40179575110426136)**0.08233051606711417),0.6253759713933454,{'errortest': 0.644196731285103}
"[[0], [2], [3], [], [], [], [0], [0]]",0.6621426793014263,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.06472018486718134),0.6390852537775339,{'errortest': 0.6611596364877605}
"[[0], [2], [2, 1], [3, 0, 1], [2, 0, 0, 1], [1, 1, 3, 1, 1, 3, 1], [0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 0, 1]]",0.6624237791786941,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[0]**Constant)**Constant),((x[0]**0.4290438003580417)**0.18788369909993496),0.6384219877190399,{'errortest': 0.6613576664596995}
"[[0], [2], [2], [3], [], [], [1], [0]]",0.6632000835339921,"[1, 1, 1, 1, 0, 0, 1, 0]",5,((Constant**Constant)**Constant),((0.7943844964464725**0.8124853738873171)**0.012012416510720048),0.6440082522962349,{'errortest': 0.6625359194519256}
"[[0], [2], [2], [3], [], [], [1], []]",0.663982540644384,"[1, 1, 1, 1, 0, 0, 1, 0]",5,((Constant**Constant)**Constant),((0.8662667869509019**0.9278124501420004)**0.02295480353970114),0.6447958824588421,{'errortest': 0.6633115113427152}
"[[0], [2], [2], [3], [], [], [1], []]",0.6646563786566521,"[1, 1, 1, 1, 0, 0, 1, 0]",5,((Constant**Constant)**Constant),((0.9708210044731596**0.2691283611603982)**0.47133266750455804),0.6454741664951581,{'errortest': 0.6639794505548388}
"[[0], [1], [3, 2], [3], [], [0], [0, 0], [0, 0]]",0.6652391962007985,"[1, 1, 2, 1, 0, 1, 2, 2]",6,(x[0]+(x[0]**Constant)),(x[0]+(x[0]**0.2975689407253196)),0.6680591581451606,{'errortest': 0.6871442964466817}
"[[0], [2], [3], [], [], [], [0], [0]]",0.6668062939773848,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.31939563374382796),0.6287734042250498,{'errortest': 0.6645498714165206}
"[[0], [2], [3], [], [], [], [0], [0]]",0.6709248241247507,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.5462476840969382),0.620033420783872,{'errortest': 0.6677482887369436}
