genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [2, 1], [3, 2, 3, 0], [2, 1, 0], [3, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0]]",0.5726433041679404,7,(x[0]**Constant)/((x[0]**Constant)-Constant),(x[0]**0.471606371264928)/((x[0]**0.4033996459139696)-0.28236428058537766),0.6315538530124503,{'errortest': 0.6186706334868851},"[1, 1, 2, 3, 1, 2, 3, 2]"
"[[0], [0], [0, 2], [0, 3, 0], [1, 1, 2, 0], [0, 0, 2, 2, 0, 1, 2], [1, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0]]",0.6095304100552064,7,(Constant+x[0])+(Constant*x[0])*Constant+(x[0]-x[0]*x[0]**Constant),(0.6497394262070817+x[0])+(0.43759749485691246*x[0])*0.0016378494692175227+(x[0]-x[0]*x[0]**0.3563663719389656),0.6715658903382427,{'errortest': 0.6657532293338341},"[1, 1, 2, 3, 4, 7, 8, 5]"
"[[0], [2], [2], [2, 2], [1, 2], [3, 3], [0, 0, 1], [1, 0, 0]]",0.648835536263544,7,((((x[1]/x[0])**Constant)**Constant)**Constant),((((x[1]/x[0])**0.36872278602862096)**0.6926265342553828)**0.15267875890781235),0.7180876484674881,{'errortest': 0.6975651130248635},"[1, 1, 1, 1, 1, 1, 2, 2]"
"[[0], [1], [0, 2], [2, 0, 0], [1, 2, 2, 2, 2], [2, 3, 3, 3, 0], [1, 0, 1, 1, 1, 0], [0, 1]]",0.7881714263122876,7,(((Constant*x[0])**Constant)/Constant/Constant/(Constant+x[1]**Constant)),(((0.9753279698187336*x[0])**0.8246104704395577)/0.5023601886669494/0.18796065001402684/(0.6074272870758354+x[1]**0.2199705918713578)),0.82295050216924,{'errortest': 0.8410994216960244},"[1, 1, 2, 3, 5, 5, 6, 2]"
"[[0], [0], [3, 3], [], [], [3], [1, 1], []]",0.8988658320245247,4,Constant/Constant,0.7910182276644071/0.7218543311368572,0.9590546847918335,{'errortest': 0.9444847840945598},"[1, 1, 2, 0, 0, 1, 2, 0]"
"[[0], [0], [3, 0], [0, 3], [0, 0], [0, 2, 1, 2, 3], [1, 0, 1, 1, 1, 0], [0, 0]]",0.9463475417284143,7,Constant+x[0]*Constant-Constant*Constant/x[0],0.38818826822134156+x[0]*0.8734442236099922-0.022141716401267275*0.9925734723072336/x[0],1.0157079583923359,{'errortest': 1.0016132106866564},"[1, 1, 2, 2, 2, 5, 6, 2]"
"[[0], [2], [1], [2, 2], [1, 2], [3, 3], [0, 0, 0], [0, 0, 0]]",0.9810690872717136,7,((((x[0]/x[0])**Constant)/(x[0]**Constant))**Constant),((((x[0]/x[0])**0.3464397295016186)/(x[0]**0.04585946082473935))**0.9134721560373213),1.0402873963598647,{'errortest': 1.0253510698699744},"[1, 1, 1, 2, 2, 2, 3, 3]"
"[[0], [0], [3, 3], [], [], [3], [0, 0], [1, 1]]",0.990436701425375,5,x[1]/x[1],x[1]/x[1],1.0503024014397568,{'errortest': 1.035296968903644},"[1, 1, 2, 0, 0, 1, 2, 2]"
"[[0], [2], [2], [3], [1, 2], [], [0, 0, 0], [0, 0, 0]]",0.9913474000270313,6,((x[0]**Constant)**Constant),((x[0]**0.04960136933369952)**0.08283167535224967),1.0512753197010873,{'errortest': 1.0362630799445003},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [0], [3, 2], [1], [2, 3], [1, 0, 0], [1, 1]]",1.0339797123297936,7,(Constant*((x[1]/x[1])**Constant)**Constant),(0.9547192585040616*((x[1]/x[1])**0.8493336343344114)**0.1298134561697849),1.0936968785001375,{'errortest': 1.0785150348340917},"[1, 1, 1, 2, 1, 2, 3, 2]"
"[[0], [3], [3, 3], [], [], [], [1, 1], []]",1.040602684198839,3,Constant,0.9478454597883232,1.10029762481455,{'errortest': 1.085090418546195},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [2], [3, 3], [], [], [3], [1, 1], []]",1.041180574485951,4,(Constant**Constant),(0.6578901977496943**0.12943488491821264),1.1008735806182681,{'errortest': 1.0856641787324866},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2], [3, 3], [], [0], [0, 1], [0]]",1.041502336356176,6,((x[0]**Constant)**Constant),((x[0]**0.43950388103357585)**0.5508767703852958),1.1046988781661449,{'errortest': 1.0892715066879226},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [1], [3, 1], [0, 3], [0, 0], [1, 0, 1, 2, 1], [0, 0, 1, 1, 1, 1], [0, 0]]",1.0646674838591026,7,(x[0]-(x[0]+Constant-Constant*Constant-Constant)),(x[0]-(x[0]+0.47974890010559823-0.6713395799390368*0.9128563194144589-0.7898093203074887)),1.1242825365302704,{'errortest': 1.1089861876370617},"[1, 1, 2, 2, 2, 5, 6, 2]"
"[[0], [2], [1], [0, 2], [0, 2, 2], [3, 3, 2], [1, 0, 0, 1], [0, 0, 0]]",1.0676839437829473,7,((Constant/x[0]/x[0]*(Constant**Constant))**Constant),((0.7882222450570062/x[0]/x[0]*(0.5710646289438178**0.5751951636471933))**0.7389924766723118),1.098684942320126,{'errortest': 1.0916367778519054},"[1, 1, 1, 2, 3, 3, 4, 2]"
"[[0], [2], [2], [3], [], [], [0], [0]]",1.1224423585384413,6,((x[0]**Constant)**Constant),((x[0]**0.9165131816715169)**0.75822437081292),1.1905335427026218,{'errortest': 1.174175582585641},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [2], [3], [], [], [1], []]",1.126973489422373,5,((Constant**Constant)**Constant),((0.4019496440895598**0.20202907860957453)**0.8286491311647832),1.1863883556508152,{'errortest': 1.1708811572853064},"[1, 1, 1, 1, 0, 0, 1, 0]"
"[[0], [2], [3], [3, 3], [], [2], [0, 0, 0], [0, 1]]",1.143681234304162,5,(x[0]**Constant),(x[0]**0.8337475905062264),1.2130322722508577,{'errortest': 1.1963664239065845},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [1, 1], [3, 2, 3, 1], [2, 1, 0], [3, 1, 0, 3, 1, 0], [0, 1, 1, 1, 1, 1, 0], [0, 0]]",1.159333490509626,7,(x[0]/(Constant**Constant))-(Constant+((Constant/Constant)-Constant+x[0])),(x[0]/(0.7526978806494323**0.7027795318476521))-(0.017335856450064524+((0.12113511843337055/0.7661471319980233)-0.8116939314855209+x[0])),1.2214916685442636,{'errortest': 1.2053466140053106},"[1, 1, 2, 4, 3, 6, 7, 2]"
"[[0], [0], [1, 1], [3, 2, 3, 1], [2, 1, 1], [3, 2, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1], [0, 0]]",1.165962924782962,6,(Constant/(Constant**Constant))*(Constant-((Constant-Constant)-(Constant+Constant))),(0.7621146236226737/(0.9814951295185403**0.10142073720017752))*(0.1414920706322338-((0.4995480568328955-0.44305246336214354)-(0.0016279320604938308+0.9850680990873002))),1.2252575844905724,{'errortest': 1.2096313419826943},"[1, 1, 2, 4, 3, 6, 7, 0]"
"[[0], [3], [], [], [], [], [0], [0]]",1.1671584667126977,4,x[0],x[0],1.2379088350962821,{'errortest': 1.220874331740977},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",1.1671584667126977,4,x[0],x[0],1.2379088350962821,{'errortest': 1.220874331740977},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [3, 3], [], [], [3], [0], [0]]",1.1671584667126977,4,x[0],x[0],1.2379088350962821,{'errortest': 1.220874331740977},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [1, 0], [], [0, 1, 0, 0, 1], [1, 1, 3, 0, 3, 3, 1, 2, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1], [0, 1, 1, 1, 1, 0]]",1.1671584667126977,4,x[0],x[0],1.2379088350962821,{'errortest': 1.220874331740977},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [2], [], [], [], [0], [0]]",1.1671584667126977,4,x[0],x[0],1.2379088350962821,{'errortest': 1.220874331740977},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [2], [1], [2, 3], [1, 2], [3, 3], [1, 1, 1, 0, 1, 0], [0, 0, 0]]",1.4885753473082812,6,((((Constant/Constant)**Constant)/Constant)**Constant),((((0.029448296989785572/0.8685302381778814)**0.42735720241582154)/0.7437114537528666)**0.6232993809618581),1.5470208446194198,{'errortest': 1.5306729669518877},"[1, 1, 1, 2, 1, 2, 3, 0]"
"[[0], [2], [1], [2, 2], [1, 2], [3, 3], [0, 0, 0], [0, 1, 0]]",1.5566394923689162,7,((((x[0]/x[1])**Constant)/(x[0]**Constant))**Constant),((((x[0]/x[1])**0.1986132182205339)/(x[0]**0.9770319490373146))**0.6417062818331569),1.6018590153796606,{'errortest': 1.5943338953083506},"[1, 1, 1, 2, 2, 2, 3, 3]"
