genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [2], [2, 3, 0], [2, 2], [0], [0, 0, 0, 1, 0], [1, 0, 0]]",0.2979440231507788,"[1, 1, 1, 1, 1, 0, 1, 1]",7,(((x[1]**Constant)**Constant)**Constant),(((x[1]**0.8837649505736607)**0.12006002154908091)**0.7651109734778204),0.36139643273442124,{'errortest': 0.34605691079652595}
"[[0], [2], [2], [0, 3, 0], [0, 0], [0, 3, 0], [0, 0, 0, 1, 0], [1, 0, 0]]",0.433870215120076,"[1, 1, 1, 1, 2, 3, 4, 3]",7,((x[1]+x[0]/x[0]+Constant**Constant)**Constant),((x[1]+x[0]/x[0]+0.9832350860427723**0.009881752421429968)**0.10641032411697948),0.40668486707415513,{'errortest': 0.43198385019650454}
"[[0], [0], [2, 1], [2, 2, 2], [1, 1, 1], [3, 3, 0, 3, 3], [1, 0, 1, 1, 1, 1], [0, 0, 0]]",0.5126482911195607,"[1, 1, 2, 3, 3, 5, 6, 1]",7,(((Constant/x[0])**Constant)**Constant)/(((Constant+Constant)**Constant)/((Constant/Constant)**Constant)),(((0.7642350333164866/x[0])**0.46386905599637107)**0.29087228969154244)/(((0.25998484296574353+0.1858137810775382)**0.96940715236226)/((0.8937739425799883/0.6243854605035992)**0.34402174217035286)),0.47544689653014277,{'errortest': 0.49254785306287435}
"[[0], [0], [2, 1], [3, 2, 3, 0], [2, 1, 0], [3, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0]]",0.5726433041679404,"[1, 1, 2, 3, 1, 2, 3, 2]",7,(x[0]**Constant)/((x[0]**Constant)-Constant),(x[0]**0.471606371264928)/((x[0]**0.4033996459139696)-0.28236428058537766),0.6315538530124503,{'errortest': 0.6186706334868851}
"[[0], [2], [0], [3, 3], [2, 2], [0], [0, 1], [0, 0, 0]]",0.5805343835000188,"[1, 1, 1, 2, 0, 1, 2, 1]",6,(x[0]+Constant**Constant),(x[0]+0.15731903644648315**0.04545551757691502),0.6266241747235751,{'errortest': 0.6315532005335585}
"[[0], [2], [0], [3, 3], [2, 2], [0], [0, 1], [0, 0, 0]]",0.5818702900811208,"[1, 1, 1, 2, 0, 1, 2, 1]",6,(x[0]+Constant**Constant),(x[0]+0.8270091130917063**0.4865069422172963),0.6286188176480951,{'errortest': 0.6332171355899385}
"[[0], [2], [0], [3, 3], [2, 2], [0], [0, 1], [0, 0, 0]]",0.594091672019029,"[1, 1, 1, 2, 0, 1, 2, 1]",6,(x[0]+Constant**Constant),(x[0]+0.4547764409418559**0.1950330454069059),0.6451999808693958,{'errortest': 0.6474962004495706}
"[[0], [0], [0, 2], [0, 3, 0], [1, 1, 2, 0], [0, 0, 2, 2, 0, 1, 2], [1, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0]]",0.6095304100552064,"[1, 1, 2, 3, 4, 7, 8, 5]",7,(Constant+x[0])+(Constant*x[0])*Constant+(x[0]-x[0]*x[0]**Constant),(0.6497394262070817+x[0])+(0.43759749485691246*x[0])*0.0016378494692175227+(x[0]-x[0]*x[0]**0.3563663719389656),0.6715658903382427,{'errortest': 0.6657532293338341}
"[[0], [2], [2], [3], [1], [], [0, 0, 0], [1, 1, 1]]",0.6433311613332319,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.3333835772570579)**0.359894590297701),0.5825138913641394,{'errortest': 0.6243417460310897}
"[[0], [2], [2], [2, 2], [1, 2], [3, 3], [0, 0, 1], [1, 0, 0]]",0.648835536263544,"[1, 1, 1, 1, 1, 1, 2, 2]",7,((((x[1]/x[0])**Constant)**Constant)**Constant),((((x[1]/x[0])**0.36872278602862096)**0.6926265342553828)**0.15267875890781235),0.7180876484674881,{'errortest': 0.6975651130248635}
"[[0], [2], [3, 3], [2, 2], [], [3], [0, 0], [1, 0, 0]]",0.7269461724880688,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.12463313517628605),0.6576539269396716,{'errortest': 0.7040484554868339}
"[[0], [0], [2, 0], [0, 3, 0], [0, 1, 1, 2], [0, 0, 2, 2, 0, 1, 2], [0, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 0]]",0.7439641259689106,"[1, 1, 2, 3, 4, 7, 8, 5]",7,(x[0]+x[0]+(x[0]*Constant)**Constant)*Constant+(x[0]-x[0])*Constant,(x[0]+x[0]+(x[0]*0.8402699411794355)**0.25265178565219637)*0.687299407072571+(x[0]-x[0])*0.3111649483519414,0.785192805618283,{'errortest': 0.7938842136388594}
"[[0], [0], [2, 3], [2, 2, 2], [1, 1, 1], [3, 3, 0, 3, 3], [0, 0, 0, 1, 1], [1, 1, 0]]",0.7704104845366302,"[1, 1, 2, 1, 1, 2, 3, 3]",7,(((x[1]/x[1])**Constant)**Constant)/x[0],(((x[1]/x[1])**0.6494273258185845)**0.4280709285240816)/x[0],0.8023717930739427,{'errortest': 0.7932688703978328}
"[[0], [0], [2, 3], [3, 3, 2], [0, 1], [3, 2, 1, 1, 1, 0], [0, 1, 0, 1, 1], [0, 0, 0]]",0.7704152600244701,"[1, 1, 2, 1, 0, 1, 2, 1]",6,(x[0]**Constant)/Constant,(x[0]**0.7903937910616351)/0.5774442096664942,0.8311979455252205,{'errortest': 0.8286227542520744}
"[[0], [2], [2], [2, 3, 0], [1, 2], [0], [0, 0, 0, 1, 0], [1, 0, 0]]",0.810315538099347,"[1, 1, 1, 1, 1, 1, 2, 2]",7,((((x[1]+x[0])**Constant)**Constant)**Constant),((((x[1]+x[0])**0.2803419292100424)**0.1783514894112327)**0.4515517643707252),0.8753772526136547,{'errortest': 0.8574833790889465}
"[[0], [0], [2, 1], [3, 2, 3, 0], [2, 1, 2, 0], [0, 0, 2, 2, 0, 1, 2], [1, 0, 1, 1, 1, 0, 0, 0], [0, 0]]",0.8140595553062125,"[1, 1, 2, 3, 1, 2, 3, 1]",7,(Constant**Constant)+((x[0]**Constant)+Constant),(0.1924007413783213**0.1824217796398807)+((x[0]**0.6057978316966963)+0.9325470545072602),0.7854480355172462,{'errortest': 0.8106631017638487}
"[[0], [0], [2, 1], [3, 2, 3, 0], [2, 1, 0], [3, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0]]",0.8735979448820582,"[1, 1, 2, 3, 1, 2, 3, 2]",7,(x[0]**Constant)/((x[0]**Constant)-Constant),(x[0]**0.4619662089471801)/((x[0]**0.5532294632425705)-0.07607887056206886),0.9312473694144157,{'errortest': 0.9167101040518377}
"[[0], [2], [2, 1], [2, 2, 2], [1, 1, 1], [0, 3, 0], [1, 0, 1, 1, 1, 1], [0, 0, 0]]",0.9925784523129262,"[1, 1, 1, 1, 1, 1, 2, 1]",7,((((Constant+x[0])**Constant)**Constant)**Constant),((((0.05971284760357931+x[0])**0.25552869456015825)**0.17553943230522728)**0.3243771800577093),1.0526517259009236,{'errortest': 1.037625400292567}
"[[0], [0], [2, 2], [0, 3, 0], [1, 2], [0, 3, 0], [0, 0, 0, 1, 0], [0, 0, 0]]",1.0052676550745814,"[1, 1, 2, 2, 2, 3, 4, 3]",7,((x[0]+x[0])/x[0]**Constant)+(Constant**Constant),((x[0]+x[0])/x[0]**0.5845452678156948)+(0.23454910178825228**0.08886583838274076),0.9725917446864752,{'errortest': 0.9999768784075029}
"[[0], [2], [0], [0, 3], [0, 0], [3, 2, 3, 2], [0, 0, 0, 0, 1], [0, 0, 0, 0]]",1.0115361926311368,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(x[0]/x[0]*x[0]/x[0]*Constant**Constant),(x[0]/x[0]*x[0]/x[0]*0.8354006715764073**0.12347432705524242),1.0713294113697736,{'errortest': 1.0562363334836675}
"[[0], [0], [0, 2], [0, 3, 0], [1, 1, 2, 0], [0, 0, 2, 1, 0, 1, 2], [1, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0]]",1.0381765746656573,"[1, 1, 2, 3, 4, 7, 8, 5]",7,(Constant+x[0])+(Constant*x[0])-Constant+(x[0]-x[0]*x[0]**Constant),(0.4836607507330115+x[0])+(0.838472909838839*x[0])-0.9457010152069022+(x[0]-x[0]*x[0]**0.22735785084352933),1.110804199638492,{'errortest': 1.0986320354550598}
"[[0], [2], [0], [3, 3], [0, 0], [0], [1, 0, 1, 1, 0], [0, 0, 0]]",1.0436206329824296,"[1, 1, 1, 2, 0, 1, 2, 1]",6,(Constant+x[0]**Constant),(0.006350493819801906+x[0]**0.2828657084770235),1.1073354575185113,{'errortest': 1.0918686863434193}
"[[0], [2], [3], [3, 3, 2], [0, 1], [3, 3], [1, 0, 0, 1, 1], [0, 0, 1]]",1.0899503373573654,"[1, 1, 1, 0, 0, 0, 1, 0]",4,(Constant**Constant),(0.6832457370517061**0.28616499095420744),1.1494829770703323,{'errortest': 1.134097773532904}
"[[0], [2], [2], [2, 0, 0], [1, 2], [3, 3, 3, 3, 0], [1, 0, 1, 1, 1, 0, 0, 0], [1, 0, 0]]",1.1020970090329154,"[1, 1, 1, 1, 1, 1, 2, 1]",7,((((Constant/x[1])**Constant)**Constant)**Constant),((((0.27374566808277323/x[1])**0.037708039725579456)**0.8227500717028374)**0.44162967256150765),1.159535687439201,{'errortest': 1.1458443758875858}
"[[0], [3], [3, 0], [3, 2], [0, 0], [3, 1, 1, 1, 1, 0], [0, 0, 1], [0, 0]]",1.1671584667126977,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.2379088350962821,{'errortest': 1.220874331740977}
"[[0], [3], [2], [2, 2], [1], [0, 3, 0], [0, 0], [0, 1, 0]]",1.1671584667126977,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.2379088350962821,{'errortest': 1.220874331740977}
"[[0], [3], [0, 2], [0, 3, 0], [2, 2], [2, 3], [0, 1, 0], [0, 1, 0, 0, 0]]",1.1671584667126977,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],1.2379088350962821,{'errortest': 1.220874331740977}
"[[0], [3], [2], [3, 2], [0, 0], [0, 3, 0], [1, 0, 1, 1, 0], [0, 1, 0]]",1.2563035371486093,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.7254849783820787,1.3153348214848264,{'errortest': 1.2994645079473943}
"[[0], [0], [2, 1], [2, 1, 3], [1, 2, 1, 2], [3, 0, 0, 0, 1, 1, 3], [1, 0, 1, 1, 1, 1, 0, 0], [0, 0, 0]]",1.5816079800665042,"[1, 1, 2, 3, 3, 5, 6, 1]",7,(((Constant/x[0])**Constant)**Constant)+((Constant+(Constant+Constant))-Constant),(((0.5062838474483553/x[0])**0.5675045462112118)**0.17524405859264658)+((0.06346509215496332+(0.2134920503186415+0.04369413474823214))-0.8798756847585386),1.6383750085831232,{'errortest': 1.6222437993671464}
"[[0], [2], [0], [3, 3, 2], [0, 1], [3, 3], [1, 1], [0, 0, 1]]",1.5899883962759735,"[1, 1, 1, 2, 0, 1, 2, 0]",5,(Constant/Constant**Constant),(0.3780947935566922/0.5497539104063406**0.030964975538266604),1.6482146244522435,{'errortest': 1.631706388901385}
"[[0], [1], [2, 1], [2, 0, 0], [0, 0, 0, 2, 2], [0, 3, 0, 2, 3, 1, 2], [0, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 0]]",1.610043091958045,"[1, 1, 2, 3, 5, 7, 8, 5]",7,(((x[1]+x[0]**Constant)**Constant)/(x[0]+Constant*x[1]/x[0]-Constant*Constant)),(((x[1]+x[0]**0.6610334629288763)**0.8663212148719256)/(x[0]+0.8544894197434144*x[1]/x[0]-0.7896795702683643*0.4293375310596981)),1.666472943590826,{'errortest': 1.6542196282296175}
"[[0], [0], [2, 1], [3, 2, 3, 0], [1, 1, 1], [3, 3, 0, 3, 3], [1, 0, 1, 1, 1, 1], [0, 0]]",1.6557747382337125,"[1, 1, 2, 3, 1, 3, 4, 1]",7,(Constant**Constant)/(((x[0]/Constant)**Constant)+Constant),(0.2678135177812597**0.26758684067068683)/(((x[0]/0.4972282816012391)**0.6297932809317079)+0.8344644780772343),1.7119379932469294,{'errortest': 1.695849060704723}
"[[0], [2], [3, 3], [2, 0, 0], [1, 2, 2, 2, 0], [0, 3, 0], [0, 0, 0, 1, 0], [1, 0, 0]]",2.068987106717579,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.1795774666343518),1.9212134170310815,{'errortest': 2.0210777158029347}
"[[0], [2], [2], [3], [1], [], [0, 0, 0], [1, 1, 1]]",4.236618915733944,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.33634106226985616)**0.7013978450424961),3.9759625581849622,{'errortest': 4.164725468677082}
"[[0], [2], [0], [2, 0, 0], [0, 2, 2], [2, 3, 3, 3, 0], [0, 0, 1, 1], [0, 0]]",6.045050069669263,"[1, 1, 1, 2, 3, 3, 4, 2]",7,((x[0]*x[0]**Constant)/Constant/Constant**Constant),((x[0]*x[0]**0.8574880271857567)/0.18681085499736938/0.5124181520553208**0.37960608808319785),6.011575833003224,{'errortest': 6.089216785263825}
"[[0], [2], [2], [3], [2, 2], [], [0, 0, 0, 1, 0], [1, 0, 0]]",6.279025276791868,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.6404786602447363)**0.4261627912016511),5.902379632800774,{'errortest': 6.183885063742272}
"[[0], [2], [3, 3], [2, 2], [], [0], [0, 0, 0, 1, 0], [1, 0, 0]]",22.810556809071976,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.4155209422025399),21.281261184812607,{'errortest': 22.480944649226647}
"[[0], [2], [2], [3, 2], [2, 2], [0, 3, 0], [0, 0, 0, 1, 0], [1, 0, 0]]",22.905688220745027,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.6515134655455105)**0.6385387378603754),21.36904747701661,{'errortest': 22.574555002723784}
"[[0], [2], [2], [2, 2], [0, 2], [3], [0, 0, 1], [1, 0, 0]]",52.14848982597135,"[1, 1, 1, 1, 1, 1, 2, 2]",7,(((x[1]/x[0]**Constant)**Constant)**Constant),(((x[1]/x[0]**0.08869719980909907)**0.5180398551638271)**0.9953810344554744),48.114327602169936,{'errortest': 51.28383860318528}
"[[0], [0], [0, 1], [0, 1, 2, 0], [0, 0, 0, 2, 0, 0, 2], [2, 3, 3, 3, 0, 0, 1, 3, 2, 2, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 1, 0, 1, 1, 0]]",126.5552507616319,"[1, 1, 2, 4, 7, 11, 12, 7]",7,Constant*x[0]/Constant/x[0]/(Constant+x[1]+Constant)-((x[0]/x[1]**Constant)*x[1]*x[0]+Constant),0.5740069203014346*x[0]/0.02834299088935155/x[0]/(0.747266755724091+x[1]+0.9828572117763469)-((x[0]/x[1]**0.38876913211925634)*x[1]*x[0]+0.2072194846245754),119.34823175144437,{'errortest': 126.20419309202633}
"[[0], [0], [2, 1], [2, 2, 2], [1, 1, 1], [0, 3, 3, 2, 1], [0, 1, 0, 0, 1, 1], [1, 0, 0]]",160.68744043000348,"[1, 1, 2, 3, 3, 5, 6, 3]",7,(((x[1]+Constant)**Constant)**Constant)/(((x[0]/x[0])**Constant)*((Constant-Constant)**Constant)),(((x[1]+0.39992500190866065)**0.8439112145266244)**0.7095704785082092)/(((x[0]/x[0])**0.18843297856429564)*((0.8840953289777981-0.3327660183840875)**0.7769929054161497)),147.05692001357548,{'errortest': 157.76685426582026}
"[[0], [1], [2, 0], [0, 3, 0], [2, 1, 2, 2], [0, 0, 2, 2, 0, 1, 2], [0, 0, 0, 1, 1, 0, 0], [1, 0, 0, 0, 0]]",327.9982756508216,"[1, 1, 2, 3, 4, 5, 6, 4]",7,((x[1]+(x[0]+x[0])**Constant)*Constant*Constant+x[0]),((x[1]+(x[0]+x[0])**0.5889803507167469)*0.6791080697260019*0.20976585866019148+x[0]),285.4976290459295,{'errortest': 317.85098145398797}
"[[0], [2], [2], [3], [0, 1], [], [0, 0, 0, 1, 1], [1, 1, 1]]",393.81084673045524,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.9445532293535981)**0.8184539035516465),352.4857157324211,{'errortest': 384.51700726863896}
"[[0], [0], [2, 0], [1, 2, 3], [0, 1, 0, 2], [2, 1, 1, 3, 3, 3], [0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0]]",433.3593135473606,"[1, 1, 2, 3, 3, 6, 7, 4]",7,((x[1]*x[0]-(x[0]-x[0]))**Constant)/(Constant/Constant**Constant)/Constant,((x[1]*x[0]-(x[0]-x[0]))**0.6592444773469716)/(0.27064140754036914/0.05896160830075137**0.30203966222909495)/0.5689524251358605,398.93504786998767,{'errortest': 427.1778945207651}
"[[0], [2], [3], [0, 3, 0], [1, 2], [0], [0, 0, 0, 1, 0], [1, 0, 0]]",1183.1774351427837,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.9142631056652951),1040.821809375781,{'errortest': 1149.9637204569756}
"[[0], [0], [2, 0], [3, 3, 2], [0], [3, 0, 0], [0, 0, 0, 1, 1], [1, 1, 1]]",2307.2266192796983,"[1, 1, 2, 3, 1, 3, 4, 3]",7,(x[1]**Constant)/x[1]+(x[1]+Constant**Constant),(x[1]**0.6901183195608251)/x[1]+(x[1]+0.36989253741028516**0.0031153863945443394),2008.9431236530143,{'errortest': 2236.1425300205046}
"[[0], [0], [0, 3], [0, 3, 0], [0, 1, 2, 2], [0, 0, 2, 2, 0, 1, 2], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0]]",4668.356214560563,"[1, 1, 2, 2, 2, 5, 6, 6]",7,x[1]+x[0]+(x[0]*x[0])*x[1]+x[0],x[1]+x[0]+(x[0]*x[0])*x[1]+x[0],4177.737187483752,{'errortest': 4580.327679296179}
"[[0], [2], [0], [0, 1], [2, 2, 2, 1], [3, 3, 1, 2], [1, 0, 1, 1, 1, 0, 0], [1, 1]]",9999999.0,"[1, 1, 1, 2, 4, 4, 5, 1]",7,(Constant/x[1]/(Constant-(Constant*Constant))**Constant),(0.9182901219900684/x[1]/(0.17954921854979888-(0.23590274045764992*0.8894635497672432))**0.002010012560163421),9999999.0,{'errortest': 9999999}
"[[0], [0], [2, 3], [0, 3, 2], [0, 1], [3, 2, 1, 1, 1, 0], [0, 0, 0, 1, 1], [0, 1, 0]]",9999999.0,"[1, 1, 2, 1, 2, 4, 5, 3]",7,(x[0]/x[1]*(x[0]-Constant)**Constant)-Constant,(x[0]/x[1]*(x[0]-0.6142800063205607)**0.6412914689366671)-0.9131571683050069,9999999.0,{'errortest': 9999999}
"[[0], [2], [0], [0, 2], [0, 2, 0], [3, 0, 3, 1], [0, 0, 0, 0, 0], [1, 0, 0, 0, 1]]",9999999.0,"[1, 1, 1, 2, 3, 4, 5, 5]",7,(x[1]/x[0]+x[0]/(x[0]-x[1]**Constant)**Constant),(x[1]/x[0]+x[0]/(x[0]-x[1]**0.660321331516467)**0.23762982941587574),9999999.0,{'errortest': 9999999}
