genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [1, 2], [3, 3, 0], [2, 1], [0, 0, 3, 1], [1, 1, 0, 0, 1], [0, 0]]",0.5200375680569201,7,(Constant+Constant)+(x[0]/(x[0]-Constant)**Constant),(0.14191503572410158+0.2616502894004131)+(x[0]/(x[0]-0.20647618776014687)**0.7335524880436952),0.589898699794386,{'errortest': 0.6633027830202398},"[1, 1, 2, 3, 2, 4, 5, 2]"
"[[0], [1], [1, 0], [0, 0, 1, 3], [2, 1, 1, 2, 1, 1], [0, 2, 2, 1, 0, 1, 1, 1, 1, 2], [1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0]]",0.6683560505455521,7,((Constant+(Constant*Constant)*(x[0]-Constant)+Constant)-((x[0]-x[0])-(x[0]-x[0]))*Constant),((0.8021190648425197+(0.2293297432719278*0.6352713227273218)*(x[0]-0.5448076405989196)+0.6262717072615596)-((x[0]-x[0])-(x[0]-x[0]))*0.3351168910075438),0.742295036226111,{'errortest': 0.8230229760973933},"[1, 1, 2, 4, 6, 10, 11, 5]"
"[[0], [2], [2], [0], [1, 0], [2, 0, 0], [0, 1, 1, 1], [0]]",0.8139438041983752,7,(((x[0]*Constant)+Constant+Constant**Constant)**Constant),(((x[0]*0.44784723042371644)+0.8734884818382429+0.8111195560470617**0.19404933090296317)**0.3305795125066152),0.8904065305565985,{'errortest': 0.971722639068172},"[1, 1, 1, 1, 2, 3, 4, 1]"
"[[0], [0], [0, 3], [0, 0], [1, 0, 2, 2], [3, 3, 0, 2, 3, 3], [0, 1, 0, 1, 1, 0, 1], [1, 1, 0]]",0.8819049958012669,7,(x[1]/Constant)/x[1]+Constant*Constant/x[0]/Constant,(x[1]/0.8937380936593645)/x[1]+0.0467283613016477*0.9973571088358499/x[0]/0.689561710677601,0.9526049463939901,{'errortest': 1.024989677882243},"[1, 1, 2, 2, 4, 6, 7, 3]"
"[[0], [1], [3, 0], [0, 2], [0, 2, 0], [0, 0, 0, 3, 0], [1, 0, 0, 0, 1, 0], [0, 0, 0, 1]]",0.9381150627734977,7,(Constant+x[0]+x[0]+x[0]/(Constant+x[1]**Constant)),(0.35813057773278734+x[0]+x[0]+x[0]/(0.24098225765458747+x[1]**0.8757863086925921)),0.9185072208953119,{'errortest': 0.9261834467023371},"[1, 1, 2, 2, 3, 5, 6, 4]"
"[[0], [1], [1, 2], [0, 2, 1], [1, 0, 1, 1, 0], [3, 2, 3, 2, 3, 0, 0, 0, 2], [1, 0, 0, 0, 1, 0, 1, 1, 1, 0], [1, 0, 1, 0, 0]]",0.9553130244619458,7,(((Constant/x[1])*x[0]/x[1]*((Constant/x[0])**Constant))+(((Constant+Constant)+Constant*x[0])**Constant)),(((0.41084252211247163/x[1])*x[0]/x[1]*((0.4395626725641745/x[0])**0.7604583707815101))+(((0.7487587301044141+0.34371600486211407)+0.11962897940546569*x[0])**0.7710099285658286)),1.0341219995791437,{'errortest': 1.117234117399809},"[1, 1, 2, 3, 5, 9, 10, 5]"
"[[0], [2], [1], [3, 0], [0, 0], [3, 0, 3, 1], [1, 1, 1, 0, 1], [0]]",1.015893811595301,7,((Constant/Constant+Constant/x[0]-Constant)**Constant),((0.8884924592605138/0.8922201221014755+0.600761730665467/x[0]-0.3281914627018516)**0.179216415420955),1.0865375025852777,{'errortest': 1.1584831494198613},"[1, 1, 1, 2, 2, 4, 5, 1]"
"[[0], [0], [2, 1], [2, 3, 3], [2], [2, 2], [0, 1, 1], [1]]",1.0766088957661795,7,((x[1]**Constant)**Constant)*(Constant*Constant),((x[1]**0.32755431610806074)**0.2942400033935014)*(0.6729651327406893*0.7488995452743765),1.14178922789778,{'errortest': 1.2172241015791652},"[1, 1, 2, 3, 1, 2, 3, 1]"
"[[0], [0], [1, 2], [0, 1, 2], [0, 0, 1, 1, 0], [2, 3, 0, 3, 2, 0, 2, 0, 2], [1, 0, 1, 1, 1, 0, 1, 0, 0, 1], [0, 1, 1, 0]]",1.081409788204041,7,(Constant*x[0]/Constant+Constant/((Constant*x[1])+(Constant*x[1])))+((x[0]*Constant**Constant)**Constant),(0.9425181747359835*x[0]/0.5632025760498814+0.958526846237368/((0.8958082197746943*x[1])+(0.25042782073942316*x[1])))+((x[0]*0.8263898600647455**0.4576747545200167)**0.6462757155197798),1.016975032825154,{'errortest': 0.9723921609307921},"[1, 1, 2, 3, 5, 9, 10, 4]"
"[[0], [3], [], [], [], [], [1], []]",1.173231567628394,3,Constant,0.9122065584598548,1.2498654240852067,{'errortest': 1.3293538572442976},"[1, 1, 0, 0, 0, 0, 1, 0]"
