genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [3, 1], [3, 2], [1], [3, 2, 2], [1, 1, 1, 1], []]",0.30810089097077814,6,Constant/(Constant*((Constant*Constant)**Constant)),0.43005951988544056/(0.2388677478996566*((0.20493682694052595*0.6877194322207735)**0.049736273389137775)),0.3189262497274379,{'errortest': 0.33624996242401395},"[1, 1, 2, 2, 1, 3, 4, 0]"
"[[0], [1], [1, 3], [0, 0], [2, 2, 2, 1], [0, 1, 2, 1, 0], [0, 1, 1, 1, 1, 1], [0]]",0.5733710515578996,7,((x[0]+Constant-Constant*(Constant-Constant))+Constant),((x[0]+0.36615162038288385-0.3675550228039073*(0.6669760538324265-0.7337249205105482))+0.4759556748884143),0.6074171253241846,{'errortest': 0.621581942418437},"[1, 1, 2, 2, 4, 5, 6, 1]"
"[[0], [2], [2], [0], [0, 2], [3, 2], [0, 1, 0], [1, 0]]",0.7087479412096351,7,((x[1]/Constant*x[0]**Constant)**Constant),((x[1]/0.9116134092578367*x[0]**0.18938274496044383)**0.026262756873540627),0.7605462453833655,{'errortest': 0.7515094386175024},"[1, 1, 1, 1, 2, 2, 3, 2]"
"[[0], [2], [1], [1, 0], [2, 0, 1, 1], [2, 3, 0, 3, 0, 1], [0, 1, 0, 0, 1, 0, 0], [1, 0, 1, 0, 0]]",0.7418611655044118,7,(((x[1]*Constant/x[0])+(x[1]/Constant)+(x[0]-x[0]))**Constant),(((x[1]*0.7742171289118911/x[0])+(x[1]/0.11188252581340397)+(x[0]-x[0]))**0.017511196491187153),0.7919002412453514,{'errortest': 0.7836648962443052},"[1, 1, 1, 2, 4, 6, 7, 5]"
"[[0], [0], [2, 2], [3, 0], [0, 0], [3, 2, 3, 3], [1, 1, 1, 1, 0], [0]]",0.7761899852216723,7,(Constant**Constant)/(Constant*Constant/Constant/x[0]**Constant),(0.8612645456474507**0.48293250201035565)/(0.4603193991631106*0.8496423544485318/0.6669269073049902/x[0]**0.883613792972566),0.829029206840402,{'errortest': 0.8349262382741023},"[1, 1, 2, 2, 2, 4, 5, 1]"
"[[0], [0], [3, 3], [], [], [3], [0, 0], [1, 1]]",0.9247345194993534,5,x[1]/x[1],x[1]/x[1],0.9714463579713897,{'errortest': 0.9639654998198517},"[1, 1, 2, 0, 0, 1, 2, 2]"
"[[0], [2], [2], [2], [2], [], [0], [0]]",0.9609161586830635,7,(((x[0]**Constant)**Constant)**Constant),(((x[0]**0.730709126416919)**0.858371812177748)**0.3274053640991733),1.0110521979722473,{'errortest': 1.0040574521969028},"[1, 1, 1, 1, 1, 0, 1, 1]"
"[[0], [2], [3], [], [], [], [1], []]",0.9675196452228402,4,(Constant**Constant),(0.5843197506135501**0.08557038861238109),1.0141009114890742,{'errortest': 1.0063515456444052},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2], [1], [2, 0], [3, 0], [0, 0, 0], [0, 1, 0]]",0.9921590167003086,7,(((x[0]/x[1]+x[0])**Constant)**Constant),(((x[0]/x[1]+x[0])**0.6800506978060236)**0.5872223876956552),1.0449295727622556,{'errortest': 1.0383573481371506},"[1, 1, 1, 1, 2, 2, 3, 3]"
"[[0], [0], [2, 2], [3, 2], [2], [3], [0, 1], [0]]",0.9996955470616354,6,(x[0]**Constant)/((Constant**Constant)**Constant),(x[0]**0.7474939733140614)/((0.09095669126926931**0.7407167484092)**0.031811990817914415),1.0566206190251606,{'errortest': 1.051334609050899},"[1, 1, 2, 2, 1, 1, 2, 1]"
"[[0], [2], [2], [3], [], [], [0], [0]]",1.0131566491759902,6,((x[0]**Constant)**Constant),((x[0]**0.8090072470754813)**0.6661747367438),1.067567014567203,{'errortest': 1.0612311373914585},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [1], []]",1.0244230871911262,3,Constant,0.8955960233358182,1.0708352989720604,{'errortest': 1.0627658198878425},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [0], [0]]",1.0725169749605734,4,x[0],x[0],1.130927109302329,{'errortest': 1.125333561886798},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",1.0725169749605734,4,x[0],x[0],1.130927109302329,{'errortest': 1.125333561886798},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",1.0725169749605734,4,x[0],x[0],1.130927109302329,{'errortest': 1.125333561886798},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",1.0725169749605734,4,x[0],x[0],1.130927109302329,{'errortest': 1.125333561886798},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [1], []]",1.0870933135506775,3,Constant,0.8304314463781844,1.1333268824972123,{'errortest': 1.1249460037270296},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [1], []]",1.2063724263378015,4,(Constant**Constant),(0.4383252367768209**0.42010823475440207),1.2522903815706214,{'errortest': 1.2434111972634516},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [2, 3], [2], [1], [1, 1], [0, 0, 1], [1, 0]]",1.2145516637001104,7,(((x[1]-x[0])**Constant)**Constant)-Constant,(((x[1]-x[0])**0.02001058165725278)**0.9939981444416768)-0.4721312719026102,1.263546892016592,{'errortest': 1.252160369861976},"[1, 1, 2, 1, 1, 2, 3, 2]"
"[[0], [1], [0, 0], [1, 0, 3, 1], [2, 2, 2, 0, 1, 1], [0, 1, 3, 3, 0, 1, 0, 1, 1], [0, 0, 1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0]]",1.3211057958181633,7,((x[1]+x[0])-Constant/x[1]/Constant+x[0]-((x[1]+Constant)-(x[0]-Constant))),((x[1]+x[0])-0.7071533196042677/x[1]/0.4998812536797159+x[0]-((x[1]+0.26390348731953195)-(x[0]-0.15051381795396634))),1.324638673623093,{'errortest': 1.3497100898974637},"[1, 1, 2, 4, 6, 9, 10, 6]"
"[[0], [3], [], [], [], [], [1], []]",1.6409727026698413,3,Constant,0.2630662591370144,1.6859931825193144,{'errortest': 1.6759369786292484},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",1.6684940758207245,3,Constant,0.23511475256509295,1.7134688937721878,{'errortest': 1.7033596886621132},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [0], [0, 0], [3, 0, 3, 3], [1, 0], [0, 1, 3, 2, 2, 3], [1, 1, 1, 0, 1, 1, 1], [1]]",1.8317142620296558,7,Constant+(Constant-Constant)/x[1]*Constant*Constant/Constant,0.06959291529646827+(0.9415500940169006-0.5895813897728306)/x[1]*0.1286061436788728*0.563910990804399/0.47105256120635464,1.876436395814113,{'errortest': 1.8660498640421272},"[1, 1, 2, 4, 2, 6, 7, 1]"
"[[0], [0], [0, 1], [3, 2, 2, 2], [2, 2, 2], [1, 3, 0], [1, 1, 1, 1], []]",1.973347856100283,6,Constant-(Constant**Constant)/((Constant**Constant)+(Constant**Constant)),0.4126579224356489-(0.6182276368964338**0.12505867835546214)/((0.8357658943895425**0.22166031517551354)+(0.7777492433793588**0.10019241673781787)),2.017883299057567,{'errortest': 2.007289656185883},"[1, 1, 2, 4, 3, 3, 4, 0]"
"[[0], [0], [1, 3], [0, 1], [2, 1, 0, 2], [2, 0, 3, 3, 0, 1], [1, 1, 1, 1, 1, 0, 1], [0]]",2.8587320580532283,7,(Constant*(Constant+Constant)/(Constant/Constant+x[0]))-Constant,(0.8315867787716488*(0.4453448109318199+0.48381588509463025)/(0.36187375687059864/0.012341556420092381+x[0]))-0.9912418953877605,2.9024352020851607,{'errortest': 2.8910381497983297},"[1, 1, 2, 2, 4, 6, 7, 1]"
"[[0], [0], [3, 0], [0, 0], [2, 0, 2, 2], [1, 0, 1, 1, 3], [0, 1, 1, 1, 1, 0], [0, 0]]",3.0986575622835715,7,x[0]-Constant+Constant-Constant-Constant/x[0],x[0]-0.7966404395154693+0.31222439445003825-0.5076656271677733-0.8885821985327308/x[0],3.177619559110267,{'errortest': 3.1639556054867475},"[1, 1, 2, 2, 4, 5, 6, 2]"
"[[0], [1], [2, 0], [1, 3, 2], [0, 0, 1], [1, 0, 2, 3, 0, 2], [0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 1, 1]]",7.162157329018947,7,(((x[0]-x[0]+Constant*x[0])**Constant)/x[1]+((x[1]*Constant)**Constant)),(((x[0]-x[0]+0.41064398415820513*x[0])**0.6063760541934498)/x[1]+((x[1]*0.5928859209968802)**0.2902024824169276)),6.850691129672587,{'errortest': 7.0818556972622835},"[1, 1, 2, 3, 3, 6, 7, 5]"
"[[0], [0], [0, 0], [2, 3, 0, 3], [1, 2, 0], [3, 2, 0, 0, 2, 2], [0, 1, 1, 1, 0, 1, 1], [1, 0]]",32.066867484978836,7,((x[1]/Constant)**Constant)*Constant+Constant+x[0]*Constant*Constant,((x[1]/0.6539065398147093)**0.6068739698134774)*0.1780356268825245+0.6824556186068176+x[0]*0.5363754477842727*0.020289267292906588,30.043832496030475,{'errortest': 31.63055607330839},"[1, 1, 2, 4, 3, 6, 7, 2]"
"[[0], [2], [2], [1], [2, 0], [2, 0], [0, 1, 0], [1, 1]]",45.05337991958647,7,(((x[1]*Constant+x[1])**Constant)**Constant),(((x[1]*0.4450643314954451+x[1])**0.5406264596360009)**0.8365756037757123),42.827156761845494,{'errortest': 44.57738368586187},"[1, 1, 1, 1, 2, 2, 3, 2]"
"[[0], [2], [1], [2, 0], [0, 2, 1], [0, 3, 2, 0], [0, 1, 1, 1, 0], [1, 0]]",100.45693717454873,7,(((x[1]+Constant**Constant)/Constant*(Constant+x[0]))**Constant),(((x[1]+0.7153323692121415**0.2783827617023862)/0.449955680758642*(0.3838696181031991+x[0]))**0.49882524276502493),95.72343260439138,{'errortest': 99.37611738401351},"[1, 1, 1, 2, 3, 4, 5, 2]"
"[[0], [2], [3], [], [], [], [0], [1]]",101.35891609810596,5,(x[1]**Constant),(x[1]**0.5671161238862595),95.45210385592992,{'errortest': 100.11750330138133},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [2, 2], [1, 0], [2, 0, 0, 0], [1, 0, 3, 1, 3, 1], [0, 0, 1, 0, 1, 1, 1], [1, 1, 0]]",177.65372764189902,7,((x[1]-x[1]+Constant)**Constant)/(x[0]-Constant/Constant-Constant**Constant),((x[1]-x[1]+0.3110382421720572)**0.23681105060658936)/(x[0]-0.07393763162187983/0.4860741678694278-0.3451982613648972**0.7599075188895729),181.0860560403601,{'errortest': 178.07633205724719},"[1, 1, 2, 2, 4, 6, 7, 3]"
"[[0], [0], [3, 0], [0, 3], [0, 2], [2, 2, 1, 3], [1, 1, 0, 1, 1], [1]]",1158.0827424369472,7,Constant*Constant*x[1]-Constant/Constant,0.41342167419002374*0.6945547946244433*x[1]-0.5515055178091773/0.05945259331637054,1050.7646580055741,{'errortest': 1135.3417081095085},"[1, 1, 2, 2, 2, 4, 5, 1]"
"[[0], [1], [3, 0], [1, 2], [0, 0, 2], [2, 3, 2, 2, 1], [0, 1, 1, 0, 0, 1], [0, 1, 0]]",1532.962800736942,7,(x[0]*(Constant/Constant*x[1]*x[0])-(Constant**Constant)),(x[0]*(0.1678807385313762/0.5455581768949751*x[1]*x[0])-(0.31258366746017796**0.22910331683410612)),1446.6021869617407,{'errortest': 1511.6388149719676},"[1, 1, 2, 2, 3, 5, 6, 3]"
"[[0], [2], [1], [3, 2], [0], [1, 0], [0, 1, 1], [1]]",2230.663928608094,6,((x[1]-(Constant+Constant**Constant))**Constant),((x[1]-(0.01624010781769558+0.9130900422136061**0.5434091327266647))**0.9302179964066563),2037.5124620744316,{'errortest': 2189.921490936422},"[1, 1, 1, 2, 1, 2, 3, 1]"
"[[0], [0], [3, 3], [], [], [1], [0, 0], [1, 0]]",4063.59157199291,5,x[1]-x[0],x[1]-x[0],3689.600983868146,{'errortest': 3984.3827082559883},"[1, 1, 2, 0, 0, 1, 2, 2]"
