genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [2, 2], [2, 2], [2, 0], [0, 2], [1, 1, 1, 1, 0], [0]]",0.2892533325311736,"[1, 1, 2, 2, 2, 2, 3, 0]",6,((Constant**Constant)**Constant)+((Constant*Constant**Constant)**Constant),((0.7541390134007824**0.08383712096222762)**0.18724299804628208)+((0.751273721826471*0.2648775383488233**0.5640816465175296)**0.12816776763578708),0.3160274536252216,{'errortest': 0.32901238772324193}
"[[0], [0], [2, 2], [2, 3], [2], [0], [1, 1, 1, 1, 0], [0]]",0.28955678896721176,"[1, 1, 2, 2, 1, 1, 2, 0]",6,((Constant**Constant)**Constant)+(Constant**Constant),((0.9635468486630284**0.6837113784712779)**0.32863047962500114)+(0.6332850313964544**0.3006775726528952),0.317348663012273,{'errortest': 0.3299654062721559}
"[[0], [0], [2, 2], [2, 3], [2], [0], [1, 1, 1, 1, 0], [0]]",0.29079518524898856,"[1, 1, 2, 2, 1, 1, 2, 0]",6,((Constant**Constant)**Constant)+(Constant**Constant),((0.8985183540858154**0.6307912336538458)**0.7144302047211362)+(0.9353130884931705**0.670281747105283),0.3124579912526325,{'errortest': 0.3271035048226867}
"[[0], [0], [2, 2], [2, 3], [2], [0, 0, 1], [1, 1, 1, 1, 0], [0]]",0.2912844843750866,"[1, 1, 2, 2, 1, 1, 2, 0]",6,((Constant**Constant)**Constant)+(Constant**Constant),((0.31762263475473496**0.1250451140454335)**0.5128189823278095)+(0.9464581439836621**0.28718034803111303),0.3123382760504125,{'errortest': 0.32716276061074095}
"[[0], [0], [2, 2], [2, 2], [2, 0], [0, 1], [1, 1, 1, 1, 0], [0]]",0.2985925047647473,"[1, 1, 2, 2, 2, 2, 3, 0]",6,((Constant**Constant)**Constant)+((Constant-Constant**Constant)**Constant),((0.7542212633867468**0.6057365667086924)**0.5503735350164295)+((0.865041429943321-0.05910091951427621**0.775148634565218)**0.3969823359070157),0.33310585882877936,{'errortest': 0.34288191560578174}
"[[0], [1], [2, 2], [2, 3], [2, 1, 2], [0, 0], [1, 1, 1, 1, 0], [0]]",0.2986849669151942,"[1, 1, 2, 2, 1, 1, 2, 0]",6,(((Constant**Constant)**Constant)+(Constant**Constant)),(((0.5879926272907784**0.8509112005710397)**0.2800026735966351)+(0.8855343580850777**0.6644048498137727)),0.33323486601125357,{'errortest': 0.34299309584164905}
"[[0], [0], [2, 2], [2, 3], [2], [0], [1, 1, 1, 1, 0], [0]]",0.2994607845736781,"[1, 1, 2, 2, 1, 1, 2, 0]",6,((Constant**Constant)**Constant)+(Constant**Constant),((0.4921910034395287**0.5667739939653569)**0.16496554931514118)+(0.8537467560605849**0.9197336714574604),0.3343082968493632,{'errortest': 0.343920166853105}
"[[0], [0], [2, 2], [2, 1], [2, 0, 2], [0, 3, 2], [1, 1, 1, 1, 0], [0]]",0.3002002525332109,"[1, 1, 2, 2, 3, 3, 4, 0]",6,((Constant**Constant)**Constant)+((Constant/Constant*Constant)**Constant),((0.6444061954529131**0.05414004475991174)**0.46381149305924196)+((0.3538927759460606/0.6503842945264233*0.5099454705030925)**0.16562308351015942),0.33531756088331893,{'errortest': 0.3447948917098841}
"[[0], [0], [2, 2], [2, 3], [2], [0], [1, 1, 1, 1, 0], [0]]",0.30245749372256314,"[1, 1, 2, 2, 1, 1, 2, 0]",6,((Constant**Constant)**Constant)+(Constant**Constant),((0.28045618236494774**0.18488303043269871)**0.23424305245965416)+(0.36096672613679603**0.16730866459409),0.338327568186781,{'errortest': 0.34741969749616236}
"[[0], [0], [2, 2], [2, 3], [2], [0], [1, 1, 1, 1, 0], [0]]",0.30283865290369033,"[1, 1, 2, 2, 1, 1, 2, 0]",6,((Constant**Constant)**Constant)+(Constant**Constant),((0.6265155127627484**0.04037179817763248)**0.9381906184184657)+(0.9611399926478293**0.35883469290934333),0.31600518826305024,{'errortest': 0.3328359844785426}
"[[0], [0], [3, 1], [3, 2], [1], [3, 2, 2], [1, 1, 1, 1], []]",0.30810089097077814,"[1, 1, 2, 2, 1, 3, 4, 0]",6,Constant/(Constant*((Constant*Constant)**Constant)),0.43005951988544056/(0.2388677478996566*((0.20493682694052595*0.6877194322207735)**0.049736273389137775)),0.3189262497274379,{'errortest': 0.33624996242401395}
