genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [2, 1], [3, 3, 1], [2, 0], [1, 3, 1, 1, 1], [1, 1, 1, 0, 0, 1], [0, 0, 1]]",0.3565698838460456,"[1, 1, 2, 3, 2, 4, 5, 2]",7,(Constant**Constant)-(Constant/(Constant-x[0]-x[0])),(0.6041517535418809**0.056067778670441215)-(0.8077988734555844/(0.206571377804336-x[0]-x[0])),0.35450212504007433,{'errortest': 0.377302000173194}
"[[0], [2], [1], [3, 3], [], [2], [0, 0], [0, 1]]",0.39141564643714627,"[1, 1, 1, 2, 0, 1, 2, 2]",6,((x[0]*x[1])**Constant),((x[0]*x[1])**0.08666227210974597),0.40571290350425493,{'errortest': 0.4181542443923955}
"[[0], [0], [2, 1], [3, 3, 2], [0, 0], [1, 3, 1, 1, 1], [1, 1, 1, 0, 0, 1], [0, 0, 0]]",0.39255213300182407,"[1, 1, 2, 3, 1, 3, 4, 1]",7,(Constant**Constant)-(Constant/(Constant-x[0]**Constant)),(0.5860543664670553**0.019290465306463167)-(0.32052299468213685/(0.2644922870307278-x[0]**0.5160927449860265)),0.3786292716882907,{'errortest': 0.42134867205461307}
"[[0], [0], [2, 1], [3, 3, 1], [0, 0], [1, 3, 1, 1, 1], [1, 1, 0, 0, 0, 1], [0, 0, 0]]",0.432614171638427,"[1, 1, 2, 3, 2, 5, 6, 3]",7,(Constant**Constant)-(Constant/(x[0]-x[0]-x[0]-Constant)),(0.46389631462713576**0.1709098419670526)-(0.7902585169219464/(x[0]-x[0]-x[0]-0.5161463090465164)),0.41860831897706524,{'errortest': 0.4618451613489788}
"[[0], [2], [1], [3, 3], [], [3], [0, 0], [1, 0]]",0.43831105918019014,"[1, 1, 1, 2, 0, 1, 2, 2]",6,((x[1]/x[0])**Constant),((x[1]/x[0])**0.0953769971164381),0.4601323572386717,{'errortest': 0.44580093440629953}
"[[0], [0], [0, 0], [2, 2, 1, 3], [1, 1, 2, 1], [0, 0, 2, 2, 1, 2, 3], [1, 1, 0, 1, 1, 1, 1, 0], [1, 1]]",0.44376577790673194,"[1, 1, 2, 4, 4, 7, 8, 2]",7,((Constant+Constant)**Constant)+((x[1]*Constant)**Constant)*(Constant-(Constant*Constant))/x[1],((0.8012665946544428+0.6805166103802829)**0.9639380050339995)+((x[1]*0.6900463332662707)**0.6740623704017563)*(0.16008205864846592-(0.3442115109510566*0.7092729238717138))/x[1],0.415782561708786,{'errortest': 0.4823795457801237}
"[[0], [0], [0, 0], [3, 3, 1, 2], [1, 1, 2, 1], [0, 0, 1, 2, 1, 2, 3], [1, 1, 0, 1, 1, 1, 1, 0], [0, 0, 1]]",0.4541734234797028,"[1, 1, 2, 4, 3, 6, 7, 1]",7,Constant+Constant+((x[0]-Constant)*(Constant-Constant))*(Constant**Constant),0.8651899430939616+0.6591791615538615+((x[0]-0.6493658170675477)*(0.32451436823115243-0.7032679822061303))*(0.7632406151420273**0.40757098427646765),0.43774198443513124,{'errortest': 0.48504844634937444}
"[[0], [2], [2], [3], [], [], [0], [1]]",0.4943276838675154,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.5746160845287203)**0.16992053754693703),0.5205676144722367,{'errortest': 0.5047512077015155}
"[[0], [2], [2], [3, 3, 3, 3], [0, 2, 2, 0], [3, 1, 3, 2, 1, 1, 3], [0], [1, 1, 1]]",0.5801341433697061,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.5996677660150921)**0.17187072374178547),0.6100131022087962,{'errortest': 0.5860165476833689}
"[[0], [1], [2, 1], [0, 3, 1], [1, 0, 0, 2], [0, 3, 1, 0, 1, 1, 3], [0, 1, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0]]",0.5849062650100532,"[1, 1, 2, 3, 4, 7, 8, 4]",7,(((x[0]+Constant)/Constant-Constant**Constant)+(x[1]-(x[1]-Constant/x[0]))),(((x[0]+0.5734364805808692)/0.7463720687087858-0.36691586657797215**0.29626655561213333)+(x[1]-(x[1]-0.19209043064624443/x[0]))),0.5391690881606256,{'errortest': 0.6307564435926621}
