genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [3], [], [], [], [0, 1, 1, 1, 0], [1, 0]]",2.1834446437555526,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.17471525848884994),2.373146313974233,{'errortest': 2.7843322320370407}
"[[0], [2], [2], [2], [0], [1], [0, 0], [1, 1]]",2.2133056016239085,"[1, 1, 1, 1, 1, 1, 2, 2]",7,(((x[1]-x[1]**Constant)**Constant)**Constant),(((x[1]-x[1]**0.9972888086536363)**0.4810731437567677)**0.5617457885102083),2.4224961559144886,{'errortest': 2.9214374375087755}
"[[0], [2], [0], [1, 2], [2, 1, 1], [1, 2, 2, 2], [1, 1, 0, 0, 1], [0, 1]]",2.378743348785904,"[1, 1, 1, 2, 3, 4, 5, 2]",7,((Constant-(Constant*x[0]))*((x[1]*Constant)**Constant)**Constant),((0.9959830761141558-(0.06676275053898773*x[0]))*((x[1]*0.8527149490086127)**0.838044001678882)**0.24692227162167302),2.529062993560044,{'errortest': 2.798507544297196}
"[[0], [2], [0], [1, 2], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1]]",2.4663824228949487,"[1, 1, 1, 2, 3, 4, 5, 2]",7,((x[0]+Constant+Constant)+(Constant+x[1]**Constant)**Constant),((x[0]+0.47726706267606533+0.9320819324531623)+(0.5838397196779632+x[1]**0.12912025589581433)**0.13930255771975952),2.663467178901816,{'errortest': 3.200512404185677}
"[[0], [1], [0, 0], [3, 2, 3, 2], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 0], [0, 0]]",2.5577383215643636,"[1, 1, 2, 4, 2, 4, 5, 2]",7,(x[0]+(Constant**Constant)+Constant+(Constant+x[0]**Constant)),(x[0]+(0.9610782422429895**0.6173899265591993)+0.2973305975969921+(0.4719883699498565+x[0]**0.36521294035669516)),2.753398809910584,{'errortest': 3.2867994362250643}
"[[0], [2], [0], [3, 2, 3], [0, 1], [0, 2, 0, 0], [0, 1, 0, 1, 0], [0, 1, 0, 1]]",2.5686782904661625,"[1, 1, 1, 2, 1, 2, 3, 2]",7,(x[0]+(Constant*x[1]**Constant)**Constant),(x[0]+(0.19303585097815645*x[1]**0.4925415875536726)**0.3187378279123313),2.76583581778286,{'errortest': 3.3212966020791463}
"[[0], [2], [0], [2, 1], [2, 0, 0], [0, 0, 0, 0], [0, 1, 0, 1, 0], [1, 0, 0]]",2.5695762689969714,"[1, 1, 1, 2, 3, 4, 5, 3]",7,((x[1]**Constant)+(Constant+x[0]+Constant+x[0])**Constant),((x[1]**0.03862854321818576)+(0.9934144895212892+x[0]+0.7307233912727329+x[0])**0.8685380718476352),2.759132537641637,{'errortest': 3.1924820508806784}
"[[0], [2], [0], [2, 1], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 0], [1, 0]]",2.594898003711484,"[1, 1, 1, 2, 3, 4, 5, 2]",7,((x[1]**Constant)+(Constant+Constant+Constant+x[0])**Constant),((x[1]**0.1080685415403303)+(0.5897737058632176+0.5743502773746253+0.8934913107120833+x[0])**0.8863878193617675),2.756967494782486,{'errortest': 3.0698028450681707}
"[[0], [2], [0], [1, 2], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 1], [0]]",2.7025277827475667,"[1, 1, 1, 2, 3, 4, 5, 1]",7,((x[0]+Constant+Constant)+(Constant+Constant**Constant)**Constant),((x[0]+0.5250507151246594+0.22313270549757502)+(0.7393158897296956+0.7724110843589247**0.8843916884692169)**0.3361753460637241),2.8947122323878443,{'errortest': 3.4742539707002518}
"[[0], [1], [1, 1], [3, 2, 3, 3], [1], [0, 0, 0, 0], [0, 1, 1, 1, 1], [0]]",2.712827767419179,"[1, 1, 2, 4, 1, 4, 5, 1]",6,((x[0]+((Constant+Constant)**Constant))+(Constant+Constant)),((x[0]+((0.8445539144375137+0.09507472765579206)**0.5673087863382367))+(0.7344197136139621+0.1808528334581242)),2.904695682262079,{'errortest': 3.4850742403864925}
"[[0], [2], [0], [1, 2], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 0], [0, 0]]",2.7678683377164144,"[1, 1, 1, 2, 3, 4, 5, 2]",7,((x[0]+Constant+Constant)+(Constant+x[0]**Constant)**Constant),((x[0]+0.5987646294996901+0.31154907396693376)+(0.07084508279842539+x[0]**0.8676957230212904)**0.28914610251912254),2.957082804648498,{'errortest': 3.543837053544145}
"[[0], [2], [0], [1, 2], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 0], [0, 0]]",2.82486280559831,"[1, 1, 1, 2, 3, 4, 5, 2]",7,((x[0]+Constant+Constant)+(Constant+x[0]**Constant)**Constant),((x[0]+0.24374829385968577+0.4056759424728086)+(0.4014363921274532+x[0]**0.5816527398393604)**0.038099312363357396),3.0130532619899513,{'errortest': 3.6007604343628308}
"[[0], [2], [0], [1, 3], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 0], [0, 0]]",2.9226356585251043,"[1, 1, 1, 2, 2, 3, 4, 1]",7,((x[0]+Constant+Constant)+Constant**Constant),((x[0]+0.07256405117954334+0.7444836392568532)+0.34917089298632353**0.40144820523175606),3.1077133303330555,{'errortest': 3.6987100582782486}
"[[0], [2], [1], [2, 1], [0, 0, 2], [2, 2, 3, 0], [1, 1, 1, 1, 0], [1]]",2.9308252388972944,"[1, 1, 1, 2, 3, 4, 5, 1]",7,(((Constant*Constant**Constant)*(Constant/Constant+x[1]))**Constant),(((0.538300923204122*0.5439679499855578**0.7058716603696692)*(0.10038319803128892/0.9944936529938251+x[1]))**0.0977410532758648),3.1252425027992525,{'errortest': 3.681701189723756}
"[[0], [2], [0], [1, 2], [2, 0, 0], [0, 0, 0, 2], [0, 1, 0, 1, 0], [0, 0, 0]]",3.161477388448685,"[1, 1, 1, 2, 3, 4, 5, 3]",7,((x[0]+Constant+x[0])+(Constant*x[0]**Constant)**Constant),((x[0]+0.2539592135406925+x[0])+(0.21212854020251404*x[0]**0.46561348632729016)**0.7190589324779769),3.3297600491993435,{'errortest': 3.950198767687419}
"[[0], [2], [2], [2], [0], [0, 3], [0, 0], [0, 1]]",3.363304507646488,"[1, 1, 1, 1, 1, 1, 2, 2]",7,(((x[0]+x[1]**Constant)**Constant)**Constant),(((x[0]+x[1]**0.4832651320442437)**0.1292075256377121)**0.7350220178791649),3.550714181615774,{'errortest': 4.098182086856452}
"[[0], [0], [3, 3], [1, 2], [2, 0, 1], [0, 0, 1, 2, 0], [0, 1, 0, 1, 1, 0], [0, 0]]",3.5885940457814156,"[1, 1, 2, 0, 0, 1, 2, 1]",5,x[0]+Constant,x[0]+0.4667718086450251,3.7534510129682404,{'errortest': 4.3457029079965706}
"[[0], [0], [2, 3], [3, 1], [0, 0, 2], [0, 0, 1, 2, 1], [0, 1, 1, 1, 1, 1], [0]]",3.663941655638829,"[1, 1, 2, 1, 0, 1, 2, 1]",6,(x[0]**Constant)+Constant,(x[0]**0.8925856002611887)+0.3440790455380496,3.8287953911501322,{'errortest': 4.416221710893076}
"[[0], [2], [1, 1], [3, 2, 3, 3], [1], [0, 1, 0, 0], [0, 1, 1, 0], [0, 0]]",3.736675384406896,"[1, 1, 1, 2, 1, 2, 3, 1]",6,((x[0]+((Constant-Constant)**Constant))**Constant),((x[0]+((0.6550872155880825-0.5478988168382644)**0.4986023324952129))**0.186691452941247),3.9152222703236026,{'errortest': 4.461992914500601}
"[[0], [2], [2], [2, 1], [0, 0, 2], [3, 2, 3, 0], [1, 1, 1, 1, 1], [1]]",3.737896461295181,"[1, 1, 1, 1, 1, 1, 2, 0]",6,(((Constant/Constant**Constant)**Constant)**Constant),(((0.9534390052787531/0.8607023209814947**0.9120486116929348)**0.1126063206493716)**0.8882088864484879),3.9197638159527686,{'errortest': 4.456673697350182}
"[[0], [3], [2], [3, 2], [1], [0, 2], [1, 1, 0, 1], [0]]",3.8590815468248865,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.8622743867534555,4.038807634238484,{'errortest': 4.5723208239132545}
"[[0], [2], [3, 3], [1, 2], [2, 0, 1], [0, 0, 1, 2, 0], [0, 1, 0, 1, 1, 0], [0, 0]]",3.865414945883478,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.5079462679074743),4.033485100256517,{'errortest': 4.5997685318834565}
"[[0], [2], [1], [2, 0], [2, 0, 0], [0, 0, 3, 0], [1, 1, 1, 1, 1], []]",3.868665600332833,"[1, 1, 1, 2, 3, 4, 5, 0]",6,(((Constant**Constant)+Constant+Constant/Constant+Constant)**Constant),(((0.29227657194750656**0.755835687970029)+0.18371117477178722+0.002530047147537573/0.3492549521564452+0.05170833466415303)**0.35878034448855745),4.048225726653366,{'errortest': 4.581470807240258}
"[[0], [0], [1, 3], [3, 1], [0, 0, 2], [2, 2, 3, 0, 3], [0, 1, 1, 1, 0, 0], [0, 0, 0]]",3.913688279370102,"[1, 1, 2, 2, 2, 5, 6, 3]",7,(x[0]*(Constant*Constant/Constant+x[0]))/x[0],(x[0]*(0.6796016225700102*0.033972822884021814/0.5495662231862122+x[0]))/x[0],4.07027899562802,{'errortest': 4.657345409353862}
"[[0], [2], [3], [1, 2], [], [0, 0, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1]]",3.9214174851939547,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.8265413155408041),4.08141801946838,{'errortest': 4.661480108566427}
"[[0], [2], [3], [0, 2], [2, 0, 0], [], [0, 1, 1, 1, 0], [0, 0]]",3.935183499353164,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.9175941665731897),4.092963049062137,{'errortest': 4.67646797258447}
"[[0], [3], [1], [3, 2, 3, 3], [1], [0, 0, 0, 0], [0, 1, 1], [0]]",3.9468711490220127,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],4.1026754965193994,{'errortest': 4.689134166608983}
"[[0], [3], [1], [0, 2], [2, 0, 0], [0, 0, 0, 0], [0, 0, 1, 1, 1], [0, 0]]",3.9468711490220127,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],4.1026754965193994,{'errortest': 4.689134166608983}
"[[0], [3], [], [0, 2], [2, 0, 0], [0, 0, 0, 0], [0, 1, 1, 1, 0], [0, 0]]",3.9468711490220127,"[1, 1, 0, 0, 0, 0, 1, 1]",4,x[0],x[0],4.1026754965193994,{'errortest': 4.689134166608983}
"[[0], [2], [1], [3, 2, 3, 3], [0, 1, 2], [0, 3, 0], [1, 1, 1, 1, 1], [1, 0]]",4.008821771102018,"[1, 1, 1, 2, 1, 2, 3, 0]",6,((Constant+(Constant/Constant**Constant))**Constant),((0.0013321320149514149+(0.46745027509229553/0.551502818667855**0.5924767018641631))**0.9364281164194452),4.186011119130681,{'errortest': 4.715353960367415}
