genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [0], [3, 0, 0], [2, 0], [3, 0, 3, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.11255527475217003,"[1, 1, 1, 2, 2, 3, 4, 3]",7,(x[0]/x[0]+Constant/x[0]**Constant),(x[0]/x[0]+0.8204417268480014/x[0]**0.6890063995198284),0.13928905860838278,{'errortest': 0.13527752799949086}
"[[0], [2], [0], [3, 0, 0], [2, 1], [3, 0, 3, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.2819926228145287,"[1, 1, 1, 2, 2, 3, 4, 4]",7,(x[0]/x[0]+(x[0]/x[0])**Constant),(x[0]/x[0]+(x[0]/x[0])**0.43457107782529625),0.30615256200713764,{'errortest': 0.3155932837192153}
"[[0], [2], [0], [2, 3], [2, 0], [3, 1], [1, 1, 1, 1, 0], [0, 1, 0]]",0.30244955951710284,"[1, 1, 1, 2, 1, 1, 2, 0]",6,((Constant**Constant)/Constant**Constant),((0.7232996412141477**0.31919930594750034)/0.4220944324394482**0.9637556248199042),0.3131407966270259,{'errortest': 0.326424327040005}
"[[0], [2], [0], [2, 2], [2, 2, 1], [0, 0], [1, 1, 1, 1, 0], [0, 1]]",0.3186232245860443,"[1, 1, 1, 2, 2, 1, 2, 0]",6,((Constant**Constant)+(Constant**Constant)**Constant),((0.9415764262745759**0.06177834175661645)+(0.17097903189195662**0.9518478549999426)**0.13411869403897725),0.37138178904824515,{'errortest': 0.3689904122786433}
"[[0], [2], [2], [0, 2], [2, 2, 1], [2, 0, 0], [1, 0, 0, 1, 0], [1]]",0.3313564064824676,"[1, 1, 1, 1, 2, 1, 2, 1]",7,((Constant*x[1]**Constant)**Constant),((0.9911153318123246*x[1]**0.23328294660802718)**0.3231572797483395),0.40374909368900297,{'errortest': 0.38386694166173574}
"[[0], [2], [0], [3, 0, 0], [2, 0, 1], [3, 0, 3, 0], [1, 1, 1, 1, 0], [0, 1]]",0.3466380724842001,"[1, 1, 1, 2, 2, 3, 4, 0]",6,(Constant/Constant+Constant/Constant**Constant),(0.2507449419104124/0.9470205888301307+0.7973330088141273/0.4013383035434517**0.6763352442113315),0.4026065388068265,{'errortest': 0.3980172090831307}
"[[0], [0], [2, 3], [3, 1], [1, 0, 1, 1], [0, 0, 2, 3, 2, 0, 2, 3], [0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1]]",0.3578763297829275,"[1, 1, 2, 1, 0, 1, 2, 1]",6,(x[0]**Constant)+Constant,(x[0]**0.037855084303585196)+0.7464838998685395,0.41382290445305264,{'errortest': 0.4095732693191726}
"[[0], [2], [1], [2, 1], [2, 2, 1], [2, 0, 3, 2, 0, 0], [1, 0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 1]]",0.3792670773791799,"[1, 1, 1, 2, 3, 3, 4, 2]",7,(((Constant**Constant)*(x[1]+(x[0]/Constant)))**Constant),(((0.690464683721868**0.6966979317918811)*(x[1]+(x[0]/0.7465321459267208)))**0.07125303971684882),0.45549726407963137,{'errortest': 0.43307415119847603}
"[[0], [2], [0], [3, 0, 0], [2, 1, 1], [0, 0, 0], [1, 1, 1, 1, 0], [0, 1]]",0.3794477083958055,"[1, 1, 1, 2, 2, 3, 4, 0]",6,(Constant+Constant+(Constant+Constant)**Constant),(0.45242744991700146+0.8205093309504891+(0.23462599506411141+0.6972452433190595)**0.9310679421826421),0.3682232576965096,{'errortest': 0.3863141971686506}
"[[0], [2], [1], [3, 0, 0], [2, 1], [3, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1]]",0.3932605848179773,"[1, 1, 1, 2, 2, 3, 4, 2]",7,((Constant/x[0]+(x[0]+Constant))**Constant),((0.9461287367791453/x[0]+(x[0]+0.2992826491028703))**0.5616496916645162),0.4526715928670542,{'errortest': 0.4425879817982195}
