genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [0], [3, 2], [1], [0, 3], [1, 0, 1], [0]]",0.321030672679194,7,(Constant+((x[0]/Constant)**Constant)**Constant),(0.2576903488736568+((x[0]/0.2348577257021286)**0.19984208007206183)**0.8285586768598767),0.33859697197647554,{'errortest': 0.3487043683438039},"[1, 1, 1, 2, 1, 2, 3, 1]"
"[[0], [2], [0], [0, 1], [1, 1, 2, 2], [0, 1, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 1]]",0.45410909988683396,7,((x[0]+x[1])-(x[0]+x[1])+(Constant*x[1])**Constant),((x[0]+x[1])-(x[0]+x[1])+(0.77507229987354*x[1])**0.03048153171028245),0.48166804902226096,{'errortest': 0.4738575603523297},"[1, 1, 1, 2, 4, 5, 6, 5]"
"[[0], [3], [], [], [], [], [0], [0]]",0.7977080482174701,4,x[0],x[0],0.813507506547458,{'errortest': 0.8063094361250236},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [2], [3], [], [], [], [1], []]",0.8357679661470939,4,(Constant**Constant),(0.8177844110395576**0.603386066138459),0.8605278088688628,{'errortest': 0.8475804151548862},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",0.8549407378842734,3,Constant,0.8658565482330801,0.8796922016692584,{'errortest': 0.8665601773326843},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",0.9121861436968852,3,Constant,0.8067797615410331,0.9369102003204072,{'errortest': 0.9232761913968037},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [1], [1, 2], [2, 3, 3], [2], [0, 1], [1, 1, 1], []]",1.0055058307005373,6,(((Constant**Constant)+Constant)-(Constant**Constant)),(((0.28795766526835687**0.07090995762751684)+0.5912394727757287)-(0.2204513657621905**0.15105085706698274)),1.0301811037879491,{'errortest': 1.015858839555125},"[1, 1, 2, 3, 1, 2, 3, 0]"
"[[0], [0], [3, 2], [3], [], [3], [1, 1], []]",1.120647988646669,5,Constant/(Constant**Constant),0.5533713939260164/(0.8719491501889087**0.5082780844814356),1.1452617366503037,{'errortest': 1.1302571035096678},"[1, 1, 2, 1, 0, 1, 2, 0]"
"[[0], [1], [2, 0], [0, 2, 0], [2, 2, 2, 2, 1], [2, 0, 2, 3, 0], [1, 1, 0, 1, 0, 1], [1, 1]]",1.2097917699200071,7,((Constant*Constant**Constant)+(x[1]**Constant)*Constant/(x[1]+Constant)),((0.5249274206847916*0.9159653966203893**0.5303912511037434)+(x[1]**0.2687308994717136)*0.8767935950895388/(x[1]+0.5517596070641662)),1.2342684058629525,{'errortest': 1.2188987479034155},"[1, 1, 2, 3, 5, 5, 6, 2]"
"[[0], [3], [], [], [], [], [1], []]",1.270330752307785,3,Constant,0.44103546005878036,1.2948681703095208,{'errortest': 1.2791707646966197},"[1, 1, 0, 0, 0, 0, 1, 0]"
