genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [0], [3, 0], [1, 0, 3], [0, 0, 2, 1], [1, 2, 1, 0, 0, 0, 3], [0, 0, 1, 1, 1, 1, 1, 0], [0, 0, 0]]",3.5543366226258346,"[1, 1, 2, 2, 4, 7, 8, 3]",7,x[0]-(x[0]*Constant-Constant+Constant)+Constant+(Constant/x[0]),x[0]-(x[0]*0.24814247240246878-0.5185430070720022+0.03771139681318991)+0.6375977841110408+(0.9175971879743668/x[0]),4.145076149200078,{'errortest': 4.3193430321253805}
"[[0], [1], [2, 0], [1, 3, 2], [0, 2, 0], [0, 2, 1, 0, 2], [0, 1, 0, 1, 1, 0], [1, 1, 1]]",4.244575471071625,"[1, 1, 2, 3, 3, 5, 6, 3]",7,(((x[1]+Constant*x[1])**Constant)-Constant+(Constant*x[1]**Constant)),(((x[1]+0.5648252660773375*x[1])**0.05248887915356015)-0.06874404293619985+(0.3462629663065441*x[1]**0.11590286480893142)),4.890378223709001,{'errortest': 5.105222088032071}
"[[0], [0], [1, 2], [1, 0, 3], [2, 0, 2, 1], [1, 2, 1, 0, 0, 0], [0, 0, 1, 0, 1, 1, 1], [0, 0, 0]]",4.258733828539935,"[1, 1, 2, 3, 4, 6, 7, 3]",7,((x[0]-x[0]*Constant)-x[0]+(Constant+Constant))+(Constant**Constant),((x[0]-x[0]*0.638224684506441)-x[0]+(0.7099523412891653+0.9177239471449611))+(0.9473370633259676**0.15841014461295744),4.9057326668826144,{'errortest': 5.123042612918874}
"[[0], [2], [1], [3, 1], [1, 0], [0, 2, 0, 3], [1, 0, 1, 1, 0], [0, 0]]",4.288393667740595,"[1, 1, 1, 2, 2, 4, 5, 2]",7,((Constant+((x[0]*Constant)+Constant/x[0]))**Constant),((0.28605645187694473+((x[0]*0.5172619325259168)+0.9043630190200166/x[0]))**0.9756574348403378),4.957361057374417,{'errortest': 5.183188023412588}
"[[0], [2], [0], [2, 2], [2, 0], [0, 3], [1, 1, 0], [0, 0]]",4.681003925375575,"[1, 1, 1, 2, 2, 2, 3, 1]",7,((Constant**Constant)+(Constant/x[0]**Constant)**Constant),((0.4749359072763658**0.437951274627432)+(0.5679564618735676/x[0]**0.4550851001173296)**0.2615088756177567),5.370590802874503,{'errortest': 5.6237537984743415}
"[[0], [2], [1], [3, 1], [1, 0], [0, 2, 0, 2], [1, 0, 1, 1, 1], [0]]",4.842533434271622,"[1, 1, 1, 2, 2, 4, 5, 1]",7,((Constant+((x[0]*Constant)+Constant*Constant))**Constant),((0.9225437475995597+((x[0]*0.9196210446355321)+0.7828700808826361*0.6516389817643332))**0.49764024698233955),5.55032637250913,{'errortest': 5.821611812631837}
"[[0], [0], [0, 0], [3, 0, 3, 3], [0, 2], [0, 0, 1, 0, 3], [1, 1, 1, 0, 0, 0], [0, 0, 1]]",4.854785015523038,"[1, 1, 2, 4, 2, 5, 6, 3]",7,Constant+Constant+Constant-x[0]+x[0]/x[1],0.40314804462607035+0.7886024425662117+0.9107330744043226-x[0]+x[0]/x[1],5.532218281704806,{'errortest': 5.768885262571103}
"[[0], [2], [0], [2, 2], [2, 0], [0, 3], [1, 0, 0], [0, 1]]",4.857639952499236,"[1, 1, 1, 2, 2, 2, 3, 2]",7,((Constant**Constant)+(x[0]/x[1]**Constant)**Constant),((0.9683425367185136**0.9427713464499625)+(x[0]/x[1]**0.17633962125011216)**0.48243331580488347),5.567770923042685,{'errortest': 5.841022239954072}
"[[0], [2], [0], [2, 2], [2, 0], [2, 3, 1], [0, 0, 1, 1], [0, 1]]",4.962165379392212,"[1, 1, 1, 2, 2, 2, 3, 2]",7,((x[0]**Constant)*(x[1]/Constant**Constant)**Constant),((x[0]**0.569667439601313)*(x[1]/0.5405185126700471**0.7823822101463566)**0.06372902387958779),5.682916125772742,{'errortest': 5.970004762997054}
"[[0], [1], [3, 3], [], [], [3], [1, 0], [0]]",4.9717185331857365,"[1, 1, 2, 0, 0, 1, 2, 1]",5,(Constant/x[0]),(0.7618774980418436/x[0]),5.665030951166092,{'errortest': 5.908291615324327}
