genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [0], [2, 2], [2, 0], [1, 2], [0, 1, 1], [1]]",3.474489760272564,7,((x[1]**Constant)-(Constant*Constant**Constant)**Constant),((x[1]**0.18190888558166174)-(0.4990450229380964*0.12192957325203002**0.5037138702421463)**0.8258732080162092),3.9889018414087305,{'errortest': 4.070481145965583},"[1, 1, 1, 2, 2, 2, 3, 1]"
"[[0], [2], [1], [0, 0], [0, 1, 1, 2], [0, 3, 1, 0, 2, 1], [1, 1, 1, 1, 0, 0, 0], [1, 0, 0]]",3.7857401142167233,7,((Constant+Constant/(Constant-Constant)+(x[1]*x[0])-x[0])**Constant),((0.20055835487981521+0.023756979071993922/(0.37222532664975727-0.11314347679239367)+(x[1]*x[0])-x[0])**0.2597323885774254),3.8595890354056555,{'errortest': 3.46299056976105},"[1, 1, 1, 2, 4, 6, 7, 3]"
"[[0], [0], [0, 3], [1, 3], [2, 0], [1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 1]]",3.83638657376697,7,(x[1]-x[1]+Constant)+Constant+Constant,(x[1]-x[1]+0.9402259769928932)+0.953090296648367+0.9667264829116428,4.430732558140945,{'errortest': 4.619024839041357},"[1, 1, 2, 2, 2, 4, 5, 2]"
"[[0], [0], [1, 3], [1, 3], [2, 0], [1, 0, 0, 3], [0, 0, 1, 1, 1], [1, 1]]",4.188911779087997,7,((x[1]-x[1]+Constant)+Constant)/Constant,((x[1]-x[1]+0.24851365415843474)+0.7737650146258133)/0.4414439578092977,4.833636244324112,{'errortest': 5.055719163615964},"[1, 1, 2, 2, 2, 4, 5, 2]"
"[[0], [0], [0, 3], [1, 0], [1, 2, 2, 2], [1, 0, 0, 0, 0], [0, 0, 1, 1, 1, 0], [1, 1, 0]]",4.318594963142882,7,((x[1]-x[1])+Constant)+Constant+Constant+x[0],((x[1]-x[1])+0.6458315626542648)+0.8316876913669122+0.05990286156053293+x[0],4.974904302427949,{'errortest': 5.21461187432503},"[1, 1, 2, 2, 4, 5, 6, 3]"
"[[0], [0], [0, 3], [1, 3], [1, 2, 2, 2], [1, 0, 0, 0, 0], [0, 0, 1, 1, 1, 0], [1, 1]]",4.422489897850996,7,((x[1]-x[1])+Constant)+Constant+Constant,((x[1]-x[1])+0.6501727780658093)+0.9785617705299438+0.35583691612589274,5.091685512607197,{'errortest': 5.331139792360103},"[1, 1, 2, 2, 2, 4, 5, 2]"
"[[0], [0], [0, 3], [1, 3], [2, 0], [1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 1]]",4.426291912100697,7,(x[1]-x[1]+Constant)+Constant+Constant,(x[1]-x[1]+0.9399800062455537)+0.4140106197913914+0.6253321305041797,5.0958431694481385,{'errortest': 5.335555711655725},"[1, 1, 2, 2, 2, 4, 5, 2]"
"[[0], [2], [2], [2], [2], [], [0], [1]]",4.5217819291590216,7,(((x[1]**Constant)**Constant)**Constant),(((x[1]**0.2813227326586215)**0.6378696031883035)**0.4711368633626565),5.1937189799521954,{'errortest': 5.429559441423238},"[1, 1, 1, 1, 1, 0, 1, 1]"
"[[0], [2], [0, 3], [1, 3], [0, 0], [3, 0, 3, 1], [0, 0, 1, 1, 1], [1, 1]]",4.523416304918617,7,((x[1]/x[1]+Constant/Constant)-Constant**Constant),((x[1]/x[1]+0.7577053400898645/0.43272422216310735)-0.8454103907897084**0.598081803849855),5.201656091400663,{'errortest': 5.447735899465337},"[1, 1, 1, 2, 2, 4, 5, 2]"
"[[0], [0], [3, 0], [3, 0], [2, 2], [3, 0, 3], [1, 1, 1, 0], [0]]",4.6356992810740865,7,Constant/Constant+Constant/x[0],0.13107063458187196/0.2868932886259573+0.7299629280900285/x[0],5.315269219723644,{'errortest': 5.547805806064415},"[1, 1, 2, 2, 2, 3, 4, 1]"
"[[0], [0], [0, 3], [1, 3], [0, 1], [1, 0, 0, 0, 3], [0, 0, 1, 1, 1, 1], [1, 1]]",4.660655902001876,7,(x[1]-x[1]+(Constant+Constant))+Constant/Constant,(x[1]-x[1]+(0.35679654854871534+0.17981686522277585))+0.8752573338364845/0.7770846044685636,5.349996715166151,{'errortest': 5.604385466955984},"[1, 1, 2, 2, 2, 5, 6, 2]"
"[[0], [2], [0, 3], [1, 3], [0, 1], [1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 1]]",4.793236066711096,7,((x[1]-x[1]+(Constant+Constant))+Constant**Constant),((x[1]-x[1]+(0.28676296010530733+0.21519969630153635))+0.8888384557249692**0.107454002900088),5.492175595069935,{'errortest': 5.753924060711486},"[1, 1, 1, 2, 2, 4, 5, 2]"
"[[0], [1], [3, 2], [3], [], [0], [1, 1], []]",4.798021063396646,5,(Constant+(Constant**Constant)),(0.5895684247734174+(0.8762951690299071**0.8518216255601002)),5.4972884879776425,{'errortest': 5.759291475108907},"[1, 1, 2, 1, 0, 1, 2, 0]"
"[[0], [2], [0], [3, 2], [0, 1, 1, 2], [3, 1, 3, 3], [1, 0, 1, 1, 1], [0, 0, 1, 1, 1, 1, 1]]",4.834921374955126,7,(Constant/(x[0]-Constant**Constant)**Constant),(0.7784390803879784/(x[0]-0.05687952701410315**0.4871164307547665)**0.524759610097839),5.53599919806475,{'errortest': 5.785174237958854},"[1, 1, 1, 2, 1, 2, 3, 1]"
"[[0], [2], [0, 3], [1, 3], [0, 1], [1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 1]]",4.8988416349866455,7,((x[1]-x[1]+(Constant+Constant))+Constant**Constant),((x[1]-x[1]+(0.11153140165899877+0.4789459816680295))+0.5085770827241329**0.40008094538301053),5.604743539572366,{'errortest': 5.871943549183829},"[1, 1, 1, 2, 2, 4, 5, 2]"
"[[0], [2], [2], [3], [], [], [0], [1]]",4.916012024873121,6,((x[1]**Constant)**Constant),((x[1]**0.4279253776768497)**0.0921051587414401),5.620384100238143,{'errortest': 5.885251375509585},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [1], [3, 0], [0, 1, 1, 2], [0, 3, 2, 3], [1, 1, 1, 1, 0, 0, 0], [0]]",5.1410535681781315,7,((Constant+Constant/Constant*(Constant/x[0]))**Constant),((0.19727093501142268+0.6717526488646028/0.44587019120680316*(0.35542472090736055/x[0]))**0.7097537031595855),5.850787159707732,{'errortest': 6.114332842659258},"[1, 1, 1, 2, 2, 4, 5, 1]"
"[[0], [2], [2], [2], [2], [], [0], [0]]",5.186774753795994,7,(((x[0]**Constant)**Constant)**Constant),(((x[0]**0.06809808132608886)**0.2998205928713594)**0.9240909495448507),5.909587628806634,{'errortest': 6.1906876024533055},"[1, 1, 1, 1, 1, 0, 1, 1]"
"[[0], [2], [2], [2], [2, 0], [1, 2], [1], [1]]",5.258795314247461,6,(((Constant**Constant)**Constant)**Constant),(((0.2381928825750682**0.7171440731665866)**0.9043441123112911)**0.1096218365975814),5.984744744861038,{'errortest': 6.268263099033082},"[1, 1, 1, 1, 1, 0, 1, 0]"
