genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [1], [0, 1], [3, 0, 2, 2], [0, 1, 2, 0], [0, 3, 0, 3, 0, 3, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0]]",2.9126366980057936,7,(Constant+x[0]/Constant+(x[1]/x[1])+((x[1]**Constant)/(x[1]+x[0]**Constant))),(0.4263183080196742+x[0]/0.3648834928007584+(x[1]/x[1])+((x[1]**0.09648174795791187)/(x[1]+x[0]**0.9628196296651366))),3.4128836848694917,{'errortest': 3.24807417376947},"[1, 1, 2, 4, 4, 7, 8, 6]"
"[[0], [1], [2, 3], [2], [2], [1], [0, 1], [1]]",3.54090209830278,7,(((x[1]**Constant)**Constant)-Constant),(((x[1]**0.14293168843587878)**0.46686219975941834)-0.4175001107036619),4.180543033449533,{'errortest': 3.893463587431958},"[1, 1, 2, 1, 1, 1, 2, 1]"
"[[0], [2], [3], [], [], [], [0], [0]]",3.7623343497578143,5,(x[0]**Constant),(x[0]**0.00946215254922167),4.381550111399832,{'errortest': 4.104903380149865},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [3], [], [], [], [0], [0]]",3.8136607977355466,5,(x[0]**Constant),(x[0]**0.22668279530002067),4.437302868549902,{'errortest': 4.159596456831979},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [3], [], [], [], [0], [0]]",3.8151857929735367,5,(x[0]**Constant),(x[0]**0.23368822986874072),4.4389557312683845,{'errortest': 4.1612152288305815},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [3, 3], [], [], [0], [1, 1], []]",3.8256106898859383,4,(Constant+Constant),(0.7456711670545076+0.17428675481534706),4.4431850104807165,{'errortest': 4.166040549119478},"[1, 1, 2, 0, 0, 1, 2, 0]"
"[[0], [2], [3], [], [], [], [1], []]",3.8752092415179282,4,(Constant**Constant),(0.8123618325807317**0.725985181511034),4.491693033741098,{'errortest': 4.21417369826376},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [0], [0]]",3.9118449747270843,5,(x[0]**Constant),(x[0]**0.7731570003014964),4.543397868353899,{'errortest': 4.263136981196866},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [3], [], [], [], [1], []]",3.9239666419713677,4,(Constant**Constant),(0.593455293756641**0.4244785226068545),4.539369301861185,{'errortest': 4.261509088554461},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [0], [0]]",3.942113467005234,4,x[0],x[0],4.576039321538798,{'errortest': 4.2948212870829865},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",3.942113467005234,4,x[0],x[0],4.576039321538798,{'errortest': 4.2948212870829865},"[1, 1, 0, 0, 0, 0, 1, 1]"
