genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [1], [1, 3], [1, 0], [0, 1, 0, 1], [3, 0, 2, 2, 0, 1, 3, 3], [1, 1, 1, 1, 1, 1, 0, 0, 1], [0, 1]]",2.2197622049710444,"[1, 1, 2, 2, 4, 8, 9, 2]",7,(((Constant/Constant+(Constant*Constant))*Constant+Constant-(x[0]/x[1]))/Constant),(((0.1352040004275602/0.36156477487231686+(0.11277879184651796*0.639069927183337))*0.6895682421232594+0.0033048076049284614-(x[0]/x[1]))/0.086579511535536),2.7834795763382525,{'errortest': 2.587613147819343}
"[[0], [2], [3], [], [], [], [0], [1]]",2.3171967496302943,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.17123886336539584),2.886068385851602,{'errortest': 2.6674851878106485}
"[[0], [2], [2, 3], [1], [1, 0], [3, 0, 0], [1, 0, 1, 0], [1, 1, 1]]",2.4334089184433627,"[1, 1, 1, 1, 2, 3, 4, 2]",7,((((Constant/x[1])+Constant+x[1])**Constant)**Constant),((((0.6563186291091104/x[1])+0.6991057483741712+x[1])**0.33339216889703294)**0.4317614845926726),3.079776634427448,{'errortest': 2.8155030376143713}
"[[0], [1], [0, 1], [3, 0, 2, 2], [0, 1, 2, 0], [0, 3, 0, 3, 0, 3, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0]]",2.9126366980057936,"[1, 1, 2, 4, 4, 7, 8, 6]",7,(Constant+x[0]/Constant+(x[1]/x[1])+((x[1]**Constant)/(x[1]+x[0]**Constant))),(0.4263183080196742+x[0]/0.3648834928007584+(x[1]/x[1])+((x[1]**0.09648174795791187)/(x[1]+x[0]**0.9628196296651366))),3.4128836848694917,{'errortest': 3.24807417376947}
"[[0], [2], [0, 1], [3, 1], [0, 1, 2, 0], [0, 3, 0, 3, 0, 3, 0], [1, 0, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0]]",3.083741236783865,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant+(x[0]/Constant+(Constant/x[1]))**Constant),(0.8326577781665788+(x[0]/0.5144909952461909+(0.05225238337733529/x[1]))**0.17190731927975045),3.7173112490784073,{'errortest': 3.4519527940508805}
"[[0], [1], [2, 3], [3], [2], [1], [0, 1], [1]]",3.1426616028607,"[1, 1, 2, 1, 0, 1, 2, 1]",6,((x[1]**Constant)-Constant),((x[1]**0.11933744576777805)-0.7459321721525667),3.813160080345029,{'errortest': 3.513089859975115}
"[[0], [1], [2, 3], [2], [1, 0], [3, 0], [0, 1, 0], [0, 0]]",3.200725219819781,"[1, 1, 2, 1, 1, 2, 3, 2]",7,((((x[0]/Constant)**Constant)**Constant)+x[0]),((((x[0]/0.16815916750305215)**0.13179182878328466)**0.12554083530748927)+x[0]),3.840563700435824,{'errortest': 3.574437317499873}
"[[0], [1], [3, 0], [0, 0, 2], [1, 2, 0, 1], [0, 3, 1, 3, 0, 0, 2], [1, 0, 0, 1, 0, 0, 1, 0], [0, 1, 1, 0, 0]]",3.2259283750294805,"[1, 1, 2, 2, 4, 7, 8, 5]",7,(Constant+(x[0]/x[1])-Constant/x[1]+x[0]+(Constant*x[0])),(0.4718390799134198+(x[0]/x[1])-0.8819116179729133/x[1]+x[0]+(0.8271865118128809*x[0])),3.866826166645456,{'errortest': 3.606053064158983}
"[[0], [1], [2, 3], [2], [1, 0], [3, 0], [0, 1, 1], [0, 0]]",3.3351937936888794,"[1, 1, 2, 1, 1, 2, 3, 1]",7,((((x[0]/Constant)**Constant)**Constant)+Constant),((((x[0]/0.9441569872821008)**0.34430868718351837)**0.27109321350906024)+0.5650511605440958),3.9645586663929504,{'errortest': 3.6932603883414483}
"[[0], [2], [2, 3], [0], [1, 2], [3, 0, 0], [0, 0, 1, 0], [1, 1, 1]]",3.3568674227442306,"[1, 1, 1, 1, 2, 2, 3, 2]",7,(((x[1]/x[1])+Constant**Constant)**Constant),(((x[1]/x[1])+0.6525481168066839**0.4899068305061063)**0.6924130858948233),3.98372197478259,{'errortest': 3.712001205245915}
"[[0], [0], [3, 3], [], [], [0], [0, 1], [0]]",3.4173010784535096,"[1, 1, 2, 0, 0, 1, 2, 1]",5,x[0]+Constant,x[0]+0.7019657903560865,4.057375966888567,{'errortest': 3.784854755287444}
"[[0], [2], [0], [1, 3], [0, 2], [1, 3, 0], [1, 1, 0, 1], [0]]",3.4861280903681604,"[1, 1, 1, 2, 2, 3, 4, 1]",7,((Constant-Constant/x[0])+Constant**Constant),((0.732547476570059-0.15909993098333253/x[0])+0.40789987453459997**0.1796873701825933),4.117569333251268,{'errortest': 3.844640489516178}
"[[0], [1], [2, 3], [2], [2], [1], [0, 1], [1]]",3.54090209830278,"[1, 1, 2, 1, 1, 1, 2, 1]",7,(((x[1]**Constant)**Constant)-Constant),(((x[1]**0.14293168843587878)**0.46686219975941834)-0.4175001107036619),4.180543033449533,{'errortest': 3.893463587431958}
"[[0], [2], [1], [3, 1], [1, 0], [3, 3, 1, 2], [1, 1, 1, 1, 0], [0, 0]]",3.633220450335946,"[1, 1, 1, 2, 2, 4, 5, 1]",7,((Constant/((Constant/Constant)-Constant*x[0]))**Constant),((0.7962389155353078/((0.08374680330574791/0.18298433323418128)-0.09319948216248053*x[0]))**0.1993162646291683),4.255963300172991,{'errortest': 3.9804032252153783}
"[[0], [0], [3, 3], [], [], [0], [0, 1], [0]]",3.6816768501105828,"[1, 1, 2, 0, 0, 1, 2, 1]",5,x[0]+Constant,x[0]+0.3385013794088759,4.319468037195705,{'errortest': 4.041724618025614}
"[[0], [2], [2, 3], [1], [0, 2], [3, 3], [1, 0, 1, 0], [0]]",3.7101264066920474,"[1, 1, 1, 1, 2, 2, 3, 1]",7,(((Constant/x[0]/Constant)**Constant)**Constant),(((0.9227978382723075/x[0]/0.8118395208982185)**0.761202031693073)**0.1721565378774056),4.326175990842983,{'errortest': 4.0503377933656}
"[[0], [2], [2, 3], [2], [2], [1], [0, 1], [1]]",3.7379564775964123,"[1, 1, 1, 1, 1, 0, 1, 1]",7,(((x[1]**Constant)**Constant)**Constant),(((x[1]**0.8530855273406491)**0.012656724175440281)**0.31240599947003733),4.357935738279652,{'errortest': 4.081127939039311}
"[[0], [2], [3], [], [], [], [1], [1]]",3.760892794238629,"[1, 1, 1, 0, 0, 0, 1, 0]",4,(Constant**Constant),(0.9108951669666486**0.01287245285027705),4.379872234371106,{'errortest': 4.103263004737919}
"[[0], [2], [3], [], [], [], [1], [1]]",3.7658533956882554,"[1, 1, 1, 0, 0, 0, 1, 0]",4,(Constant**Constant),(0.9866663630180066**0.5433544250433071),4.384725960473193,{'errortest': 4.108073760026332}
"[[0], [2], [0], [0, 1], [2, 2, 1, 2], [3, 3, 0, 3], [1, 1, 1, 1, 0], [0]]",3.770446529121209,"[1, 1, 1, 2, 4, 4, 5, 1]",7,(Constant/Constant/((Constant+Constant)/x[0])**Constant),(0.9578928637328895/0.8513390474006758/((0.7969596135797169+0.666268839739863)/x[0])**0.19092046953645414),4.394370314632152,{'errortest': 4.117149191467677}
"[[0], [2], [2, 3], [3], [2, 1], [1, 2], [1, 0, 1], [1, 1]]",3.777201794890295,"[1, 1, 1, 1, 0, 0, 1, 0]",5,((Constant**Constant)**Constant),((0.6437056260586477**0.06557732431885444)**0.7393105564981303),4.395829311581441,{'errortest': 4.119080049815249}
"[[0], [2], [3], [], [], [], [1], []]",3.7896145620157986,"[1, 1, 1, 0, 0, 0, 1, 0]",4,(Constant**Constant),(0.8756908192774985**0.2783217918851759),4.40797320463951,{'errortest': 4.131119731979648}
"[[0], [2], [2, 3], [2], [2], [0], [0, 1], [0]]",3.8090279921657686,"[1, 1, 1, 1, 1, 0, 1, 1]",7,(((x[0]**Constant)**Constant)**Constant),(((x[0]**0.9292584940286013)**0.595130976538793)**0.3717999477530314),4.432280395809797,{'errortest': 4.154676582168793}
"[[0], [2], [3], [], [], [], [1], [1]]",3.816052638107952,"[1, 1, 1, 0, 0, 0, 1, 0]",4,(Constant**Constant),(0.7480688281098429**0.24424063583584044),4.433835853595762,{'errortest': 4.156767062285767}
"[[0], [2], [3], [], [], [], [0, 1], [0]]",3.821344052731902,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.2623461478242535),4.445628366858731,{'errortest': 4.167748575032036}
"[[0], [2], [3], [], [], [], [0, 0, 0], [0]]",3.86132761031052,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[0]**Constant),(x[0]**0.4646220602602038),4.4888808873914305,{'errortest': 4.210030152619433}
