genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [0, 0], [3, 2, 0, 2], [1, 1, 1, 0], [2, 3, 3, 2, 0, 0, 2, 0], [1, 0, 0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0]]",1.1314874228673863,7,Constant*((x[0]/x[0])**Constant)/(x[0]*x[0])+(Constant+Constant)*(Constant+x[0]**Constant),0.8453516426111429*((x[0]/x[0])**0.2391675840293077)/(x[0]*x[0])+(0.4691936200101682+0.828028365552656)*(0.5216272247165279+x[0]**0.37876273195312526),1.2426053868571267,{'errortest': 1.3401163573209682},"[1, 1, 2, 4, 4, 8, 9, 5]"
"[[0], [2], [3, 3], [], [], [0], [0], [1]]",1.8317866400500273,5,(x[1]**Constant),(x[1]**0.15980549044630188),1.922845219482274,{'errortest': 2.0537832341684625},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [0], [2, 0], [2, 2, 2], [2, 3], [0, 1, 1], [1]]",1.8421919049427091,7,((x[1]**Constant)*Constant/Constant**Constant),((x[1]**0.17350475929701192)*0.4348832106242674/0.48442811670396646**0.9438864989060258),1.9257194591049263,{'errortest': 2.0687696872428933},"[1, 1, 1, 2, 3, 2, 3, 1]"
"[[0], [2], [2], [2, 0], [2, 2, 2], [2, 3], [0, 0], [1, 0]]",1.8619350976309057,7,(((x[1]**Constant)**Constant)**Constant),(((x[1]**0.7073074374941027)**0.7098390406095982)**0.3356093413040694),1.9630735907296448,{'errortest': 2.0691923964617693},"[1, 1, 1, 1, 1, 0, 1, 1]"
"[[0], [2], [2], [3], [], [0, 1, 3], [0, 1, 1, 1], [1]]",1.9811838135501594,6,((x[1]**Constant)**Constant),((x[1]**0.19108556410366928)**0.6758136425748212),2.0383871673692284,{'errortest': 2.220381757025695},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [1], [2, 0], [2, 0, 0], [2, 0, 3, 3], [0, 1, 1, 1, 0], [1, 1, 0]]",2.455053981371102,7,(((x[1]**Constant)*Constant+Constant/Constant/x[1])**Constant),(((x[1]**0.9200584438628583)*0.25942455337719683+0.43983203314539876/0.7875648217628239/x[1])**0.26668537143809523),2.5854919775838843,{'errortest': 2.573685987739103},"[1, 1, 1, 2, 3, 4, 5, 2]"
"[[0], [2], [2], [3], [], [], [0], [1]]",2.4738621062053316,6,((x[1]**Constant)**Constant),((x[1]**0.8805555972800941)**0.23107604326402031),2.605093638339953,{'errortest': 2.5884935245304646},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [2], [3], [], [], [0], [1]]",2.489870468931364,6,((x[1]**Constant)**Constant),((x[1]**0.27210361515750714)**0.2997863337519795),2.517415406321575,{'errortest': 2.713471452657651},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [0], [3, 0], [3, 3], [2, 1, 0, 2], [0, 0, 1, 0], [1, 1, 0, 0, 0], [0]]",2.5379137267232292,6,Constant+Constant+x[0],0.7631536517654063+0.38201392855829785+x[0],2.5575961586234714,{'errortest': 2.76964825885455},"[1, 1, 2, 2, 0, 2, 3, 1]"
"[[0], [0], [2, 3], [2], [0, 0, 2, 2], [3, 0, 1, 0], [1, 1, 0, 0, 0], [0]]",2.6019021420044464,6,((Constant/Constant**Constant)**Constant)+x[0],((0.9988350442689514/0.24100121896351867**0.05881617011275142)**0.48872670088556136)+x[0],2.617216149185704,{'errortest': 2.8316554849553275},"[1, 1, 2, 1, 1, 2, 3, 1]"
"[[0], [1], [1, 3], [3, 2], [1], [0, 0, 1], [0, 1, 0, 1], [0, 1]]",2.6087598417659836,7,((x[0]+((Constant+x[1])**Constant))-Constant),((x[0]+((0.7043321603002852+x[1])**0.03428381600708297))-0.2868485058506103),2.6215324111825042,{'errortest': 2.8381707975410633},"[1, 1, 2, 2, 1, 3, 4, 2]"
