genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [3], [1], [0, 1], [], [0, 1, 1, 0], [1, 0]]",1.8615332977586125,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.16843329598726364),1.9625960542536303,{'errortest': 2.0689241344387845}
"[[0], [2], [2, 0], [2, 1], [0, 2, 0, 1], [0, 3, 0], [1, 0, 0, 1], [1]]",1.875768791869997,"[1, 1, 1, 1, 1, 1, 2, 1]",7,(((Constant+x[1]**Constant)**Constant)**Constant),(((0.9438120762660436+x[1]**0.7689316924127932)**0.4621908742400447)**0.4023683000764037),1.947262622700594,{'errortest': 2.1127257248330427}
"[[0], [2], [3], [], [], [], [0], [1]]",1.9487495640914527,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.13286531774249477),2.0095149655476234,{'errortest': 2.187984190697503}
"[[0], [2], [3], [1], [0, 1], [0, 3, 1], [0, 1, 0, 0], [1, 0]]",2.144676933086036,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.11286612400384521),2.1886801957877493,{'errortest': 2.3803810435747623}
"[[0], [2], [2], [2], [0, 2, 0, 1], [3, 3, 3], [0, 1, 0, 1], [1]]",2.1747585704987893,"[1, 1, 1, 1, 1, 1, 2, 1]",7,(((x[1]/Constant**Constant)**Constant)**Constant),(((x[1]/0.8696808070504284**0.20667712713689146)**0.29524502362684946)**0.6470136430925603),2.2978463340989093,{'errortest': 2.323171263109029}
"[[0], [2], [2, 0], [1, 2, 2], [0, 2, 0, 1], [0, 1, 3, 0, 2], [1, 0, 1, 1, 0, 0], [1]]",2.2048463959277242,"[1, 1, 1, 1, 2, 2, 3, 1]",7,(((Constant+x[1]-Constant)**Constant)**Constant),(((0.5662994187601751+x[1]-0.14314526963200358)**0.47322346270924265)**0.2268339836784169),2.245191282331877,{'errortest': 2.4386346720016867}
"[[0], [1], [3, 0], [3, 0], [0, 2], [2, 3, 0, 0], [1, 1, 1, 0, 0], [0, 0]]",2.310685897136383,"[1, 1, 2, 2, 2, 4, 5, 2]",7,(Constant*Constant/Constant+x[0]+x[0]),(0.9134692733034824*0.6140958358700614/0.4024954422265441+x[0]+x[0]),2.378540034618763,{'errortest': 2.5388039650957084}
"[[0], [2], [2], [1], [0, 1], [0, 3, 0], [0, 1, 1, 0], [1, 0]]",2.507764260781426,"[1, 1, 1, 1, 2, 3, 4, 2]",7,(((x[1]+Constant/(Constant+x[0]))**Constant)**Constant),(((x[1]+0.6331356978205459/(0.6886268915842434+x[0]))**0.551231143549784)**0.1449770327292922),2.5346813005740505,{'errortest': 2.730714157813504}
"[[0], [1], [3, 1], [0, 3], [2, 1], [1, 1, 3, 0], [1, 0, 0, 1, 1], [0, 0]]",2.671942497554653,"[1, 1, 2, 2, 2, 4, 5, 2]",7,(Constant-(x[0]-(x[0]/Constant)+Constant)),(0.6036373093459576-(x[0]-(x[0]/0.3944703988048802)+0.030597401691308534)),2.677659492862215,{'errortest': 2.9037042635430175}
"[[0], [2], [1], [2, 1], [0, 2, 0, 1], [0, 3, 2, 0], [1, 1, 0, 1, 1], [0]]",2.6903732183047464,"[1, 1, 1, 2, 3, 4, 5, 1]",7,(((Constant+Constant**Constant)/(x[0]*Constant+Constant))**Constant),(((0.807479870340157+0.7401249479312072**0.7644503052434959)/(x[0]*0.31378409589329337+0.33038219765370436))**0.48612704549652763),2.7250908075250337,{'errortest': 2.901360325752262}
"[[0], [2], [1], [2, 1], [1, 2, 2], [0, 2, 0], [1, 1, 0, 1], [1]]",2.8767168250556048,"[1, 1, 1, 2, 3, 3, 4, 1]",7,((((Constant+Constant)**Constant)*(x[1]+Constant))**Constant),((((0.14143642002103163+0.11695517757760965)**0.8482586656769492)*(x[1]+0.8216536912014799))**0.04987844616228865),2.892788657022032,{'errortest': 3.0868452781429725}
