genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [1], [0, 2], [2, 1, 2], [3, 3, 0, 0], [1, 1, 1, 1, 0], [0, 0]]",7.098500520956871,5,(Constant/(Constant/Constant)+(Constant**Constant)) * (x[1]**Constant) * (x[2]),(0.9564809967467425/(0.5345945208447526/0.20132487299407842)+(0.4706294958122431**0.7814523303992237)) * (x[1]**0.5669020553663273) * (x[2]),6.522377067068143,{'errortest': 6.980796936034247},"[1, 1, 2, 3, 3, 4, 0]"
"[[0], [1], [0, 2], [2, 1, 2], [0, 0, 1], [1, 1, 1, 1, 0], [0, 0]]",8.982830961041447,5,(Constant+(Constant+Constant)-(Constant**Constant)) * (x[1]**Constant) * (x[2]),(0.8718206173634665+(0.5985353416858447+0.30806320009647614)-(0.5665336313817957**0.6054613889558786)) * (x[1]**0.5378378029988294) * (x[2]),8.591371673155006,{'errortest': 9.108814366410657},"[1, 1, 2, 3, 3, 4, 0]"
"[[0], [3], [3, 1], [2, 2], [3, 3, 0, 0], [1, 1, 0, 0, 0, 0, 0], [0, 0]]",9.85595982196923,3,Constant * (x[1]**Constant) * (x[2]),0.23322945201089162 * (x[1]**0.707296220200898) * (x[2]),10.083779808362253,{'errortest': 10.296557586205694},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [1], [0, 2], [2, 1, 1], [3, 3, 0, 0], [1, 0, 1, 1, 0], [0, 0]]",14.69372109644444,6,(Constant/(x[0]/Constant)+((Constant+x[0])**Constant)) * (x[1]**Constant) * (x[2]),(0.45459745632578763/(x[0]/0.08238714810642422)+((0.05353991949324044+x[0])**0.4092747294392216)) * (x[1]**0.5392432255396097) * (x[2]),12.58402873540411,{'errortest': 14.29147792253604},"[1, 1, 2, 3, 4, 5, 2]"
"[[0], [3], [3, 1], [2, 2], [2, 2, 2], [1, 0, 0, 0, 0, 0, 0], [0, 0]]",17.456032757171354,3,Constant * (x[1]**Constant) * (x[2]),0.7187658079836846 * (x[1]**0.6079276880684847) * (x[2]),16.53518599551097,{'errortest': 16.98519098875154},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [0, 1, 0, 1], [], [1], [0, 0]]",25.770868354311222,3,Constant * (x[1]**Constant) * (x[2]),0.14958021688597123 * (x[1]**0.7328193937805073) * (x[2]),25.78731561890533,{'errortest': 26.05764888623144},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [0], [0]]",29.236528967628217,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5487298784161635) * (x[2]),25.65415757063897,{'errortest': 28.344270833204654},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [0, 2], [], [3, 3, 0, 0], [0], [0]]",29.5278089288765,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.549675238696745) * (x[2]),26.035303335587233,{'errortest': 28.658009346789985},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [1, 1], [1, 2, 1, 2], [3, 2, 1, 3, 2], [0, 1, 0, 1, 0, 0], [0, 0, 0, 0]]",31.25606470014809,6,(((x[0]/Constant)*x[0])**Constant) * (x[1]**Constant) * (x[2]),(((x[0]/0.19874466559724957)*x[0])**0.5813694541635741) * (x[1]**0.41793992322079254) * (x[2]),26.011250933247076,{'errortest': 29.881257915203047},"[1, 1, 1, 2, 2, 3, 2]"
"[[0], [3], [0, 0], [], [3, 3, 0, 0], [0], [0, 0]]",32.29848959134702,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5150310527983186) * (x[2]),27.720639332342554,{'errortest': 31.106763283602607},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [3, 1], [2, 2], [2, 2, 2], [1, 1, 0, 0, 0, 0, 0], [0, 0]]",33.79184732880696,6,Constant*(Constant*x[0]) * (x[1]**Constant) * (x[2]),0.781206070373378*(0.4919049376196314*x[0]) * (x[1]**0.6182398273695618) * (x[2]),29.549889172510362,{'errortest': 32.72721262617957},"[1, 1, 2, 2, 2, 3, 1]"
"[[0], [3], [3, 1], [], [2, 2, 2], [1, 1, 0, 0, 0, 0, 0], [0, 0]]",34.353347196772745,3,Constant * (x[1]**Constant) * (x[2]),0.442994513112723 * (x[1]**0.5959046511069157) * (x[2]),33.748576904988745,{'errortest': 34.351781757801945},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [0, 0], [1, 1, 0, 0], [1, 0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 1, 1, 0, 1], [0, 0, 0]]",34.4569122226842,6,(Constant-x[0])+(Constant-x[0])+Constant+Constant+x[0]+Constant * (x[1]**Constant) * (x[2]),(0.9560497213312456-x[0])+(0.7207963842211547-x[0])+0.7098670026532788+0.9277144917216256+x[0]+0.9702907272828081 * (x[1]**0.5885694365398915) * (x[2]),33.248963934135226,{'errortest': 33.813084506738214},"[1, 1, 2, 4, 7, 8, 3]"
"[[0], [2], [0, 0], [2, 1, 2, 1], [3, 3, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0]]",39.269854366761656,6,(x[0]/(x[0]/x[0])**Constant) * (x[1]**Constant) * (x[2]),(x[0]/(x[0]/x[0])**0.7543498428759291) * (x[1]**0.49695571986304) * (x[2]),35.152499079523565,{'errortest': 38.16007932939713},"[1, 1, 1, 2, 2, 3, 3]"
"[[0], [1], [0, 2], [2, 1, 1], [3, 3, 0, 0], [1, 0, 1, 1, 0], [0, 0]]",46.14976939811696,6,(Constant/(x[0]/Constant)+((Constant+x[0])**Constant)) * (x[1]**Constant) * (x[2]),(0.1468410546949228/(x[0]/0.3898992443245467)+((0.5095217877200078+x[0])**0.25213395378149406)) * (x[1]**0.4622989955760859) * (x[2]),44.74583497844932,{'errortest': 45.833378235442346},"[1, 1, 2, 3, 4, 5, 2]"
"[[0], [0], [2, 1], [0, 2, 2, 0], [3, 0, 2, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",61.50565215295228,6,(x[0]/x[0]**Constant)+(x[0]*x[0]) * (x[1]**Constant) * (x[2]),(x[0]/x[0]**0.3863732079994595)+(x[0]*x[0]) * (x[1]**0.5621644733663188) * (x[2]),58.79919873343507,{'errortest': 61.284566180879644},"[1, 1, 2, 3, 3, 4, 4]"
"[[0], [1], [3, 2], [2, 1, 2], [0, 0, 0], [1, 0, 1, 1, 0], [0, 0]]",68.08486122907244,6,(Constant+(x[0]**Constant)) * (x[1]**Constant) * (x[2]),(0.19376865340880245+(x[0]**0.3967563323925217)) * (x[1]**0.39462953967506) * (x[2]),65.94083370682824,{'errortest': 67.46776821394597},"[1, 1, 2, 1, 1, 2, 1]"
"[[0], [3], [], [], [], [0], [0, 0, 0]]",68.80580149531255,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5963318815611817) * (x[2]),68.5172076869346,{'errortest': 68.73913210357468},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [0, 2], [2, 1, 2], [3, 1, 0, 0], [1, 1, 1, 1, 0], [0, 0]]",79.99214439055824,5,(Constant/(Constant-Constant)+(Constant**Constant)) * (x[1]**Constant) * (x[2]),(0.14612812229100136/(0.4921465942388604-0.8807267881611743)+(0.8914745555252616**0.13306840015259624)) * (x[1]**0.40932188674998826) * (x[2]),78.11990782875613,{'errortest': 79.44982253825987},"[1, 1, 2, 3, 3, 4, 0]"
"[[0], [2], [1, 1], [1, 2, 1, 2], [3, 2, 1, 3, 2], [1, 1, 0, 1, 0, 0], [0, 0, 0, 0]]",81.35398592354889,6,(((Constant/Constant)*x[0])**Constant) * (x[1]**Constant) * (x[2]),(((0.8999109902693533/0.558834398528212)*x[0])**0.37935732427572844) * (x[1]**0.3220196676648227) * (x[2]),79.13377515772147,{'errortest': 80.69213370396602},"[1, 1, 1, 2, 2, 3, 1]"
