genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [3], [1, 2], [], [1, 0, 0], [0, 0, 0]]",6.840248858411388,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.3999224046400479**0.03573918194113368) * (x[1]**0.545158997915336) * (x[2]),7.187291439400273,{'errortest': 7.3102358455968295}
"[[0], [2], [3], [], [], [1], []]",12.07299806212275,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.6925103960390633**0.9270384352862697) * (x[1]**0.5674867977195741) * (x[2]),12.242766210600433,{'errortest': 12.483504401640415}
"[[0], [1], [3, 0], [2, 0], [2, 3, 2], [1, 0, 0, 1], [0, 0]]",12.558445325955578,"[1, 1, 2, 2, 3, 4, 2]",6,(Constant*x[0]/x[0]*Constant) * (x[1]**Constant) * (x[2]),(0.5333551669067997*x[0]/x[0]*0.1749179188590193) * (x[1]**0.8451237415857781) * (x[2]),10.977451721892859,{'errortest': 12.219165362336117}
"[[0], [1], [0, 0], [2, 0, 2, 2], [0, 0, 1, 0], [1, 1, 0, 0, 0], [0, 0, 0]]",12.966111082278113,"[1, 1, 2, 4, 4, 5, 3]",6,(Constant+Constant+x[0]-x[0]+x[0]) * (x[1]**Constant) * (x[2]),(0.8278870711286941+0.5030909191382705+x[0]-x[0]+x[0]) * (x[1]**0.44674467861908407) * (x[2]),12.300887074339853,{'errortest': 13.240234199992631}
"[[0], [2], [2], [2, 0], [3], [1, 0], [0, 0]]",13.655672041122333,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.2977329863880429**0.9478132714247034)**0.49434840869479735) * (x[1]**0.5904386520068445) * (x[2]),13.82834830059266,{'errortest': 14.060397515118707}
"[[0], [1], [0, 2], [2, 0, 0], [3, 0, 0, 2], [0, 0, 1, 0, 0], [0, 0, 0, 0]]",15.970721307718017,"[1, 1, 2, 3, 4, 5, 4]",6,(x[0]/x[0]+Constant+(x[0]*x[0]**Constant)) * (x[1]**Constant) * (x[2]),(x[0]/x[0]+0.7590902781507316+(x[0]*x[0]**0.686516487634945)) * (x[1]**0.41092139634369684) * (x[2]),14.944905433565685,{'errortest': 16.27882853308233}
"[[0], [2], [3], [2, 0, 1], [3, 2, 0, 2], [0, 0, 1, 0, 0], [0, 0, 0]]",20.18075233269277,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.8976589892820669) * (x[1]**0.5447648232971933) * (x[2]),19.065992653069717,{'errortest': 20.445814904662228}
"[[0], [2], [1], [2, 2], [3, 0, 0, 2], [0, 1, 1, 0, 0], [0]]",20.743886261244807,"[1, 1, 1, 2, 1, 2, 1]",6,((x[0]/Constant)**Constant) * (x[1]**Constant) * (x[2]),((x[0]/0.826481359295449)**0.7262737295561975) * (x[1]**0.5033924830247907) * (x[2]),19.574896300173062,{'errortest': 21.058446516535504}
"[[0], [0], [0, 0], [0, 0, 2, 2], [0, 0, 1, 0, 0], [1, 0, 1, 0, 0, 0], [0, 0, 0, 0]]",21.809528733561653,"[1, 1, 2, 4, 5, 6, 4]",6,Constant+x[0]+Constant-x[0]+x[0]+x[0] * (x[1]**Constant) * (x[2]),0.676758735305201+x[0]+0.9577067781174791-x[0]+x[0]+x[0] * (x[1]**0.5199795019285619) * (x[2]),20.4045577446651,{'errortest': 22.097688582361645}
"[[0], [2], [1, 0], [0, 0, 2, 1], [0, 3, 2], [0, 0, 1, 0, 0, 0], [0, 0, 0]]",22.3195238783164,"[1, 1, 1, 2, 3, 4, 3]",6,((x[0]+x[0]/Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),((x[0]+x[0]/0.2416388360054108*x[0])**0.3383047553925447) * (x[1]**0.4439508588046581) * (x[2]),20.983538548590886,{'errortest': 22.55866772133855}
"[[0], [2], [1, 1], [1, 2], [0, 3], [0, 0, 1, 1, 0, 0], [0, 0, 0]]",22.616577499862277,"[1, 1, 1, 2, 2, 3, 2]",6,(((x[0]+x[0])/Constant)**Constant) * (x[1]**Constant) * (x[2]),(((x[0]+x[0])/0.31910443714313985)**0.4740840257650796) * (x[1]**0.4729012522729966) * (x[2]),21.618688162562012,{'errortest': 22.480319040743712}
"[[0], [1], [0, 0], [2, 0, 2, 2], [0, 0, 1, 0], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",23.400070450426,"[1, 1, 2, 4, 4, 5, 4]",6,(Constant+x[0]+x[0]-x[0]+x[0]) * (x[1]**Constant) * (x[2]),(0.2594562056936077+x[0]+x[0]-x[0]+x[0]) * (x[1]**0.41561543198076145) * (x[2]),21.8077755605756,{'errortest': 23.64343032064341}
"[[0], [3], [], [], [3, 0, 0, 2], [0], [0]]",23.424455952695173,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5169524403899799) * (x[2]),22.026635599440002,{'errortest': 23.718867806213243}
"[[0], [2], [2], [2, 0], [0, 3], [1, 0, 1], [0, 0]]",27.4138601620959,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.9782594109158156**0.04015304130347863)**0.528840552403332) * (x[1]**0.4834187020413211) * (x[2]),26.362766827711816,{'errortest': 27.511348310692554}
"[[0], [1], [0, 2], [1, 2, 1], [3, 0, 0, 2], [1, 0, 1, 0, 0], [0, 0, 0]]",35.27571252249447,"[1, 1, 2, 3, 4, 5, 3]",6,((Constant/x[0])+Constant+((x[0]*x[0])**Constant)) * (x[1]**Constant) * (x[2]),((0.501922588402747/x[0])+0.8342720394640124+((x[0]*x[0])**0.8802946381057623)) * (x[1]**0.34783075185357293) * (x[2]),33.364284153329805,{'errortest': 35.24101169328256}
"[[0], [3], [0, 0], [2, 0, 0, 0], [], [1, 0, 0], [0, 0]]",37.55939895870862,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4421993762313873 * (x[1]**0.5406060163644055) * (x[2]),36.10801962824272,{'errortest': 37.56375666379785}
"[[0], [2], [3], [], [], [1], []]",38.29412445248797,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.1767829367000575**0.06991308612962865) * (x[1]**0.45420284937742694) * (x[2]),36.60949713301055,{'errortest': 38.2469927798219}
"[[0], [2], [3], [], [3, 0, 0, 2], [0], [0, 0]]",38.539452911143314,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.10926983737541529) * (x[1]**0.4396396486092272) * (x[2]),36.767277877760016,{'errortest': 38.491578604820866}
"[[0], [2], [1, 1], [1, 2], [3, 1], [0, 1, 0, 1, 0, 0], [0, 0]]",42.74499674209668,"[1, 1, 1, 2, 2, 3, 2]",6,(((x[0]/Constant)-x[0])**Constant) * (x[1]**Constant) * (x[2]),(((x[0]/0.34301811110280944)-x[0])**0.9259720362515085) * (x[1]**0.3499436814040314) * (x[2]),40.411469069564816,{'errortest': 42.67424059636026}
"[[0], [2], [1, 1], [2, 1], [0, 3], [1, 1, 1], [0, 0, 0]]",46.8397891849663,"[1, 1, 1, 2, 2, 3, 0]",5,((Constant+(Constant/Constant))**Constant) * (x[1]**Constant) * (x[2]),((0.1283102512883738+(0.5471779566043339/0.33302898217563215))**0.8236642856517639) * (x[1]**0.559365044091077) * (x[2]),43.54788042566873,{'errortest': 45.93229722714469}
"[[0], [1], [0, 0], [2, 0, 2, 2], [0, 0, 1, 0], [1, 1, 0, 0, 0], [0, 0, 0]]",50.109980946349225,"[1, 1, 2, 4, 4, 5, 3]",6,(Constant+Constant+x[0]-x[0]+x[0]) * (x[1]**Constant) * (x[2]),(0.600203238410505+0.9056362515257995+x[0]-x[0]+x[0]) * (x[1]**0.25359002921284945) * (x[2]),47.555158367047106,{'errortest': 49.90315242703942}
