genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [3], [], [], [0], [0]]",16.047943167860005,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.13949156629270598) * (x[1]**0.5216961606101765) * (x[2]),17.635180273875925,{'errortest': 16.8998616204332},"[1, 1, 1, 0, 0, 1, 1]"
"[[0], [0], [0, 0], [2, 0, 0, 2], [3, 1, 2, 2, 0], [1, 1, 1, 1, 0, 1], [0]]",17.3714511905396,6,Constant/Constant-Constant*Constant*x[0]+Constant * (x[1]**Constant) * (x[2]),0.5100858811784942/0.7794484284862818-0.5987538028214624*0.5710152214864012*x[0]+0.8807557498112509 * (x[1]**0.5303893966135131) * (x[2]),19.190431342401997,{'errortest': 18.072301672553102},"[1, 1, 2, 4, 5, 6, 1]"
"[[0], [3], [], [], [], [0], [0]]",21.853527990797712,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.533521922220466) * (x[2]),22.34828618256795,{'errortest': 22.96995330821995},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2], [0], [2], [1, 1], []]",36.258167451941006,5,((Constant*Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.15670567778543754*0.010589029845782694**0.8579648393235054)**0.12445604964700419) * (x[1]**0.5425867546248812) * (x[2]),38.43260317899088,{'errortest': 36.86803786666696},"[1, 1, 1, 1, 1, 2, 0]"
"[[0], [3], [], [], [], [0], [0]]",42.39326523137622,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.43430054243408633) * (x[2]),44.01097037150966,{'errortest': 43.30109334980097},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [3, 3], [], [0], [1, 1], []]",42.466613603129176,4,Constant+Constant * (x[1]**Constant) * (x[2]),0.5491257472441258+0.2207965202969523 * (x[1]**0.6068377993091573) * (x[2]),44.74814041241425,{'errortest': 43.055227891924396},"[1, 1, 2, 0, 1, 2, 0]"
"[[0], [2], [3], [], [], [1], []]",46.26827867722806,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.6027984738845008**0.07248233362322154) * (x[1]**0.4143924830639596) * (x[2]),48.73222621054209,{'errortest': 46.86111947362117},"[1, 1, 1, 0, 0, 1, 0]"
"[[0], [2], [1], [2, 0], [2, 2], [1, 0, 0], [0, 0]]",47.9913554304825,6,((Constant*x[0]*x[0])**Constant) * (x[1]**Constant) * (x[2]),((0.8975521165390282*x[0]*x[0])**0.3061643953387274) * (x[1]**0.6108262727121325) * (x[2]),50.118975659440686,{'errortest': 47.334431295575826},"[1, 1, 1, 2, 2, 3, 2]"
"[[0], [2], [3], [], [], [0], [0]]",49.14149809326769,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.6973297671668167) * (x[1]**0.3941446043156712) * (x[2]),51.28702352327725,{'errortest': 49.87675479289546},"[1, 1, 1, 0, 0, 1, 1]"
"[[0], [1], [2, 3], [0], [0, 0], [1, 0, 0], [0, 0]]",51.153583531601875,6,((Constant+x[0]**Constant)+x[0]) * (x[1]**Constant) * (x[2]),((0.13180839038619818+x[0]**0.8080765463825033)+x[0]) * (x[1]**0.28885063430894486) * (x[2]),53.36309342411892,{'errortest': 51.88917159947674},"[1, 1, 2, 1, 2, 3, 2]"
"[[0], [3], [], [], [], [1], []]",53.666467737163714,3,Constant * (x[1]**Constant) * (x[2]),0.9219329050423986 * (x[1]**0.3657393832934791) * (x[2]),56.29064007759078,{'errortest': 54.242358536004126},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2], [2], [], [1], []]",54.24485025382721,5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.8877517178848766**0.5551435003383017)**0.8594153161112457) * (x[1]**0.35736818202281706) * (x[2]),56.882569157069724,{'errortest': 54.81960974715453},"[1, 1, 1, 1, 0, 1, 0]"
"[[0], [3], [], [], [], [1], []]",58.97685187764085,3,Constant * (x[1]**Constant) * (x[2]),0.33415153323725544 * (x[1]**0.4235929323538754) * (x[2]),61.67895635185713,{'errortest': 59.53863811302657},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [0], [0]]",60.374960629642,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.26911747581485534) * (x[2]),62.94464053905446,{'errortest': 61.00079682562504},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [0, 3], [0, 2], [0, 3, 2], [1, 0, 0, 0], [0, 0, 0]]",61.60071105247201,6,Constant+x[0]/x[0]*x[0] * (x[1]**Constant) * (x[2]),0.1665881666851734+x[0]/x[0]*x[0] * (x[1]**0.2390340869678147) * (x[2]),64.23737333627756,{'errortest': 62.208623273709634},"[1, 1, 2, 2, 3, 4, 3]"
"[[0], [3], [], [], [], [1], []]",62.169648184070276,3,Constant * (x[1]**Constant) * (x[2]),0.9843400629950602 * (x[1]**0.2300675439521641) * (x[2]),64.96418108282722,{'errortest': 62.72733855721566},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [1], [0, 0], [3, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",62.52715583135802,6,((x[0]/x[0]*x[0]+x[0])**Constant) * (x[1]**Constant) * (x[2]),((x[0]/x[0]*x[0]+x[0])**0.14675064008337857) * (x[1]**0.2067470218959886) * (x[2]),65.30987444801734,{'errortest': 63.09081678843184},"[1, 1, 1, 2, 3, 4, 4]"
"[[0], [0], [2, 3], [0], [1, 0], [1, 1, 0], [0]]",63.45933776292109,5,(Constant-Constant**Constant)+x[0] * (x[1]**Constant) * (x[2]),(0.674365469677328-0.8870980181363335**0.8056918996302048)+x[0] * (x[1]**0.19530816777784332) * (x[2]),66.16722454772557,{'errortest': 64.0466287054805},"[1, 1, 2, 1, 2, 3, 1]"
"[[0], [3], [], [], [], [0], [0]]",63.76387597315803,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.17506278517494678) * (x[2]),66.49550352402285,{'errortest': 64.34519705915791},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [0], [0]]",64.75205996903917,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.12402397839403867) * (x[2]),67.52815672028362,{'errortest': 65.32096044028481},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [0], [0]]",65.23357782650366,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.08817924057354598) * (x[2]),68.03053106886976,{'errortest': 65.79654193962087},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2], [0], [2], [0, 1], [0]]",65.29925589663613,6,((x[0]*Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((x[0]*0.744486779946113**0.5623797833686122)**0.9743405320515632) * (x[1]**0.10190340907704443) * (x[2]),68.09885340350759,{'errortest': 65.8612301850013},"[1, 1, 1, 1, 1, 2, 1]"
"[[0], [1], [0, 3], [2, 1], [2, 3, 0], [1, 0, 1, 1], [0]]",65.51587927307396,6,(Constant*(x[0]/Constant)+Constant) * (x[1]**Constant) * (x[2]),(0.39855694806674746*(x[0]/0.8757808089363628)+0.36944824010745403) * (x[1]**0.08393483489010956) * (x[2]),68.33922685533238,{'errortest': 66.07105160090786},"[1, 1, 2, 2, 3, 4, 1]"
"[[0], [3], [], [], [], [1], []]",65.95118263122646,3,Constant * (x[1]**Constant) * (x[2]),0.7324256333793482 * (x[1]**0.03788129103245452) * (x[2]),68.79765204581055,{'errortest': 66.49976172905306},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [1], []]",66.29275046666092,3,Constant * (x[1]**Constant) * (x[2]),0.33150760044920313 * (x[1]**0.047533958790314745) * (x[2]),69.14030925594481,{'errortest': 66.84035241963129},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [1], [3, 0], [2, 0], [1, 1, 0], [0, 0, 1, 1], [0, 0]]",66.42361183275845,6,(x[0]-x[0]-Constant+Constant) * (x[1]**Constant) * (x[2]),(x[0]-x[0]-0.24960336150897278+0.3453647701535477) * (x[1]**0.13590305239615286) * (x[2]),69.27090127276522,{'errortest': 66.97080906780187},"[1, 1, 2, 2, 3, 4, 2]"
"[[0], [0], [1, 1], [0, 0, 1, 2], [2, 2, 1, 2, 2, 1], [0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0]]",66.65141717055738,6,(x[0]*x[0]*Constant-Constant)*((Constant*x[0])-x[0]) * (x[1]**Constant) * (x[2]),(x[0]*x[0]*0.7401543914091584-0.8930514846712998)*((0.5578665268506163*x[0])-x[0]) * (x[1]**0.15577453727492196) * (x[2]),69.53822913475862,{'errortest': 67.18758056217395},"[1, 1, 2, 4, 6, 7, 4]"
"[[0], [1], [2, 1], [2, 0, 0], [2, 2, 1, 2], [1, 0, 1, 1, 0], [0, 0]]",66.7007001636581,6,((Constant**Constant)*(x[0]*Constant-Constant*x[0])) * (x[1]**Constant) * (x[2]),((0.5646044104210007**0.45060163340421255)*(x[0]*0.2186243680671499-0.2874813042322295*x[0])) * (x[1]**0.09617528427337874) * (x[2]),69.55256430949593,{'errortest': 67.24646458808016},"[1, 1, 2, 3, 4, 5, 2]"
"[[0], [1], [3, 2], [0], [1, 0], [1, 0, 1], [0]]",67.59648588236419,6,(Constant-(x[0]+Constant**Constant)) * (x[1]**Constant) * (x[2]),(0.5538439510215997-(x[0]+0.3222825399521003**0.5094959382657244)) * (x[1]**0.04430392035228303) * (x[2]),70.4795808720003,{'errortest': 68.13220491445664},"[1, 1, 2, 1, 2, 3, 1]"
"[[0], [0], [1, 2], [2, 1, 2], [1, 2, 3], [1, 0, 1, 1], [0]]",68.05983997032924,6,(Constant-(x[0]*Constant))/(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.4574457881457129-(x[0]*0.8680402164783027))/(0.14158992002899218**0.3740375505336634) * (x[1]**0.11049342581212362) * (x[2]),71.01286556709269,{'errortest': 68.57596030183703},"[1, 1, 2, 3, 3, 4, 1]"
"[[0], [0], [2, 2], [1, 0], [2, 1, 3], [1, 0, 0, 0], [0, 0, 0]]",70.67475498705956,6,((Constant*x[0])**Constant)-(x[0]/x[0]**Constant) * (x[1]**Constant) * (x[2]),((0.3768738114802742*x[0])**0.5245347079398841)-(x[0]/x[0]**0.027087096581461245) * (x[1]**0.23154959333114333) * (x[2]),73.70646328562215,{'errortest': 71.17303318266096},"[1, 1, 2, 2, 3, 4, 3]"
"[[0], [1], [1, 1], [1, 0, 2, 1], [1, 3, 2, 0, 1, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0, 0]]",70.78651578085656,6,(((x[0]-x[0])/Constant*Constant)+(Constant-(Constant+x[0]))) * (x[1]**Constant) * (x[2]),(((x[0]-x[0])/0.608981481484856*0.7244582096062626)+(0.586520324562887-(0.17015654898520283+x[0]))) * (x[1]**0.28261301465385413) * (x[2]),73.9088781500181,{'errortest': 71.25654791660915},"[1, 1, 2, 4, 6, 7, 3]"
"[[0], [0], [0, 1], [0, 1, 2, 2], [1, 3, 3, 1, 2], [1, 1, 1, 0, 1, 1], [0]]",81.49479518087847,6,Constant-Constant/(Constant/x[0])-(Constant*Constant) * (x[1]**Constant) * (x[2]),0.5566309898573905-0.9315410965046512/(0.38452683933844445/x[0])-(0.5401738509588729*0.785584480842592) * (x[1]**0.4588895755986374) * (x[2]),84.68852146536067,{'errortest': 81.99815341248811},"[1, 1, 2, 4, 5, 6, 1]"
"[[0], [2], [0], [0, 1], [1, 1, 2], [1, 0, 0, 0], [0, 0, 0]]",149.9323974080396,6,(Constant-x[0]-(x[0]*x[0])**Constant) * (x[1]**Constant) * (x[2]),(0.21102106076274307-x[0]-(x[0]*x[0])**0.4036507899673243) * (x[1]**0.5036774833734544) * (x[2]),157.0020190750506,{'errortest': 149.643199013915},"[1, 1, 1, 2, 3, 4, 3]"
"[[0], [1], [3, 2], [1], [0, 1], [0, 0, 0], [0, 0, 0]]",207.93344850901659,6,(x[0]+((x[0]-x[0])**Constant)) * (x[1]**Constant) * (x[2]),(x[0]+((x[0]-x[0])**0.2525904981110062)) * (x[1]**0.707999736379605) * (x[2]),219.05035956041556,{'errortest': 205.3480776249695},"[1, 1, 2, 1, 2, 3, 3]"
"[[0], [3], [], [], [], [0], [0]]",299.39851311767694,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.7423592484614132) * (x[2]),315.3014348297686,{'errortest': 295.8442820858915},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [1, 0], [1, 2, 0, 0], [0, 0, 2, 1, 1, 2], [0, 1, 0, 0, 1, 1, 1], [0, 0, 0]]",322.7342237760864,6,(((x[0]+Constant)+x[0])*x[0]-Constant-Constant*Constant) * (x[1]**Constant) * (x[2]),(((x[0]+0.0981632621880425)+x[0])*x[0]-0.07892971463749265-0.8458728506021824*0.6686877314645079) * (x[1]**0.6720451142986519) * (x[2]),344.13238574885145,{'errortest': 318.45193182678196},"[1, 1, 2, 4, 6, 7, 3]"
"[[0], [1], [0, 1], [2, 1, 0, 0], [2, 1, 1, 2, 1, 2], [0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0]]",350.1078222478771,6,(x[0]*(x[0]-x[0])-(Constant*Constant-x[0]*Constant)) * (x[1]**Constant) * (x[2]),(x[0]*(x[0]-x[0])-(0.113155004933298*0.8891309555725029-x[0]*0.4721852028737811)) * (x[1]**0.8695164251652029) * (x[2]),369.77010167106886,{'errortest': 345.04879636026726},"[1, 1, 2, 4, 6, 7, 4]"
"[[0], [0], [1, 3], [2, 1], [3, 2, 2], [1, 0, 1, 1], [0]]",376.79242201031417,6,(Constant/(x[0]*Constant))*Constant * (x[1]**Constant) * (x[2]),(0.8817741251799593/(x[0]*0.9229525345565301))*0.38672581301334275 * (x[1]**0.8702957030877234) * (x[2]),372.51790360472705,{'errortest': 379.2252998568193},"[1, 1, 2, 2, 3, 4, 1]"
"[[0], [1], [0, 1], [1, 2, 1, 1], [2, 3, 3, 1, 3, 1], [1, 0, 1, 1, 1, 1, 0], [0, 0]]",537.1127115701325,6,((Constant*x[0])/Constant/((Constant-Constant)/(Constant-x[0]))) * (x[1]**Constant) * (x[2]),((0.10348459542268318*x[0])/0.8397347048887935/((0.4523305090932862-0.33529177088685447)/(0.07447585262890222-x[0]))) * (x[1]**0.7586355368935321) * (x[2]),570.9250289777825,{'errortest': 530.9301502871813},"[1, 1, 2, 4, 6, 7, 2]"
"[[0], [0], [0, 1], [2, 2, 0, 2], [1, 3, 2, 2], [0, 1, 1, 1, 0], [0, 0]]",630.3672255481057,6,x[0]-Constant/(Constant*Constant*x[0]) * (x[1]**Constant) * (x[2]),x[0]-0.44907874730653397/(0.8606644997492872*0.2140297826786708*x[0]) * (x[1]**0.6786977912590461) * (x[2]),629.5694351299558,{'errortest': 636.0080915352414},"[1, 1, 2, 4, 4, 5, 2]"
"[[0], [3], [], [], [], [1], []]",672.1967046662922,3,Constant * (x[1]**Constant) * (x[2]),0.7777467172243352 * (x[1]**0.8628174175349606) * (x[2]),689.3979754593611,{'errortest': 671.034258402263},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [1], [3, 1], [2, 0], [0, 1, 0], [1, 1, 0, 0], [0, 0]]",801.1523856406617,6,(Constant+(Constant-x[0]+x[0])) * (x[1]**Constant) * (x[2]),(0.04432976047184034+(0.31881100030063425-x[0]+x[0])) * (x[1]**0.9700974286156345) * (x[2]),820.6432611537225,{'errortest': 799.6803508196466},"[1, 1, 2, 2, 3, 4, 2]"
