genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [3, 3], [1, 0], [2, 1, 1, 0], [1, 1, 1, 0], [0, 0, 0, 0]]",8.346046440496895,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.2310214927493962**0.3691427638949506) * (x[1]**0.6254266117119658) * (x[2]),8.195488627944068,{'errortest': 8.222222412743854}
"[[0], [3], [], [], [], [1], [0]]",9.414345438754253,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.07591378991181774 * (x[1]**0.8457033020277366) * (x[2]),9.78589581740111,{'errortest': 9.759472103216329}
"[[0], [2], [3], [], [], [0], [0]]",9.639496762670982,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.07244854144792068) * (x[1]**0.5370338850607536) * (x[2]),11.137527147017446,{'errortest': 10.497900775567684}
"[[0], [3], [1], [1, 0], [1, 3, 0], [1, 1, 1, 0], []]",11.913772876652926,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7925097688952296 * (x[1]**0.5952085120844699) * (x[2]),11.56874262485137,{'errortest': 11.656663624915751}
"[[0], [2], [3], [], [], [0], [0]]",15.024849541813042,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.5192028824794274) * (x[1]**0.5505345822576726) * (x[2]),15.836982371715425,{'errortest': 15.761575972175358}
"[[0], [2], [3], [], [], [0], [0]]",16.047943167860005,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.13949156629270598) * (x[1]**0.5216961606101765) * (x[2]),17.635180273875925,{'errortest': 16.8998616204332}
"[[0], [0], [0, 0], [2, 0, 0, 2], [3, 1, 2, 2, 0], [1, 1, 1, 1, 0, 1], [0]]",17.3714511905396,"[1, 1, 2, 4, 5, 6, 1]",6,Constant/Constant-Constant*Constant*x[0]+Constant * (x[1]**Constant) * (x[2]),0.5100858811784942/0.7794484284862818-0.5987538028214624*0.5710152214864012*x[0]+0.8807557498112509 * (x[1]**0.5303893966135131) * (x[2]),19.190431342401997,{'errortest': 18.072301672553102}
"[[0], [2], [3], [], [], [0], [0]]",17.409113010491396,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.6559959952356059) * (x[1]**0.5362284235044984) * (x[2]),18.176378706703524,{'errortest': 18.466490141563863}
"[[0], [2], [3], [1, 0], [], [1, 0, 0, 0], [0]]",18.015757792654806,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.25025290546651446**0.17826622292847072) * (x[1]**0.5435782636009435) * (x[2]),19.823443421776005,{'errortest': 18.7117806773626}
"[[0], [2], [3, 3], [2, 0, 0, 2], [2, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]",18.868126753764468,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.04432171593440526) * (x[1]**0.5129295701304687) * (x[2]),20.65873066186529,{'errortest': 19.605447021954856}
"[[0], [3], [3, 3], [], [], [1, 1], [0, 0, 0, 0]]",21.671212902681024,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8856659907150152 * (x[1]**0.51928931408071) * (x[2]),23.569146106724673,{'errortest': 22.347950052153294}
"[[0], [3], [], [], [], [0], [0]]",21.853527990797712,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.533521922220466) * (x[2]),22.34828618256795,{'errortest': 22.96995330821995}
"[[0], [3], [], [], [], [0], [0]]",23.664734210515995,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5177602757234546) * (x[2]),24.207244464613712,{'errortest': 24.894741089838504}
"[[0], [3], [], [], [], [1], [0]]",29.055531205112057,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.47173104033383095 * (x[1]**0.5720884093059984) * (x[2]),31.05301360962874,{'errortest': 29.6854879847228}
"[[0], [0], [3, 2], [1], [2, 0, 3, 2], [0, 0, 0], [0, 0, 0]]",37.751112515070126,"[1, 1, 2, 1, 2, 3, 3]",6,x[0]*((x[0]+x[0])**Constant) * (x[1]**Constant) * (x[2]),x[0]*((x[0]+x[0])**0.11091810089113308) * (x[1]**0.4479323996307888) * (x[2]),39.01151298754106,{'errortest': 38.78391259275093}
"[[0], [3], [], [0, 2], [], [0], [0]]",49.10699094837036,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.39399861307345585) * (x[2]),51.09267676468314,{'errortest': 49.89984247048946}
"[[0], [2], [3], [], [], [1, 0, 0, 0], [0]]",53.44616456982536,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.016382698062609835**0.015071504822901427) * (x[1]**0.3654551341347365) * (x[2]),56.06660804024552,{'errortest': 54.02262791101404}
"[[0], [1], [0, 1], [0, 1, 2, 2], [0, 2, 1, 3, 1], [1, 0, 1, 1, 0, 1], [0, 0]]",53.862151892957975,"[1, 1, 2, 4, 5, 6, 2]",6,(Constant+x[0]*(Constant-Constant)/(x[0]-Constant)) * (x[1]**Constant) * (x[2]),(0.10199295215429516+x[0]*(0.14148666118333464-0.11027679607831331)/(x[0]-0.5809173571079549)) * (x[1]**0.49371859968121534) * (x[2]),58.46500552544499,{'errortest': 53.88939923884988}
"[[0], [2], [1, 0], [2, 0], [2, 2], [0, 1, 0], [0, 0]]",56.03291504228673,"[1, 1, 1, 2, 2, 3, 2]",6,((x[0]*Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),((x[0]*0.9672085991652009*x[0])**0.9712132918955185) * (x[1]**0.3290998061463264) * (x[2]),58.14064953270227,{'errortest': 56.79941164717585}
"[[0], [0], [3, 0], [1, 1], [3, 0, 2, 2, 0], [0, 0, 0, 1, 1], [0, 0, 0]]",58.91076082474738,"[1, 1, 2, 2, 4, 5, 3]",6,x[0]/(x[0]+x[0])*(Constant*Constant) * (x[1]**Constant) * (x[2]),x[0]/(x[0]+x[0])*(0.30285858999319015*0.6820051211465256) * (x[1]**0.5640136555734165) * (x[2]),61.58056997784936,{'errortest': 59.4695648075745}
"[[0], [0], [0, 0], [2, 0, 0, 2], [3, 1, 2, 2, 0], [1, 1, 0, 0, 1, 1], [0, 0, 0, 0]]",58.93567026407435,"[1, 1, 2, 4, 5, 6, 2]",6,Constant/Constant-x[0]*x[0]*Constant+Constant * (x[1]**Constant) * (x[2]),0.2544691646466486/0.033044602228049946-x[0]*x[0]*0.2376601342994289+0.8266939806246675 * (x[1]**0.031394909609885446) * (x[2]),61.77370003523395,{'errortest': 59.50274924711399}
"[[0], [3], [3], [], [], [0], [0, 0, 0, 0]]",61.376439776732504,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.24809045541815344) * (x[2]),63.995066784239114,{'errortest': 61.988838235575}
"[[0], [0], [0, 0], [2, 0, 0, 2], [3, 1, 0, 2, 0], [1, 1, 0, 1, 0, 1], [0, 0]]",62.74530629867316,"[1, 1, 2, 4, 5, 6, 2]",6,Constant/Constant-x[0]+Constant*x[0]+Constant * (x[1]**Constant) * (x[2]),0.993810746833632/0.7136560175985276-x[0]+0.7517418473823805*x[0]+0.35756940502490264 * (x[1]**0.2956282646599674) * (x[2]),65.55751079533287,{'errortest': 63.29952256018393}
"[[0], [3], [], [], [], [0], [0]]",62.839150274922225,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.20877215294879325) * (x[2]),65.5277550986492,{'errortest': 63.43234124015045}
"[[0], [2], [3], [], [], [0], [0]]",62.86973817214272,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.4235104001458396) * (x[1]**0.20916153099522838) * (x[2]),65.6238861661897,{'errortest': 63.44272780375524}
"[[0], [2], [2], [0], [2, 1, 1, 0], [1, 1, 1, 0], [0]]",63.152021814500635,"[1, 1, 1, 1, 1, 2, 0]",5,((Constant*Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.6030599074909805*0.7609089823887875**0.13833934064868958)**0.08639701503060582) * (x[1]**0.20388947315247352) * (x[2]),65.96235574544974,{'errortest': 63.7074490157726}
"[[0], [3], [], [], [], [1], [0]]",63.97896046339057,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.01399147363335218 * (x[1]**0.6737877579375724) * (x[2]),66.75966393098753,{'errortest': 64.52891744479301}
"[[0], [3], [1], [], [], [0], [0]]",64.68684900440255,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.128149205102721) * (x[2]),67.4600731857893,{'errortest': 65.25655976223585}
"[[0], [3], [3], [], [], [0, 0], [0, 0]]",64.89293148020903,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.11459714096526352) * (x[2]),67.67519741180394,{'errortest': 65.46008649538219}
"[[0], [3], [3, 3], [], [], [0, 0, 0, 0], [0]]",65.06564519561142,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.10192837284880596) * (x[2]),67.85540155482322,{'errortest': 65.6306698631516}
"[[0], [0], [3, 0], [0, 1], [3, 0, 2, 2, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0]]",65.21266518902205,"[1, 1, 2, 2, 4, 5, 4]",6,x[0]/x[0]+x[0]*(x[0]*Constant) * (x[1]**Constant) * (x[2]),x[0]/x[0]+x[0]*(x[0]*0.5934476709469126) * (x[1]**0.00966277014233774) * (x[2]),68.03279030449836,{'errortest': 65.77014772789634}
"[[0], [3], [], [], [], [0], [0]]",65.40562127754737,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.0722436816739993) * (x[2]),68.20984738516358,{'errortest': 65.96648632609498}
"[[0], [0], [1, 2], [2, 2, 0], [3, 1, 2], [1, 1, 1, 1], [0]]",65.43018252767861,"[1, 1, 2, 3, 3, 4, 0]",5,(Constant/Constant)-(Constant*Constant**Constant) * (x[1]**Constant) * (x[2]),(0.4299308417748885/0.30901717781059346)-(0.07989872155321875*0.4083822228430033**0.8755261699557878) * (x[1]**0.19285606472152417) * (x[2]),68.27717634863815,{'errortest': 65.98033014115215}
"[[0], [3], [], [], [], [1, 0, 1, 0, 1], [0]]",65.64629379598236,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9041553653924435 * (x[1]**0.057701687196412554) * (x[2]),68.49073758489034,{'errortest': 66.19570704839887}
"[[0], [3], [], [], [], [0], [0]]",65.8245231997909,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.02134330390844308) * (x[2]),68.64592254843551,{'errortest': 66.38033589619992}
