genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [1], [1, 0], [3, 1, 0, 1], [0, 1, 0, 1, 2, 0], [3, 3, 0, 3, 2, 0, 0, 0, 2, 3, 0], [0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1], [0, 1, 0, 0]]",2.143177778080884,7,((x[0]/(x[1]/Constant+(x[0]/x[0])))*Constant+Constant+(Constant+Constant)*(Constant/Constant+Constant)),((x[0]/(x[1]/0.3426187085790048+(x[0]/x[0])))*0.8493364360009937+0.8577696576075661+(0.8869709861004954+0.786845472594196)*(0.06940550390301714/0.8666181478613317+0.88087000791235)),2.199630703104336,{'errortest': 2.3800536965599695},"[1, 1, 2, 4, 6, 11, 12, 4]"
"[[0], [2], [1], [2, 3], [2], [3], [1, 1], []]",2.1847356779196754,6,(((Constant**Constant)/Constant)**Constant),(((0.6139581649050164**0.9414078607066818)/0.24316806745136488)**0.9146043775858517),2.238161511354999,{'errortest': 2.4200909198028455},"[1, 1, 1, 2, 1, 1, 2, 0]"
"[[0], [0], [2, 3], [2], [2], [2], [0, 1], [1]]",2.4784344903763595,7,((x[1]**Constant)**Constant)*Constant,((x[1]**0.6267030839657844)**0.5419528097648514)*0.12763570769832244,2.4811476958380134,{'errortest': 2.7007546583831123},"[1, 1, 2, 1, 1, 1, 2, 1]"
"[[0], [0], [2, 0], [0, 1, 3], [0, 2, 2, 2], [3, 0, 0, 3, 2], [1, 1, 1, 0, 1, 0], [0, 0]]",2.6086309849411244,7,(Constant/Constant+Constant**Constant)+(x[0]/Constant)*x[0],(0.18514537163024714/0.35407921243982055+0.11228593910461215**0.06811302612143355)+(x[0]/0.5899615183761139)*x[0],2.6478497011576527,{'errortest': 2.8319647625831212},"[1, 1, 2, 3, 4, 5, 6, 2]"
"[[0], [0], [2, 1], [0, 1, 2], [1, 0, 1, 2, 0], [0, 0, 1, 0, 0, 1, 3, 0], [0, 1, 1, 1, 1, 0, 0, 1, 1], [0, 0, 0]]",2.8775432265905176,7,((x[0]+Constant)+Constant-Constant**Constant)+(((Constant+x[0])-x[0])/(Constant+Constant**Constant)),((x[0]+0.20068588190322978)+0.9659212528661041-0.4434469966055379**0.19556107836889292)+(((0.5125044243713743+x[0])-x[0])/(0.7297564979609014+0.41401250221261743**0.134384063909195)),2.8774548244810045,{'errortest': 3.098617471406097},"[1, 1, 2, 3, 5, 8, 9, 3]"
"[[0], [2], [2], [0], [0, 0], [0, 3, 0], [1, 1, 0, 1], [1]]",2.897049481813813,7,((Constant+Constant/x[1]+Constant**Constant)**Constant),((0.7642492667912686+0.25477202004503796/x[1]+0.8124745548397422**0.848427428737491)**0.6921162919275136),2.9162538165521585,{'errortest': 3.10646277772788},"[1, 1, 1, 1, 2, 3, 4, 1]"
"[[0], [2], [1], [1, 3], [2, 2], [1, 0], [1, 1, 0], [0]]",2.9153605718759845,6,(((Constant-Constant)+x[0])**Constant),(((0.7651717048989595-0.009845896882591854)+x[0])**0.7128331301554134),2.920872925173403,{'errortest': 3.1314101823106064},"[1, 1, 1, 2, 2, 2, 3, 1]"
"[[0], [2], [1], [3, 1], [2, 1], [0, 0, 2], [1, 1, 1, 1], []]",3.0431857801713647,6,((Constant+(Constant+(Constant*Constant)))**Constant),((0.8912532225691976+(0.5088952869188006+(0.3256046968660633*0.655099279577194)))**0.38892357832007673),3.057802206423781,{'errortest': 3.2479892190539075},"[1, 1, 1, 2, 2, 3, 4, 0]"
"[[0], [1], [3, 1], [0, 0], [1, 1, 0, 0], [3, 3, 1, 1, 3, 1, 2, 0], [0, 1, 0, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0, 0]]",3.1662475273834416,7,(x[0]/((Constant/x[1])-(Constant-Constant)/x[1]-x[0]*Constant+x[0])),(x[0]/((0.4966361180098565/x[1])-(0.039223114264086756-0.4228145163472191)/x[1]-x[0]*0.052516372295508984+x[0])),3.177357039467711,{'errortest': 3.3673980730484474},"[1, 1, 2, 2, 4, 8, 9, 5]"
"[[0], [2], [2], [3], [], [], [0], [0]]",3.2144424811040326,6,((x[0]**Constant)**Constant),((x[0]**0.16820639049331043)**0.06911999228759724),3.2239992806796,{'errortest': 3.4143938319277187},"[1, 1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [3], [], [], [], [1], []]",3.2399601566175322,4,(Constant**Constant),(0.13599515256276318**0.016989890844405275),3.249171956407065,{'errortest': 3.438996392377904},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [1], []]",3.2486666406990845,4,(Constant**Constant),(0.8704963984256149**0.32218240005211285),3.2576570486248175,{'errortest': 3.4474589208900124},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2], [2], [2], [], [1], []]",3.2632059954245305,6,(((Constant**Constant)**Constant)**Constant),(((0.0385910090634658**0.18455527704364583)**0.116012462984319)**0.9030989644096161),3.2718297714495397,{'errortest': 3.4615929400000076},"[1, 1, 1, 1, 1, 0, 1, 0]"
"[[0], [2], [0], [2, 2], [1, 0], [2, 3, 2], [1, 1, 1, 1], []]",3.2698324950481794,6,(((Constant*Constant)**Constant)/(Constant*Constant**Constant)**Constant),(((0.8338515117199596*0.7132104410396052)**0.37967333322425045)/(0.6381329012128918*0.3730679129138488**0.6704792815215966)**0.11344405685946268),3.2782904382074114,{'errortest': 3.468035552514586},"[1, 1, 1, 2, 2, 3, 4, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.287310233359272,3,Constant,0.9104048572795639,3.295334528262179,{'errortest': 3.485030817148058},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [1], [0, 2], [0, 3, 2], [2, 2, 1], [3, 3, 0, 2], [1, 0, 1, 1, 1], [1]]",3.325331966996372,7,(Constant/x[1]/Constant+(((Constant*Constant)**Constant)**Constant)),(0.17576239356001833/x[1]/0.7740605248496988+(((0.42786487870039747*0.8552151034500999)**0.2725787504290621)**0.5276017682610307)),3.332434678622268,{'errortest': 3.522015080098932},"[1, 1, 2, 3, 3, 4, 5, 1]"
"[[0], [2], [3], [], [], [], [0], [0]]",3.3504772664956013,5,(x[0]**Constant),(x[0]**0.9537410818862925),3.333113761939771,{'errortest': 3.557397351145103},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",3.3547616780833374,4,x[0],x[0],3.336237447989723,{'errortest': 3.5619261283956742},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",3.3547616780833374,4,x[0],x[0],3.336237447989723,{'errortest': 3.5619261283956742},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",3.3547616780833374,4,x[0],x[0],3.336237447989723,{'errortest': 3.5619261283956742},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [0]]",3.3547616780833374,4,x[0],x[0],3.336237447989723,{'errortest': 3.5619261283956742},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [2], [3], [], [], [], [1], []]",3.415098742825788,4,(Constant**Constant),(0.6575877761692277**0.6542961979243921),3.4201087419187064,{'errortest': 3.609400991190331},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.421305018485521,3,Constant,0.7528858329857142,3.4261752603522333,{'errortest': 3.6154460284814567},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [1], []]",3.4247273966998293,4,(Constant**Constant),(0.24906999359748883**0.20802478378997868),3.4295208216651267,{'errortest': 3.6187796788581252},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [0], [2, 3], [1], [0, 2], [1, 1, 1], []]",3.4633424486949402,6,(((Constant+Constant)**Constant)*Constant**Constant),(((0.035212239912201126+0.7374978985686903)**0.15153849520336227)*0.39004838148598087**0.3313750884821671),3.467281283025092,{'errortest': 3.6564026544900137},"[1, 1, 1, 2, 1, 2, 3, 0]"
"[[0], [2], [0], [0, 3], [0, 0], [3, 2, 3, 1], [0, 1, 1, 1, 1], [0]]",3.4886891820507384,7,(x[0]/Constant*Constant/Constant-Constant**Constant),(x[0]/0.8203969682335535*0.5952973471762752/0.4043749125828391-0.6594166924497231**0.5235259496933061),3.447765599130233,{'errortest': 3.7004065583316925},"[1, 1, 1, 2, 2, 4, 5, 1]"
"[[0], [2], [3], [], [], [], [1], []]",3.4999443960876286,4,(Constant**Constant),(0.5868691537663815**0.7753974228432493),3.503093244523154,{'errortest': 3.69207939137861},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.507388732894578,3,Constant,0.6528821706874987,3.5103792315229576,{'errortest': 3.699337331801669},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.5099267599705155,3,Constant,0.6499466907945446,3.512863448452266,{'errortest': 3.7018119463763424},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [1], []]",3.5134552905201266,4,(Constant**Constant),(0.576343751407343**0.793324043399301),3.5163173172365743,{'errortest': 3.705252431673898},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [3], [], [], [], [1], []]",3.5258688009107737,4,(Constant**Constant),(0.3448585269372728**0.4317204366146514),3.528469530027267,{'errortest': 3.717357254590618},"[1, 1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [3, 3], [], [], [0], [1, 1], []]",3.532916501599888,4,Constant+Constant,0.03220896973969356+0.5911801744460168,3.53536981965855,{'errortest': 3.7242304309120873},"[1, 1, 2, 0, 0, 1, 2, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.5720585374620293,3,Constant,0.578303519052752,3.5737052972504126,{'errortest': 3.7624127219086922},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [1], [3, 3], [], [], [3], [1, 1], []]",3.5756611096552353,4,(Constant/Constant),(0.1340316679572886/0.2334387664712847),3.577234652700475,{'errortest': 3.76592776633288},"[1, 1, 2, 0, 0, 1, 2, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.6207931237801887,3,Constant,0.5223899715128716,3.6214635545529754,{'errortest': 3.809974588846938},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.624296090171236,3,Constant,0.5183801317525921,3.6248975009401883,{'errortest': 3.8133941966941705},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.675716967502358,3,Constant,0.4596546062832306,3.6753224936317035,{'errortest': 3.863605598099189},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [2], [0], [3, 2], [1], [3, 1], [1, 0, 1], [0]]",3.709110515083738,7,(Constant/((x[0]-Constant)**Constant)**Constant),(0.4137999946915484/((x[0]-0.14063045493889226)**0.3676853649166656)**0.11923193335319893),3.7087382429688023,{'errortest': 3.8958256835893503},"[1, 1, 1, 2, 1, 2, 3, 1]"
"[[0], [3], [], [], [], [], [1], []]",3.7771657843895188,3,Constant,0.3445006371905238,3.774896880503275,{'errortest': 3.9627438699598554},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [0], [0, 2], [0, 3, 0], [2, 2, 0, 0], [3, 0, 3, 1, 2, 2], [1, 1, 0, 1, 1, 1, 1], [0]]",3.8503424559030797,6,Constant/Constant+x[0]/(Constant-Constant*Constant*Constant**Constant),0.29320145124521413/0.05309585264674477+x[0]/(0.8271020455406585-0.5517489767526242*0.2844162908263723*0.10325790080129094**0.23374140365627705),3.991968702872868,{'errortest': 3.9043520325201286},"[1, 1, 2, 3, 4, 6, 7, 1]"
"[[0], [3], [], [], [], [], [1], []]",3.8671492454007628,3,Constant,0.24308262342401843,3.863310922358259,{'errortest': 4.05075834424152},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.9313555990520643,3,Constant,0.17109805509169906,3.9264470261860156,{'errortest': 4.113603883103754},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [1], [1, 0], [2, 1, 3, 0], [1, 1, 1, 1, 0], [0, 1, 3, 2, 1, 0, 2, 1, 2, 3], [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1], [0, 0]]",3.9776241499083964,7,((((Constant+Constant)**Constant)-((Constant/Constant)*(Constant-Constant)))+Constant*(Constant-x[0])*x[0]/Constant),((((0.7939936247451379+0.37358738858914764)**0.5481659222189151)-((0.6944950089350828/0.6802545301474107)*(0.7428336252474925-0.1738333577854303)))+0.37201911338776095*(0.7006915817363714-x[0])*x[0]/0.2726479567820501),4.018925913427435,{'errortest': 4.1434484449513445},"[1, 1, 2, 4, 5, 10, 11, 2]"
"[[0], [2], [1], [3, 2], [1], [2, 3], [1, 1, 0], [0]]",3.99039779493948,7,((Constant*((Constant/x[0])**Constant))**Constant),((0.1029822907328305*((0.057731467436081374/x[0])**0.4579841806614877))**0.6473119896446567),3.9854887497790625,{'errortest': 4.1709073322310175},"[1, 1, 1, 2, 1, 2, 3, 1]"
