genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [1], [2, 3], [2], [2], [0], [1, 1], []]",0.10720341218051185,6,(((Constant**Constant)**Constant)+Constant),(((0.8960860897882686**0.8902870905128574)**0.957266821652481)+0.8015704315665275),0.11064388646723598,{'errortest': 0.11814142610301655},"[1, 1, 2, 1, 1, 1, 2, 0]"
"[[0], [1], [2, 3], [1], [2, 1], [3, 3, 0], [1, 1, 0, 1], [0]]",0.1656633289961199,7,(((Constant/(Constant/x[0]))**Constant)+Constant),(((0.04365277193153971/(0.3505460440542981/x[0]))**0.06565153818335567)+0.9354252669304637),0.15478269201967454,{'errortest': 0.17891150325204652},"[1, 1, 2, 1, 2, 3, 4, 1]"
"[[0], [2], [2], [2], [2], [], [0], [1]]",0.19432300693127533,7,(((x[1]**Constant)**Constant)**Constant),(((x[1]**0.8553956600996191)**0.527703936034874)**0.1593921810083343),0.18426982681100765,{'errortest': 0.20548455272721794},"[1, 1, 1, 1, 1, 0, 1, 1]"
"[[0], [2], [1], [1, 0], [0, 0, 2, 0], [0, 3, 0, 1, 0, 0], [0, 0, 1, 1, 0, 0, 1], [0, 0, 1, 1]]",0.19626646737129175,7,(((x[0]+x[0]/Constant+Constant)-x[1]+x[1]+Constant)**Constant),(((x[0]+x[0]/0.6298853818992783+0.48447818495674244)-x[1]+x[1]+0.5191712170842265)**0.43316383438639716),0.1856351266010393,{'errortest': 0.21210092290298255},"[1, 1, 1, 2, 4, 6, 7, 4]"
"[[0], [0], [3, 3], [], [], [0], [1, 1], []]",0.20222413403221184,4,Constant+Constant,0.832339456907614+0.6856926804630581,0.2226145724040756,{'errortest': 0.19935122746267267},"[1, 1, 2, 0, 0, 1, 2, 0]"
"[[0], [2], [1], [3, 0], [2, 2], [0, 1], [0, 1, 1], [0]]",0.22870020533589117,6,((x[0]+Constant-Constant)**Constant),((x[0]+0.8428278560264153-0.06859112494262298)**0.9206269585798519),0.21774972449399793,{'errortest': 0.24620780324006383},"[1, 1, 1, 2, 2, 2, 3, 1]"
"[[0], [0], [3, 3], [], [], [0], [1, 1], []]",0.29126302464572634,4,Constant+Constant,0.9754185891601382+0.9870872309575476,0.2745763295282737,{'errortest': 0.30324795594670495},"[1, 1, 2, 0, 0, 1, 2, 0]"
"[[0], [0], [2, 0], [0, 0, 3], [2, 1, 2, 0], [0, 3, 0, 0, 1, 0], [1, 1, 0, 1, 1, 1, 1], [1]]",0.30224190156353214,7,(Constant+(Constant/x[1])**Constant)+Constant+Constant-Constant+Constant,(0.4867479005326194+(0.7061753876092433/x[1])**0.993740755313329)+0.5192247498431418+0.1724739246915311-0.3004760820045487+0.5291592811065147,0.32326740982787167,{'errortest': 0.2968767229078435},"[1, 1, 2, 3, 4, 6, 7, 1]"
"[[0], [0], [2, 3], [3], [], [3], [1, 1], []]",0.36882923308919013,5,(Constant**Constant)/Constant,(0.36918985218779354**0.8903743051257951)/0.2014303321078137,0.35108022354763435,{'errortest': 0.3803754939349314},"[1, 1, 2, 1, 0, 1, 2, 0]"
"[[0], [1], [1, 3], [0, 2], [2, 2, 0], [0, 1, 1, 2], [0, 0, 0, 1, 0], [0, 1, 1, 0]]",0.45319156335515903,7,((x[0]+x[1]-(x[1]-Constant**Constant))*x[0]),((x[0]+x[1]-(x[1]-0.4091177862801644**0.7668261527883642))*x[0]),0.440352366106285,{'errortest': 0.47717876920686236},"[1, 1, 2, 2, 3, 4, 5, 4]"
