genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [3, 3], [], [3], [0, 0], [0, 0]]",5.971621438318364,5,x[0]/x[0] * (x[1]**Constant) * (x[2]),x[0]/x[0] * (x[1]**0.5462494753312179) * (x[2]),7.228529549813461,{'errortest': 6.694887711083601},"[1, 1, 2, 0, 1, 2, 2]"
"[[0], [1], [3, 2], [1], [2, 1], [1, 1, 1], []]",10.616851358364082,5,(Constant*((Constant-Constant)**Constant)) * (x[1]**Constant) * (x[2]),(0.4169069742410102*((0.8603480014982757-0.2295754580894469)**0.5345476101995328)) * (x[1]**0.6644710184226021) * (x[2]),12.116555967735826,{'errortest': 11.32055709225463},"[1, 1, 2, 1, 2, 3, 0]"
"[[0], [1], [0, 1], [0, 2, 1, 2], [2, 0, 2, 0, 3], [1, 1, 0, 0, 1, 0], [0, 0, 0]]",15.655580072464934,6,(Constant*Constant+x[0]*((x[0]+Constant)/x[0])) * (x[1]**Constant) * (x[2]),(0.8742514062970106*0.09714290481290866+x[0]*((x[0]+0.6014133376400984)/x[0])) * (x[1]**0.48185978050718825) * (x[2]),16.446167113714182,{'errortest': 16.606160455848524},"[1, 1, 2, 4, 5, 6, 3]"
"[[0], [2], [1], [2, 0], [2, 3], [1, 0, 0], [0, 0]]",18.544019197528005,6,((Constant*x[0]/x[0])**Constant) * (x[1]**Constant) * (x[2]),((0.681409451191855*x[0]/x[0])**0.8632991154387382) * (x[1]**0.6172959208358826) * (x[2]),18.179311447512095,{'errortest': 18.142092880317175},"[1, 1, 1, 2, 2, 3, 2]"
"[[0], [1], [2, 2], [2, 2], [3], [0, 1], [0]]",20.957817551740877,6,((x[0]**Constant)/(Constant**Constant)) * (x[1]**Constant) * (x[2]),((x[0]**0.12254206269546142)/(0.8004484281185229**0.6631376907454626)) * (x[1]**0.49101804125245174) * (x[2]),22.70535887889821,{'errortest': 21.746097916638092},"[1, 1, 2, 2, 1, 2, 1]"
"[[0], [1], [1, 3], [0, 0], [3, 0, 1, 2], [0, 1, 0, 0, 1], [0, 0, 0]]",21.75384298417435,6,((x[0]/Constant+x[0]-x[0])*Constant) * (x[1]**Constant) * (x[2]),((x[0]/0.48311513485727875+x[0]-x[0])*0.16016192429831289) * (x[1]**0.6660117039831639) * (x[2]),22.151714358979397,{'errortest': 22.712351688279544},"[1, 1, 2, 2, 4, 5, 3]"
"[[0], [3], [], [], [], [0], [0]]",22.174465393214017,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5285815335598032) * (x[2]),22.661621008947954,{'errortest': 23.348530374276837},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [1], [2, 0], [0, 1], [1, 0, 0], [0, 0]]",22.72843985940947,6,((Constant+x[0]-x[0])**Constant) * (x[1]**Constant) * (x[2]),((0.5632815498700455+x[0]-x[0])**0.7358528836438357) * (x[1]**0.5518806029044155) * (x[2]),24.61744697528199,{'errortest': 23.391542732244364},"[1, 1, 1, 2, 2, 3, 2]"
"[[0], [2], [3], [], [], [0], [0]]",23.36450751364623,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.5060575721109136) * (x[1]**0.5068840960502358) * (x[2]),24.62097494479884,{'errortest': 24.379905476936454},"[1, 1, 1, 0, 0, 1, 1]"
"[[0], [2], [2], [0], [3], [0, 0], [0, 0]]",24.09914172067062,6,((x[0]/x[0]**Constant)**Constant) * (x[1]**Constant) * (x[2]),((x[0]/x[0]**0.44426076401817605)**0.23294585215175379) * (x[1]**0.5847203167696098) * (x[2]),24.252653209339954,{'errortest': 23.697858988199517},"[1, 1, 1, 1, 1, 2, 2]"
"[[0], [0], [2, 3], [2], [0], [0, 0], [0, 0]]",25.93457588786935,6,(x[0]**Constant)+x[0] * (x[1]**Constant) * (x[2]),(x[0]**0.4431363591671944)+x[0] * (x[1]**0.5590947734731755) * (x[2]),26.929499908609607,{'errortest': 26.391395083671892},"[1, 1, 2, 1, 1, 2, 2]"
"[[0], [3], [], [], [], [1], []]",28.40742723081991,3,Constant * (x[1]**Constant) * (x[2]),0.41941833570550247 * (x[1]**0.6940188333160563) * (x[2]),28.241260024983415,{'errortest': 27.90383544322991},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [1, 3], [0, 0], [3, 3, 3, 0], [1, 0, 0, 1, 0], [0, 0, 0]]",28.478939763189363,6,(Constant/x[0]/x[0]/Constant)+x[0] * (x[1]**Constant) * (x[2]),(0.7746484590586948/x[0]/x[0]/0.6450056007446656)+x[0] * (x[1]**0.5676865909229327) * (x[2]),29.745754630296194,{'errortest': 28.61403585514154},"[1, 1, 2, 2, 4, 5, 3]"
"[[0], [1], [1, 2], [2, 2, 1], [0, 0, 0], [1, 0, 0, 1], [0, 0]]",29.425738807383354,6,((Constant+x[0])+((x[0]+Constant)**Constant)) * (x[1]**Constant) * (x[2]),((0.19218501039694613+x[0])+((x[0]+0.11026653102031558)**0.6002226079213763)) * (x[1]**0.3917800738515713) * (x[2]),30.76867576406466,{'errortest': 30.462980253375413},"[1, 1, 2, 3, 3, 4, 2]"
"[[0], [1], [3, 3], [], [0], [1, 0], [0]]",32.332979544764925,5,(Constant+x[0]) * (x[1]**Constant) * (x[2]),(0.5531555835925116+x[0]) * (x[1]**0.5333211182114848) * (x[2]),33.69120881566954,{'errortest': 32.081695209627874},"[1, 1, 2, 0, 1, 2, 1]"
"[[0], [0], [2, 0], [1, 0, 2], [3, 3, 0, 2], [1, 1, 1, 1, 0], [0]]",37.28347676829687,6,((Constant/Constant)**Constant)/Constant+Constant*x[0] * (x[1]**Constant) * (x[2]),((0.637660381441511/0.6319210635130638)**0.11623236779120871)/0.11613073917813865+0.5987155429228924*x[0] * (x[1]**0.4810002620687842) * (x[2]),39.005958217036735,{'errortest': 38.20830031879144},"[1, 1, 2, 3, 4, 5, 1]"
"[[0], [3], [], [], [], [0], [0]]",44.7593047512584,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.421411354157306) * (x[2]),46.50819687863824,{'errortest': 45.62514175880374},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [1, 1], [2, 0, 2, 2], [0, 1, 3, 2], [1, 0, 0, 1, 1], [0, 0]]",46.88760699048811,6,(Constant+x[0]-x[0])/(Constant*Constant) * (x[1]**Constant) * (x[2]),(0.5553229060122682+x[0]-x[0])/(0.8457262249644324*0.5681608500795494) * (x[1]**0.3891619094871438) * (x[2]),49.378218696045636,{'errortest': 47.480452402803195},"[1, 1, 2, 4, 4, 5, 2]"
"[[0], [3], [], [], [], [1], []]",48.347546406983845,3,Constant * (x[1]**Constant) * (x[2]),0.5315703960358596 * (x[1]**0.47218341374596773) * (x[2]),50.820168567937785,{'errortest': 48.93120432891361},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [2, 2], [2, 2], [3], [1, 0], [0]]",52.41936965988709,6,(Constant**Constant)/(x[0]**Constant) * (x[1]**Constant) * (x[2]),(0.8784345710068776**0.38402409855418107)/(x[0]**0.8629665407324288) * (x[1]**0.6043224334096648) * (x[2]),49.37858230042426,{'errortest': 52.46400088231765},"[1, 1, 2, 2, 1, 2, 1]"
"[[0], [2], [0], [2, 1], [2, 0], [1, 0, 1], [0]]",54.29107265720192,6,(Constant*(x[0]+Constant)**Constant) * (x[1]**Constant) * (x[2]),(0.8616602285603008*(x[0]+0.3392283277079914)**0.9397316705794704) * (x[1]**0.33588919334137624) * (x[2]),56.6731973625904,{'errortest': 54.96268258088498},"[1, 1, 1, 2, 2, 3, 1]"
"[[0], [0], [1, 1], [2, 2, 2, 0], [2, 1, 2, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0]]",55.195132195339625,6,(x[0]*x[0])-(x[0]*Constant-x[0]) * (x[1]**Constant) * (x[2]),(x[0]*x[0])-(x[0]*0.656725900507988-x[0]) * (x[1]**0.45817461723690145) * (x[2]),57.456298697330254,{'errortest': 55.90069334105407},"[1, 1, 2, 4, 4, 5, 4]"
"[[0], [0], [1, 0], [0, 0, 2, 2], [3, 0, 3, 3, 3], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",55.93773616313046,6,(x[0]/x[0]+x[0]/x[0])/x[0]/x[0] * (x[1]**Constant) * (x[2]),(x[0]/x[0]+x[0]/x[0])/x[0]/x[0] * (x[1]**0.21244522901315477) * (x[2]),59.24922269079049,{'errortest': 56.29680865020538},"[1, 1, 2, 4, 5, 6, 6]"
"[[0], [2], [3], [], [], [0], [0]]",59.240847201655846,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.13638288149545086) * (x[1]**0.28950716925420616) * (x[2]),61.948985777508064,{'errortest': 59.816771647415514},"[1, 1, 1, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [1], []]",59.41806451584505,3,Constant * (x[1]**Constant) * (x[2]),0.8492628582757502 * (x[1]**0.30535601283720337) * (x[2]),62.15772911470877,{'errortest': 59.98144107799699},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [1], [2, 1], [0, 3], [1, 1, 0], [0]]",59.54579278062468,6,((Constant+(Constant/x[0]))**Constant) * (x[1]**Constant) * (x[2]),((0.8736926577691618+(0.007006832859853707/x[0]))**0.15249013074234408) * (x[1]**0.2860021534883649) * (x[2]),62.29278374167124,{'errortest': 60.10913185616714},"[1, 1, 1, 2, 2, 3, 1]"
"[[0], [1], [3, 3], [], [2], [0, 0], [0, 0]]",59.80988424395534,5,(x[0]*x[0]) * (x[1]**Constant) * (x[2]),(x[0]*x[0]) * (x[1]**0.2706061449274897) * (x[2]),62.193042397649215,{'errortest': 60.49339442840623},"[1, 1, 2, 0, 1, 2, 2]"
"[[0], [2], [2], [1], [2], [0, 1], [0]]",60.66716200772844,6,(((x[0]*Constant)**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((x[0]*0.3960303408212035)**0.3738148912477779)**0.7320561156431147) * (x[1]**0.2945585511214962) * (x[2]),63.37492857281192,{'errortest': 61.24625233539328},"[1, 1, 1, 1, 1, 2, 1]"
"[[0], [3], [], [], [], [1], []]",62.05436228396912,3,Constant * (x[1]**Constant) * (x[2]),0.391074126189222 * (x[1]**0.3434233857167802) * (x[2]),64.82790749132029,{'errortest': 62.6108911881882},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [2], [2], [], [0], [0]]",62.252406508195556,6,((x[0]**Constant)**Constant) * (x[1]**Constant) * (x[2]),((x[0]**0.2986836313964165)**0.47811197215085954) * (x[1]**0.22670000270886714) * (x[2]),65.02774285378197,{'errortest': 62.81688157480072},"[1, 1, 1, 1, 0, 1, 1]"
"[[0], [1], [0, 0], [1, 1, 0, 2], [2, 2, 0, 2, 0, 0], [0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0]]",62.295934758433056,6,((x[0]*x[0])*(Constant+x[0])*Constant+x[0]+Constant) * (x[1]**Constant) * (x[2]),((x[0]*x[0])*(0.9115696233649969+x[0])*0.06511148053124904+x[0]+0.7318208540318656) * (x[1]**0.5456638139725805) * (x[2]),65.02259417661207,{'errortest': 61.53681417105856},"[1, 1, 2, 4, 6, 7, 4]"
"[[0], [1], [3, 1], [1, 2], [0, 3, 0], [1, 1, 0, 0], [0, 0]]",62.887368466301396,6,(Constant+((Constant/x[0])+x[0])) * (x[1]**Constant) * (x[2]),(0.07155299486032296+((0.32609793956913236/x[0])+x[0])) * (x[1]**0.1633087767002207) * (x[2]),65.65297181156225,{'errortest': 63.45677554974447},"[1, 1, 2, 2, 3, 4, 2]"
"[[0], [2], [3], [], [], [1], []]",63.36655005685052,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.7367193888414267**0.3103553661780811) * (x[1]**0.20196482918430425) * (x[2]),66.17955232041969,{'errortest': 63.921436443607945},"[1, 1, 1, 0, 0, 1, 0]"
"[[0], [1], [0, 3], [2, 2], [2, 3], [1, 1, 1], []]",63.54358362195202,5,(Constant*Constant/Constant) * (x[1]**Constant) * (x[2]),(0.7387569592320538*0.5075133504348452/0.5310561058751734) * (x[1]**0.22559958454479845) * (x[2]),66.35558183588417,{'errortest': 64.09781776696526},"[1, 1, 2, 2, 2, 3, 0]"
"[[0], [3], [], [], [], [1], []]",63.735615791140155,3,Constant * (x[1]**Constant) * (x[2]),0.31651526654558393 * (x[1]**0.31382759459138043) * (x[2]),66.54005233041525,{'errortest': 64.28867241494238},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [0], [0, 1], [0, 1, 0], [1, 1, 0, 0], [0, 0]]",63.96432401005032,6,(Constant+Constant-(x[0]+x[0])**Constant) * (x[1]**Constant) * (x[2]),(0.5334195496441152+0.874828262108651-(x[0]+x[0])**0.23589876680380673) * (x[1]**0.3369573465461695) * (x[2]),66.86915195044351,{'errortest': 64.48205119318244},"[1, 1, 1, 2, 3, 4, 2]"
"[[0], [3], [], [], [], [0], [0]]",64.15773887508153,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.15722914263106513) * (x[2]),66.90731166147826,{'errortest': 64.7340744375775},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2], [1], [0], [0, 1], [0]]",64.17309258552542,6,(((x[0]+Constant)**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((x[0]+0.2838152087296151)**0.13317428425497302)**0.30242595381831205) * (x[1]**0.15532370339150814) * (x[2]),66.99734829685428,{'errortest': 64.72698084170119},"[1, 1, 1, 1, 1, 2, 1]"
"[[0], [2], [0], [1, 1], [2, 3, 2], [1, 0, 0, 1], [0, 0]]",64.46335540680613,6,((Constant*x[0])/(x[0]*Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.04764730870560152*x[0])/(x[0]*0.9288037665322566)**0.12609682780857134) * (x[1]**0.5037340683982935) * (x[2]),67.2084824086963,{'errortest': 65.03475532473327},"[1, 1, 1, 2, 3, 4, 2]"
"[[0], [3], [], [], [], [1], []]",64.89220468842429,3,Constant * (x[1]**Constant) * (x[2]),0.9240224307498963 * (x[1]**0.12406904594836898) * (x[2]),67.72791666063428,{'errortest': 65.44351513111037},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [0], [2, 3], [0], [3, 3], [1, 0, 1], [0]]",64.90872523246256,6,(Constant/x[0]**Constant)/Constant * (x[1]**Constant) * (x[2]),(0.027871772653781157/x[0]**0.3022398752331874)/0.6532818872400501 * (x[1]**0.48794312616472557) * (x[2]),67.73832682761994,{'errortest': 65.45183296164387},"[1, 1, 2, 1, 2, 3, 1]"
"[[0], [2], [2], [1], [0], [1, 1], []]",65.2321862912759,5,(((Constant+Constant)**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.6917038465095984+0.03427019636429218)**0.7206383283417143)**0.5472181929269453) * (x[1]**0.1034084752067419) * (x[2]),68.07179750307938,{'errortest': 65.78263954033218},"[1, 1, 1, 1, 1, 2, 0]"
"[[0], [3], [], [], [], [0], [0]]",65.39450091922124,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.07334013938354911) * (x[2]),68.19826028052941,{'errortest': 65.95550125931442},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [0], [0]]",65.85256871683146,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.017023503675133833) * (x[2]),68.67508409217872,{'errortest': 66.40804661177341},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [3], [], [], [1], []]",65.89242735448933,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.2112270367942154**0.7309482574710057) * (x[1]**0.1472861027400516) * (x[2]),68.73504831938078,{'errortest': 66.44100086698204},"[1, 1, 1, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [0], [0]]",65.91936685937783,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.006062868611124372) * (x[2]),68.7445193193143,{'errortest': 66.47404937567883},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [1], [2, 0], [2, 3], [1, 1, 0], [0]]",66.05978047834587,6,((Constant*Constant/x[0])**Constant) * (x[1]**Constant) * (x[2]),((0.37793347187914206*0.7816176037766525/x[0])**0.87958924794123) * (x[1]**0.09620713801016734) * (x[2]),68.92218546778693,{'errortest': 66.60219804541846},"[1, 1, 1, 2, 2, 3, 1]"
"[[0], [1], [3, 0], [0, 1], [1, 0, 1, 3], [0, 1, 1, 1, 0], [0, 0]]",66.18308459642056,6,(x[0]-Constant+Constant-(Constant/x[0])) * (x[1]**Constant) * (x[2]),(x[0]-0.6239345148736497+0.9393382138961089-(0.7940572838093397/x[0])) * (x[1]**0.05577373112562567) * (x[2]),68.96330881089355,{'errortest': 66.75158209744382},"[1, 1, 2, 2, 4, 5, 2]"
"[[0], [1], [3, 1], [2, 2], [3, 3], [0, 0, 1], [0, 0]]",66.22871754233591,6,(x[0]/(x[0]/Constant)) * (x[1]**Constant) * (x[2]),(x[0]/(x[0]/0.3296870295912273)) * (x[1]**0.06964069998288669) * (x[2]),69.07561075313986,{'errortest': 66.77648211362958},"[1, 1, 2, 2, 2, 3, 2]"
"[[0], [0], [0, 0], [2, 0, 2, 2], [0, 2, 1, 2], [1, 0, 1, 0, 1], [0, 0]]",66.36629067105164,6,Constant+x[0]*Constant-x[0]*Constant * (x[1]**Constant) * (x[2]),0.17833367862460758+x[0]*0.3163404618949801-x[0]*0.14840212320344104 * (x[1]**0.0911888879680185) * (x[2]),69.21253762814707,{'errortest': 66.91436010206647},"[1, 1, 2, 4, 4, 5, 2]"
"[[0], [1], [0, 3], [1, 0], [3, 3, 1, 3], [1, 0, 0, 1, 0], [0, 0, 0]]",66.4757695024417,6,((Constant/x[0])/x[0]-Constant/x[0]) * (x[1]**Constant) * (x[2]),((0.6743496996993409/x[0])/x[0]-0.8435138167374461/x[0]) * (x[1]**0.17810544645368087) * (x[2]),69.40040939374572,{'errortest': 66.97897090839358},"[1, 1, 2, 2, 4, 5, 3]"
"[[0], [1], [3, 3], [], [1], [0, 0], [0, 0]]",66.62156319957607,5,(x[0]-x[0]) * (x[1]**Constant) * (x[2]),(x[0]-x[0]) * (x[1]**0.5673943466782925) * (x[2]),69.47044963824436,{'errortest': 67.16824407634564},"[1, 1, 2, 0, 1, 2, 2]"
"[[0], [1], [0, 1], [2, 1, 1, 0], [2, 1, 2, 2, 1, 2], [1, 0, 1, 1, 1, 1, 1], [0]]",67.19989135123,6,(Constant*(x[0]-Constant)*((Constant*Constant)-Constant*Constant)) * (x[1]**Constant) * (x[2]),(0.3769009195378119*(x[0]-0.5372982704929177)*((0.22658860885146737*0.8808941278883097)-0.7526716742457242*0.3114837195649416)) * (x[1]**0.5905694162447297) * (x[2]),70.09886150247515,{'errortest': 67.7318480699224},"[1, 1, 2, 4, 6, 7, 1]"
"[[0], [1], [2, 0], [1, 0, 1], [3, 2, 1, 1, 3], [1, 0, 1, 1, 0, 0], [0, 0, 0]]",68.15507480008202,6,(((Constant/x[0])**Constant)*Constant-Constant-(x[0]/x[0])) * (x[1]**Constant) * (x[2]),(((0.5167662312456259/x[0])**0.05452369379455846)*0.6084875211096572-0.4589404019100739-(x[0]/x[0])) * (x[1]**0.1166025289098862) * (x[2]),71.01684665400717,{'errortest': 68.69717116462746},"[1, 1, 2, 3, 5, 6, 3]"
